"2phi1, deg","phi1, deg","psi_o, deg","phi2_o, deg",n_o,"psi_e, deg","phi2_e, deg",n_e
30.0,15.0,32.0,56.0,1.6573031240197695,20.5,44.5,1.4565503769833625
40.0,20.0,29.5,48.5,1.6483360934968543,20.0,39.0,1.46290290233245
50.0,25.0,27.5,41.5,1.6305254077047615,19.0,33.0,1.4502727172584196
60.0,30.0,26.5,35.5,1.6193207653326858,19.0,28.0,1.452234742464272
70.0,35.0,27.0,31.0,1.6309009689272504,20.0,24.0,1.4710479642285617
80.0,40.0,27.5,26.5,1.6344905965953274,21.0,20.0,1.4837178863013896
90.0,45.0,29.0,23.0,1.6529613453924745,22.0,16.0,1.4897099043453552
100.0,50.0,30.0,19.0,1.6517041658909728,23.5,12.5,1.5002323819425696
110.0,55.0,31.5,15.5,1.6533971693950222,25.5,9.5,1.5144825700778002
120.0,60.0,34.0,13.0,1.6691472006914432,28.0,7.0,1.5314807414120462
130.0,65.0,36.5,10.5,1.6751216149402661,30.5,4.5,1.5390274532871226
140.0,70.0,40.0,9.0,1.693607047244284,34.0,3.0,1.5586947627784138
