

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 327,82мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               325.670000                 -0.639420
1.645200               321.510000                 -1.416300
2.467700               317.460000                 -2.171600
3.290300               313.360000                 -2.805100
4.112900               309.280000                 -3.668800
4.935500               305.090000                 -4.468300
5.758000               300.970000                 -5.800800
6.580600               296.870000                 -7.434000
7.403200               292.760000                 -8.011700
8.225800               288.750000                 -8.924800
9.048300               284.560000                 -11.540000
9.870900               280.480000                 -12.672000
10.693500               276.400000                 -14.420000
11.516100               272.350000                 -14.859000
12.338600               268.220000                 -17.543000
13.161200               264.060000                 -18.430000
13.983800               259.940000                 -21.597000
14.806400               255.870000                 -23.614000
15.629000               251.760000                 -24.708000
16.451500               247.670000                 -24.397000
17.274100               243.520000                 -26.480000
18.096700               239.430000                 -30.465000
18.919300               235.410000                 -30.056000
19.741800               231.160000                 -28.807000
20.564400               227.020000                 -30.081000
21.387000               222.910000                 -34.988000
22.209600               218.860000                 -30.962000
23.032100               214.760000                 -31.982000
23.854700               210.670000                 -31.612000
24.677300               206.460000                 -32.319000
25.499900               202.390000                 -32.981000
26.322400               198.310000                 -32.296000
27.145000               194.230000                 -36.062000
27.967600               190.050000                 -34.639000
28.790200               185.900000                 -34.328000
29.612700               181.840000                 -32.148000
30.435300               177.760000                 -33.242000
31.257900               173.680000                 -36.602000
32.080500               169.550000                 -40.175000
32.903100               165.440000                 -38.587000
33.725600               161.310000                 -40.227000
34.548200               157.220000                 -38.798000
35.370800               153.070000                 -39.049000
36.193400               148.940000                 -35.676000
37.015900               144.810000                 -36.748000
37.838500               140.720000                 -38.153000
38.661100               136.580000                 -37.117000
39.483700               132.490000                 -36.231000
40.306200               128.350000                 -38.273000
41.128800               124.330000                 -38.991000
41.951400               120.190000                 -39.099000
42.774000               116.100000                 -36.920000
43.596500               111.950000                 -38.566000
44.419100               107.820000                 -39.023000
45.241700               103.730000                 -43.576000
46.064300               99.587000                 -38.071000
46.886900               95.522000                 -35.283000
47.709400               91.341000                 -37.566000
48.532000               87.302000                 -34.765000
49.354600               83.166000                 -35.445000
50.177200               79.075000                 -42.794000
50.999700               74.909000                 -39.749000
51.822300               70.691000                 -42.292000
52.644900               66.643000                 -41.464000
53.467500               62.562000                 -42.232000
54.290000               58.441000                 -40.787000
55.112600               54.430000                 -40.014000
55.935200               50.239000                 -38.633000
56.757800               46.150000                 -40.915000
57.580300               41.998000                 -38.685000
58.402900               37.890000                 -41.044000
59.225500               33.759000                 -39.387000
60.048100               29.702000                 -34.262000
60.870600               25.557000                 -40.786000
61.693200               21.456000                 -38.805000
62.515800               17.304000                 -40.215000
63.338400               13.159000                 -36.258000
64.161000               9.090900                 -40.236000
64.983500               4.985300                 -40.654000
65.806100               0.937490                 -38.261000
66.628700               -3.211900                 -43.985000
67.451300               -7.368300                 -42.871000
68.273800               -11.435000                 -41.821000
69.096400               -15.582000                 -37.723000
69.919000               -19.653000                 -37.148000
70.741600               -23.740000                 -41.446000
71.564100               -27.845000                 -33.747000
72.386700               -31.974000                 -42.770000
73.209300               -36.070000                 -39.109000
74.031900               -40.109000                 -41.402000
74.854400               -44.238000                 -36.895000
75.677000               -48.322000                 -36.914000
76.499600               -52.453000                 -45.523000
77.322200               -56.538000                 -40.989000
78.144800               -60.630000                 -35.602000
78.967300               -64.745000                 -37.160000
