

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 327,78мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               329.650000                 0.546460
1.645200               333.780000                 1.124400
2.467700               337.920000                 1.562200
3.290300               342.000000                 1.722500
4.112900               346.090000                 2.012000
4.935500               350.190000                 2.321300
5.758000               354.420000                 2.686600
6.580600               358.510000                 2.532800
7.403200               362.580000                 3.084200
8.225800               366.710000                 3.445700
9.048300               370.780000                 3.075600
9.870900               374.870000                 3.239200
10.693500               379.050000                 2.932500
11.516100               383.200000                 2.990800
12.338600               387.250000                 3.184800
13.161200               391.380000                 3.595800
13.983800               395.610000                 3.260100
14.806400               399.690000                 3.697100
15.629000               403.800000                 3.526400
16.451500               407.920000                 3.645400
17.274100               412.030000                 3.297400
18.096700               416.120000                 3.668300
18.919300               420.230000                 3.599700
19.741800               424.370000                 3.975500
20.564400               428.460000                 3.548800
21.387000               432.580000                 3.942500
22.209600               436.650000                 3.530600
23.032100               440.800000                 3.415700
23.854700               444.950000                 3.772800
24.677300               449.060000                 4.304100
25.499900               453.130000                 3.934900
26.322400               457.270000                 3.956000
27.145000               461.290000                 3.893600
27.967600               465.420000                 3.524200
28.790200               469.670000                 3.875100
29.612700               473.750000                 3.733700
30.435300               477.900000                 3.801900
31.257900               482.010000                 3.625300
32.080500               486.090000                 3.806500
32.903100               490.230000                 3.531100
33.725600               494.390000                 3.812700
34.548200               498.470000                 3.932200
35.370800               502.520000                 4.143400
36.193400               506.630000                 3.965900
37.015900               510.810000                 3.741400
37.838500               514.940000                 3.710400
38.661100               519.060000                 3.658700
39.483700               523.160000                 3.622600
40.306200               527.220000                 3.851500
41.128800               531.360000                 3.670000
41.951400               535.480000                 3.821500
42.774000               539.590000                 3.853700
43.596500               543.670000                 4.076100
44.419100               547.860000                 3.905600
45.241700               551.970000                 4.277000
46.064300               556.160000                 4.245500
46.886900               560.290000                 4.280900
47.709400               564.380000                 3.583700
48.532000               568.480000                 3.519300
49.354600               572.530000                 3.920900
50.177200               576.640000                 3.834100
50.999700               580.830000                 3.735200
51.822300               584.890000                 3.946700
52.644900               589.030000                 3.776800
53.467500               593.170000                 4.060100
54.290000               597.210000                 3.392400
55.112600               601.330000                 3.614700
55.935200               605.410000                 4.265200
56.757800               609.530000                 4.179100
57.580300               613.630000                 4.055700
58.402900               617.720000                 3.960500
59.225500               621.890000                 4.174200
60.048100               626.110000                 3.686800
60.870600               630.280000                 3.820800
61.693200               634.370000                 3.704700
62.515800               638.540000                 3.969100
63.338400               642.570000                 4.336500
64.161000               646.680000                 3.788100
64.983500               650.810000                 3.942500
65.806100               654.960000                 3.880800
66.628700               659.000000                 3.774600
67.451300               663.120000                 4.178600
68.273800               667.320000                 3.901500
69.096400               671.450000                 3.663400
69.919000               675.520000                 3.735200
70.741600               679.630000                 3.957000
71.564100               683.720000                 4.005700
72.386700               687.810000                 4.334800
73.209300               691.940000                 3.856700
74.031900               696.050000                 3.831100
74.854400               700.120000                 3.890600
75.677000               704.400000                 3.469600
76.499600               708.520000                 3.881100
77.322200               712.630000                 3.971600
78.144800               716.680000                 3.853000
78.967300               720.830000                 3.813400
