

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 298,41мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               300.310000                 0.399150
1.645200               304.350000                 0.781570
2.467700               308.410000                 1.114800
3.290300               312.630000                 1.206800
4.112900               316.780000                 1.508500
4.935500               320.910000                 1.695200
5.758000               325.040000                 1.756700
6.580600               329.140000                 2.117000
7.403200               333.200000                 2.106200
8.225800               337.420000                 2.333100
9.048300               341.570000                 2.318200
9.870900               345.640000                 2.364400
10.693500               349.700000                 2.538000
11.516100               353.900000                 2.442300
12.338600               358.040000                 2.365100
13.161200               362.110000                 2.436400
13.983800               366.200000                 2.636100
14.806400               370.320000                 2.279300
15.629000               374.480000                 2.560200
16.451500               378.560000                 2.763000
17.274100               382.610000                 2.805600
18.096700               386.770000                 2.724400
18.919300               390.880000                 2.461300
19.741800               395.070000                 2.907600
20.564400               399.260000                 2.651100
21.387000               403.330000                 2.580600
22.209600               407.450000                 3.009000
23.032100               411.580000                 2.809000
23.854700               415.720000                 3.019100
24.677300               419.820000                 3.062100
25.499900               423.820000                 3.030400
26.322400               428.010000                 2.733300
27.145000               432.150000                 2.830900
27.967600               436.250000                 2.924900
28.790200               440.330000                 2.494700
29.612700               444.440000                 2.901300
30.435300               448.550000                 3.151400
31.257900               452.620000                 2.840700
32.080500               456.820000                 2.731600
32.903100               460.820000                 2.774100
33.725600               464.980000                 2.408200
34.548200               469.220000                 2.761800
35.370800               473.360000                 2.942800
36.193400               477.510000                 2.801200
37.015900               481.530000                 2.949000
37.838500               485.710000                 2.972600
38.661100               489.800000                 2.758100
39.483700               493.920000                 3.099200
40.306200               498.020000                 2.856300
41.128800               502.080000                 2.518300
41.951400               506.210000                 2.675700
42.774000               510.370000                 2.890400
43.596500               514.450000                 2.594600
44.419100               518.550000                 2.830700
45.241700               522.750000                 2.788100
46.064300               526.840000                 2.887700
46.886900               530.920000                 2.940600
47.709400               535.000000                 2.969900
48.532000               539.110000                 2.752000
49.354600               543.300000                 2.763300
50.177200               547.400000                 2.970800
50.999700               551.510000                 3.132700
51.822300               555.700000                 2.883300
52.644900               559.730000                 2.477000
53.467500               563.910000                 2.606600
54.290000               567.980000                 2.749300
55.112600               572.150000                 2.897600
55.935200               576.140000                 2.948500
56.757800               580.340000                 2.801400
57.580300               584.400000                 2.288400
58.402900               588.610000                 2.836100
59.225500               592.690000                 2.823000
60.048100               596.820000                 2.587500
60.870600               600.900000                 2.683100
61.693200               605.000000                 2.886000
62.515800               609.110000                 2.620600
63.338400               613.170000                 2.918700
64.161000               617.250000                 2.472400
64.983500               621.310000                 2.320600
65.806100               625.620000                 2.589700
66.628700               629.770000                 2.606900
67.451300               633.930000                 2.869300
68.273800               638.020000                 2.888700
69.096400               642.110000                 2.738000
69.919000               646.260000                 2.837600
70.741600               650.410000                 3.025700
71.564100               654.470000                 2.803100
72.386700               658.570000                 2.718000
73.209300               662.700000                 2.858700
74.031900               666.880000                 2.639100
74.854400               670.990000                 2.713600
75.677000               675.060000                 2.753400
76.499600               679.140000                 2.933000
77.322200               683.250000                 2.629000
78.144800               687.450000                 2.683100
78.967300               691.490000                 2.956100
