

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 318,39мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               320.320000                 0.477110
1.645200               324.490000                 0.907240
2.467700               328.510000                 1.167900
3.290300               332.720000                 1.413100
4.112900               336.820000                 1.480800
4.935500               340.960000                 1.682900
5.758000               345.040000                 1.934700
6.580600               349.090000                 1.915600
7.403200               353.290000                 2.120700
8.225800               357.480000                 2.242400
9.048300               361.530000                 2.126100
9.870900               365.630000                 2.032900
10.693500               369.740000                 2.612500
11.516100               373.910000                 2.585500
12.338600               378.010000                 2.732100
13.161200               382.060000                 2.641600
13.983800               386.180000                 2.919200
14.806400               390.280000                 2.849800
15.629000               394.490000                 2.525700
16.451500               398.650000                 2.683900
17.274100               402.700000                 2.703500
18.096700               406.850000                 2.350900
18.919300               411.020000                 2.555700
19.741800               415.140000                 2.852800
20.564400               419.190000                 2.274400
21.387000               423.310000                 2.651600
22.209600               427.380000                 2.981700
23.032100               431.560000                 2.874400
23.854700               435.690000                 2.591400
24.677300               439.740000                 2.910100
25.499900               443.870000                 2.618700
26.322400               448.020000                 2.756900
27.145000               452.100000                 2.856300
27.967600               456.180000                 2.802600
28.790200               460.260000                 2.854300
29.612700               464.330000                 2.746300
30.435300               468.580000                 2.721200
31.257900               472.750000                 2.762100
32.080500               476.860000                 2.613500
32.903100               480.970000                 2.812200
33.725600               485.060000                 2.800200
34.548200               489.180000                 2.505500
35.370800               493.340000                 2.777300
36.193400               497.450000                 2.677700
37.015900               501.490000                 2.655300
37.838500               505.640000                 2.778800
38.661100               509.790000                 2.855300
39.483700               513.860000                 2.737500
40.306200               518.010000                 2.888000
41.128800               522.040000                 2.867300
41.951400               526.270000                 2.387300
42.774000               530.300000                 2.636600
43.596500               534.400000                 2.675200
44.419100               538.530000                 2.659700
45.241700               542.680000                 2.471900
46.064300               546.880000                 2.972600
46.886900               551.050000                 2.734500
47.709400               555.070000                 2.709700
48.532000               559.170000                 2.576900
49.354600               563.280000                 2.755200
50.177200               567.400000                 2.845700
50.999700               571.540000                 2.440100
51.822300               575.620000                 3.040000
52.644900               579.710000                 2.521500
53.467500               583.870000                 2.954400
54.290000               587.940000                 2.720000
55.112600               592.040000                 2.566800
55.935200               596.190000                 2.620600
56.757800               600.280000                 2.802600
57.580300               604.370000                 2.728400
58.402900               608.500000                 2.713800
59.225500               612.580000                 2.671300
60.048100               616.670000                 2.528200
60.870600               620.790000                 2.689500
61.693200               624.990000                 2.819600
62.515800               629.190000                 2.856000
63.338400               633.300000                 2.831200
64.161000               637.440000                 2.788400
64.983500               641.500000                 2.884300
65.806100               645.640000                 3.059100
66.628700               649.800000                 2.874900
67.451300               653.940000                 3.117900
68.273800               657.970000                 2.875700
69.096400               662.080000                 2.688500
69.919000               666.240000                 2.477300
70.741600               670.350000                 2.796200
71.564100               674.520000                 2.570700
72.386700               678.590000                 2.793500
73.209300               682.720000                 2.477000
74.031900               686.870000                 2.653400
74.854400               690.940000                 2.922400
75.677000               694.990000                 2.675500
76.499600               699.110000                 2.726200
77.322200               703.280000                 2.779300
78.144800               707.510000                 2.895100
78.967300               711.610000                 2.836600
