

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 323,62мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               321.430000                 -0.584580
1.645200               317.300000                 -1.242200
2.467700               313.280000                 -1.629100
3.290300               309.150000                 -2.312300
4.112900               304.990000                 -2.823800
4.935500               300.840000                 -3.485600
5.758000               296.740000                 -4.802100
6.580600               292.660000                 -5.459900
7.403200               288.570000                 -6.460100
8.225800               284.490000                 -6.363500
9.048300               280.370000                 -8.073200
9.870900               276.290000                 -8.649400
10.693500               272.200000                 -9.570200
11.516100               268.110000                 -10.443000
12.338600               263.950000                 -11.653000
13.161200               259.850000                 -12.337000
13.983800               255.770000                 -13.396000
14.806400               251.680000                 -16.288000
15.629000               247.550000                 -14.604000
16.451500               243.400000                 -13.993000
17.274100               239.390000                 -15.234000
18.096700               235.280000                 -16.976000
18.919300               231.090000                 -17.729000
19.741800               226.950000                 -15.692000
20.564400               222.830000                 -17.191000
21.387000               218.720000                 -19.901000
22.209600               214.650000                 -17.514000
23.032100               210.560000                 -16.957000
23.854700               206.390000                 -19.822000
24.677300               202.320000                 -18.294000
25.499900               198.240000                 -22.409000
26.322400               194.220000                 -21.819000
27.145000               190.010000                 -20.939000
27.967600               185.960000                 -22.627000
28.790200               181.820000                 -19.361000
29.612700               177.710000                 -21.309000
30.435300               173.650000                 -22.273000
31.257900               169.390000                 -24.391000
32.080500               165.310000                 -20.134000
32.903100               161.260000                 -23.555000
33.725600               157.240000                 -19.263000
34.548200               153.020000                 -20.744000
35.370800               148.820000                 -21.329000
36.193400               144.750000                 -18.919000
37.015900               140.630000                 -21.215000
37.838500               136.570000                 -22.427000
38.661100               132.450000                 -22.570000
39.483700               128.330000                 -24.897000
40.306200               124.230000                 -21.094000
41.128800               120.100000                 -20.030000
41.951400               116.040000                 -23.112000
42.774000               111.910000                 -19.854000
43.596500               107.760000                 -19.152000
44.419100               103.630000                 -23.005000
45.241700               99.591000                 -24.844000
46.064300               95.555000                 -23.103000
46.886900               91.345000                 -23.422000
47.709400               87.249000                 -22.892000
48.532000               83.079000                 -19.521000
49.354600               79.059000                 -24.034000
50.177200               74.861000                 -25.602000
50.999700               70.677000                 -22.484000
51.822300               66.576000                 -19.626000
52.644900               62.539000                 -23.865000
53.467500               58.429000                 -19.359000
54.290000               54.294000                 -24.554000
55.112600               50.202000                 -21.739000
55.935200               46.108000                 -19.200000
56.757800               41.984000                 -20.758000
57.580300               37.832000                 -20.264000
58.402900               33.740000                 -19.784000
59.225500               29.607000                 -20.888000
60.048100               25.492000                 -23.116000
60.870600               21.431000                 -24.037000
61.693200               17.337000                 -19.463000
62.515800               13.215000                 -19.413000
63.338400               9.155500                 -21.048000
64.161000               4.966800                 -22.500000
64.983500               0.969820                 -20.644000
65.806100               -3.142700                 -21.314000
66.628700               -7.419100                 -21.161000
67.451300               -11.504000                 -23.260000
68.273800               -15.596000                 -24.172000
69.096400               -19.673000                 -19.682000
69.919000               -23.765000                 -21.007000
70.741600               -27.880000                 -21.237000
71.564100               -31.958000                 -23.907000
72.386700               -36.075000                 -21.157000
73.209300               -40.144000                 -18.507000
74.031900               -44.245000                 -21.648000
74.854400               -48.357000                 -23.124000
75.677000               -52.499000                 -19.386000
76.499600               -56.610000                 -19.456000
77.322200               -60.651000                 -22.235000
78.144800               -64.731000                 -22.797000
78.967300               -68.938000                 -23.353000
