

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 323,5мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               325.400000                 0.501950
1.645200               329.430000                 0.946840
2.467700               333.580000                 1.169200
3.290300               337.760000                 1.426200
4.112900               341.810000                 1.601500
4.935500               345.940000                 1.670600
5.758000               350.040000                 1.857300
6.580600               354.210000                 1.790900
7.403200               358.310000                 2.088200
8.225800               362.420000                 2.124100
9.048300               366.510000                 2.041500
9.870900               370.680000                 2.202800
10.693500               374.780000                 2.271400
11.516100               378.930000                 2.248100
12.338600               382.960000                 2.484900
13.161200               387.110000                 2.314500
13.983800               391.290000                 2.111300
14.806400               395.410000                 2.103900
15.629000               399.570000                 2.347200
16.451500               403.650000                 2.503600
17.274100               407.750000                 2.488300
18.096700               411.890000                 2.507000
18.919300               416.000000                 2.462800
19.741800               420.150000                 2.714600
20.564400               424.240000                 2.349600
21.387000               428.310000                 2.645200
22.209600               432.480000                 2.557000
23.032100               436.640000                 2.361700
23.854700               440.700000                 2.393700
24.677300               444.810000                 2.385800
25.499900               448.960000                 2.672800
26.322400               453.110000                 2.296000
27.145000               457.180000                 2.278100
27.967600               461.250000                 2.690200
28.790200               465.360000                 2.428600
29.612700               469.580000                 2.798400
30.435300               473.700000                 2.388700
31.257900               477.850000                 2.189000
32.080500               481.930000                 2.255700
32.903100               486.040000                 2.554000
33.725600               490.180000                 2.593800
34.548200               494.310000                 2.413800
35.370800               498.450000                 2.407200
36.193400               502.490000                 2.379100
37.015900               506.560000                 2.779300
37.838500               510.750000                 2.261100
38.661100               514.880000                 2.692200
39.483700               518.970000                 2.553000
40.306200               523.070000                 2.434000
41.128800               527.210000                 2.601500
41.951400               531.270000                 2.639800
42.774000               535.440000                 2.779800
43.596500               539.480000                 2.621400
44.419100               543.550000                 2.307800
45.241700               547.750000                 2.109800
46.064300               551.970000                 2.800700
46.886900               556.090000                 2.356800
47.709400               560.200000                 2.537000
48.532000               564.280000                 2.557200
49.354600               568.370000                 2.610800
50.177200               572.490000                 2.668800
50.999700               576.580000                 2.695900
51.822300               580.720000                 2.576600
52.644900               584.830000                 2.523500
53.467500               589.020000                 2.529700
54.290000               593.100000                 2.366100
55.112600               597.210000                 2.686600
55.935200               601.320000                 2.492300
56.757800               605.400000                 2.488100
57.580300               609.480000                 2.502300
58.402900               613.610000                 2.490300
59.225500               617.620000                 2.604700
60.048100               621.790000                 2.372000
60.870600               626.040000                 2.647500
61.693200               630.190000                 2.477300
62.515800               634.350000                 2.793500
63.338400               638.450000                 2.848900
64.161000               642.500000                 2.735300
64.983500               646.660000                 2.691200
65.806100               650.830000                 2.095100
66.628700               654.950000                 2.494000
67.451300               658.970000                 2.681200
68.273800               663.090000                 2.599000
69.096400               667.230000                 2.563800
69.919000               671.380000                 2.649900
70.741600               675.510000                 2.743900
71.564100               679.620000                 2.965200
72.386700               683.690000                 2.687300
73.209300               687.840000                 2.522000
74.031900               691.920000                 2.570200
74.854400               696.040000                 2.582800
75.677000               700.130000                 2.268000
76.499600               704.310000                 2.470900
77.322200               708.550000                 2.593800
78.144800               712.640000                 2.420000
78.967300               716.710000                 2.585200
