

Цикл № 1
Шаг  № 1
Точек  989
Циклическая потенцио. развертка , Скорость развертки 100,12 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.006100               0.152400                 -265.070000
0.019800               2.286000                 -1076.600000
0.025900               3.200400                 -1053.300000
0.031900               3.581400                 -1039.800000
0.038000               4.038600                 -1007.500000
0.044000               4.114800                 -977.840000
0.050100               5.257800                 -966.030000
0.056100               5.943600                 -939.600000
0.062200               6.324600                 -906.000000
0.068200               7.467600                 -891.140000
0.074300               7.848600                 -872.630000
0.080300               8.153400                 -836.360000
0.086400               8.534400                 -816.860000
0.092400               9.525000                 -803.070000
0.098500               10.211000                 -769.400000
0.104500               10.363000                 -742.050000
0.110600               11.278000                 -731.300000
0.116600               12.040000                 -703.270000
0.122700               12.192000                 -670.660000
0.128700               12.954000                 -658.170000
0.134800               13.564000                 -638.590000
0.140800               14.326000                 -602.780000
0.146900               15.316000                 -585.410000
0.152900               15.545000                 -571.390000
0.159000               16.154000                 -537.790000
0.165000               16.307000                 -512.800000
0.171100               17.374000                 -501.830000
0.177100               17.907000                 -472.730000
0.183200               18.212000                 -441.880000
0.189200               19.050000                 -430.600000
0.195300               20.117000                 -408.960000
0.201400               20.498000                 -375.140000
0.207400               21.184000                 -360.280000
0.213500               21.641000                 -345.350000
0.219500               22.022000                 -311.680000
0.225600               22.708000                 -289.810000
0.231600               23.622000                 -278.460000
0.237700               23.622000                 -248.290000
0.243700               24.613000                 -219.490000
0.249800               24.613000                 -210.120000
0.255800               25.832000                 -186.200000
0.261900               26.060000                 -154.200000
0.267900               27.356000                 -140.560000
0.274000               27.432000                 -124.640000
0.280000               28.042000                 -90.585000
0.286100               28.880000                 -71.538000
0.292100               29.718000                 -59.882000
0.298200               30.099000                 -28.722000
0.304200               30.785000                 -2.590300
0.310300               31.775000                 6.399600
0.316300               32.004000                 32.150000
0.322400               32.309000                 63.005000
0.328400               32.690000                 74.662000
0.334500               33.833000                 91.803000
0.340500               33.985000                 126.010000
0.346600               35.128000                 142.690000
0.352600               35.433000                 154.500000
0.358700               36.347000                 186.810000
0.364700               37.262000                 212.020000
0.370800               37.338000                 220.410000
0.376800               37.795000                 247.910000
0.382900               38.329000                 277.930000
0.388900               38.786000                 288.670000
0.395000               40.005000                 307.870000
0.401100               40.386000                 341.620000
0.407100               40.996000                 356.550000
0.413200               41.453000                 369.730000
0.419200               41.986000                 402.720000
0.425300               42.672000                 425.500000
0.431300               43.967000                 435.930000
0.437400               43.815000                 464.880000
0.443400               44.196000                 493.990000
0.449500               44.882000                 503.970000
0.455500               45.796000                 526.440000
0.461600               46.253000                 559.430000
0.467600               47.473000                 573.600000
0.473700               47.625000                 589.070000
0.479700               47.777000                 623.040000
0.485800               48.692000                 643.390000
0.491800               48.997000                 654.360000
0.497900               50.216000                 685.900000
0.503900               50.444000                 713.170000
0.510000               51.054000                 722.160000
0.516000               51.740000                 747.760000
0.522100               52.426000                 780.900000
0.528100               52.502000                 793.470000
0.534200               53.492000                 811.220000
0.540200               54.178000                 847.490000
0.546300               54.559000                 865.470000
0.552300               55.321000                 878.270000
0.558400               56.236000                 911.560000
0.564400               57.226000                 938.910000
0.570500               57.150000                 948.280000
