

Цикл № 1
Шаг  № 1
Точек  352
Линейная потенцио. развертка , ЭДС 80,261мВ, Скорость развертки 9,997 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.423800               78.132000                 -30.801000
0.847500               73.757000                 -75.188000
1.271300               69.588000                 -120.530000
1.702700               60.906000                 -220.030000
2.126500               56.639000                 -272.590000
2.550200               52.349000                 -328.970000
2.974000               48.185000                 -387.640000
3.397700               43.905000                 -448.140000
3.821500               39.629000                 -509.330000
4.245200               35.361000                 -571.830000
4.669000               31.251000                 -634.980000
5.092700               26.979000                 -699.890000
5.516500               22.770000                 -767.920000
5.940200               18.490000                 -841.490000
6.364000               14.182000                 -923.270000
6.787700               10.085000                 -1014.600000
7.211500               5.880800                 -1117.600000
7.635200               1.573300                 -1230.500000
8.059000               -2.586300                 -1355.700000
8.482700               -6.916300                 -1493.400000
8.906500               -11.165000                 -1642.300000
9.337900               -16.562000                 -1855.300000
9.761700               -20.915000                 -2031.100000
10.185400               -25.061000                 -2219.800000
10.609200               -29.247000                 -2421.100000
11.032900               -33.492000                 -2635.400000
11.456700               -37.741000                 -2861.100000
11.880400               -41.910000                 -3097.800000
12.304200               -46.253000                 -3346.800000
12.727900               -50.377000                 -3605.100000
13.151700               -54.707000                 -3875.100000
13.575400               -58.858000                 -4155.200000
13.999200               -63.067000                 -4445.100000
14.422900               -67.302000                 -4743.200000
14.846700               -71.520000                 -5048.200000
15.270500               -75.716000                 -5357.600000
15.694200               -79.925000                 -5669.500000
16.118000               -84.237000                 -5982.800000
16.541700               -88.455000                 -6297.100000
16.965500               -92.673000                 -6611.100000
17.389200               -96.926000                 -6922.600000
17.813000               -101.150000                 -7231.300000
18.236700               -105.420000                 -7538.100000
18.660500               -109.520000                 -7843.300000
19.084200               -113.780000                 -8150.800000
19.508000               -117.980000                 -8457.400000
19.931700               -122.250000                 -8763.000000
20.355500               -126.550000                 -9066.900000
20.779200               -130.740000                 -9367.900000
21.203000               -134.910000                 -9666.900000
21.626700               -139.100000                 -9962.200000
22.050500               -143.400000                 -10253.000000
22.474200               -147.620000                 -10537.000000
22.898000               -151.850000                 -10814.000000
23.321700               -156.000000                 -11085.000000
23.745500               -160.340000                 -11351.000000
24.169200               -164.640000                 -11607.000000
24.593000               -168.820000                 -11847.000000
25.016700               -173.030000                 -12068.000000
25.440500               -177.250000                 -12268.000000
25.864200               -181.480000                 -12440.000000
26.288000               -185.790000                 -12575.000000
26.711700               -189.950000                 -12673.000000
27.135500               -194.190000                 -12717.000000
27.559200               -198.500000                 -12719.000000
27.983000               -202.700000                 -12649.000000
28.406700               -206.930000                 -12518.000000
28.830500               -211.120000                 -12329.000000
29.254200               -215.270000                 -12042.000000
29.678000               -219.580000                 -11650.000000
30.101800               -223.900000                 -11083.000000
30.525500               -228.100000                 -10393.000000
30.949300               -232.280000                 -9684.600000
31.373000               -236.510000                 -8729.400000
31.796800               -240.840000                 -7493.000000
32.220500               -245.070000                 -6101.200000
32.644300               -249.210000                 -5057.900000
33.068000               -253.480000                 -4908.000000
33.491800               -257.740000                 -4804.100000
33.915500               -261.950000                 -4668.100000
34.339300               -266.260000                 -4448.400000
34.763000               -270.460000                 -4030.500000
35.186800               -274.650000                 -3456.000000
35.610500               -278.870000                 -3205.000000
36.034300               -283.160000                 -3105.300000
36.458000               -287.260000                 -3093.400000
36.881800               -291.590000                 -3067.400000
37.305500               -295.820000                 -3016.300000
37.729300               -300.080000                 -2960.300000
38.153000               -304.290000                 -2914.200000
38.576800               -308.490000                 -2853.500000
39.000500               -312.680000                 -2781.600000
39.424300               -317.010000                 -2686.400000
39.848000               -321.260000                 -2587.600000
40.271800               -325.450000                 -2504.900000
40.695500               -329.700000                 -2406.300000
41.119300               -333.870000                 -2268.300000
41.543000               -338.160000                 -2140.000000
41.966800               -342.410000                 -1857.900000
42.390500               -346.560000                 -1538.200000
42.814300               -350.820000                 -1193.500000
43.238000               -355.050000                 -941.090000
43.661800               -359.240000                 -745.200000
44.085600               -363.440000                 -442.820000
44.509300               -367.740000                 -296.470000
44.933100               -371.890000                 -289.190000
45.356800               -376.200000                 -286.410000
45.780600               -380.410000                 -285.130000
46.204300               -384.660000                 -282.250000
46.628100               -388.850000                 -278.650000
47.051800               -393.040000                 -276.290000
47.475600               -397.370000                 -274.680000
47.899300               -401.530000                 -274.780000
48.323100               -405.790000                 -276.150000
48.746800               -409.960000                 -278.130000
49.170600               -414.190000                 -282.530000
49.594300               -418.430000                 -288.110000
50.018100               -422.650000                 -295.060000
50.441800               -426.950000                 -305.170000
50.865600               -431.110000                 -319.120000
51.289300               -435.310000                 -333.770000
51.713100               -439.500000                 -353.340000
52.136800               -443.770000                 -377.870000
52.560600               -447.980000                 -407.560000
52.984300               -452.200000                 -443.200000
53.408100               -456.430000                 -484.750000
