

Цикл № 1
Шаг  № 1
Точек  550
Циклическая потенцио. развертка , Скорость развертки 100,12 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.074800               3.479800                 -4.739600
0.149600               11.049000                 -3.213800
0.224300               18.440000                 -2.356300
0.299100               25.933000                 -1.782800
0.373900               33.299000                 -1.401300
0.448700               40.818000                 -1.106400
0.523500               48.235000                 -0.857560
0.598200               55.651000                 -0.689840
0.673000               62.992000                 -0.559990
0.747800               70.637000                 -0.427430
0.822600               78.105000                 -0.319220
0.897400               85.522000                 -0.235360
0.972100               92.964000                 -0.162310
1.046900               100.530000                 -0.091980
1.121700               108.100000                 -0.024350
1.196500               115.470000                 0.016230
1.271300               123.060000                 0.075750
1.346000               130.500000                 0.105500
1.420800               138.020000                 0.151490
1.495600               145.490000                 0.175840
1.570400               152.880000                 0.202890
1.645200               160.550000                 0.235360
1.719900               168.020000                 0.270520
1.794700               175.540000                 0.294870
1.869500               182.850000                 0.300280
1.944300               190.170000                 0.321920
2.019100               197.760000                 0.348980
2.093800               205.210000                 0.362500
2.168600               212.850000                 0.394970
2.243400               220.450000                 0.427430
2.318200               227.690000                 0.440960
2.392900               235.330000                 0.468010
2.467700               242.800000                 0.508590
2.542500               250.440000                 0.541050
2.617300               257.810000                 0.546460
2.692100               265.230000                 0.557280
2.766800               272.670000                 0.551870
2.841600               280.040000                 0.559990
2.916400               287.600000                 0.557280
2.991200               295.070000                 0.551870
3.066000               302.460000                 0.549170
3.140700               309.900000                 0.554580
3.215500               317.550000                 0.565400
3.290300               325.070000                 0.568100
3.365100               332.710000                 0.570810
3.439900               340.080000                 0.573510
3.514600               347.500000                 0.565400
3.589400               354.960000                 0.559990
3.664200               362.660000                 0.557280
3.739000               369.850000                 0.551870
3.813800               377.620000                 0.570810
3.888500               384.860000                 0.557280
3.963300               392.560000                 0.565400
4.038100               400.000000                 0.565400
4.112900               407.520000                 0.568100
4.187700               414.860000                 0.546460
4.262400               422.250000                 0.551870
4.337200               429.720000                 0.554580
4.412000               437.260000                 0.562690
4.486800               444.730000                 0.557280
4.561600               452.350000                 0.570810
4.636300               459.640000                 0.562690
4.711100               467.130000                 0.565400
4.785900               474.680000                 0.565400
4.860700               482.370000                 0.589740
4.935500               489.810000                 0.600560
5.010200               497.230000                 0.589740
5.085000               504.700000                 0.587040
5.159800               512.090000                 0.592450
5.234600               519.460000                 0.597860
5.309400               527.130000                 0.597860
5.384100               534.570000                 0.597860
5.458900               541.930000                 0.608680
5.533700               549.550000                 0.627620
5.608500               556.950000                 0.616800
5.683300               564.540000                 0.627620
5.758000               572.030000                 0.635730
5.832800               579.550000                 0.646550
5.907600               586.760000                 0.657370
5.982400               594.410000                 0.668200
6.057200               601.960000                 0.681720
6.131900               609.470000                 0.708770
6.206700               616.760000                 0.706070
6.281500               624.310000                 0.719600
6.356300               631.800000                 0.749350
6.431100               639.190000                 0.768290
6.505800               646.790000                 0.781820
6.580600               654.230000                 0.808870
6.655400               661.770000                 0.844040
6.730200               669.260000                 0.879210
6.804900               676.660000                 0.895440
6.879700               684.280000                 0.936020
6.954500               691.590000                 0.968480
7.029300               699.080000                 1.000900
7.104100               706.750000                 1.046900
7.178800               714.120000                 1.090200
7.253600               721.610000                 1.133500
7.328400               729.260000                 1.182200
7.403200               736.750000                 1.228200
7.478000               744.070000                 1.282300
7.552700               751.510000                 1.333700
7.627500               759.000000                 1.379700
7.702300               766.390000                 1.423000
7.777100               773.890000                 1.482500
7.851900               781.460000                 1.533900
7.926600               788.920000                 1.596100
8.001400               796.340000                 1.634000
8.076200               803.860000                 1.715100
8.151000               811.280000                 1.780000
8.225800               818.870000                 1.831500
8.300500               826.240000                 1.909900
8.375300               833.630000                 1.996500
8.450100               841.170000                 2.083000
8.524900               848.690000                 2.161500
8.599700               856.130000                 2.269700
8.674400               863.800000                 2.383300
8.749200               871.140000                 2.486100
8.824000               878.690000                 2.588900
8.898800               886.050000                 2.678200
8.973600               893.500000                 2.767500
9.048300               900.910000                 2.837800
9.123100               908.480000                 2.900000
9.197900               916.050000                 3.016400
9.272700               923.470000                 3.140800
9.347500               930.760000                 3.292300
9.422200               938.280000                 3.530300
9.497000               945.950000                 3.838800
9.571800               953.340000                 4.214800
9.646600               960.830000                 4.601600
9.721400               968.100000                 5.042600
9.796100               975.790000                 5.491600
9.870900               983.030000                 5.832500
9.945700               990.680000                 6.130100
10.020500               998.020000                 6.346500
10.095300               1005.500000                 6.541300
10.170000               1013.000000                 6.638700
10.244800               1020.600000                 6.730600
10.319600               1028.000000                 6.787500
10.394400               1035.400000                 6.773900
10.469200               1042.800000                 6.730600
10.543900               1050.300000                 6.660300
10.618700               1057.800000                 6.606200
10.693500               1065.300000                 6.595400
10.768300               1072.700000                 6.668400
10.843100               1080.100000                 6.865900
10.917800               1087.700000                 7.298800
10.992600               1095.300000                 8.048100
11.067400               1102.600000                 9.246500
11.142200               1110.000000                 11.243000
