

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 271,79мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               273.620000                 0.313070
1.645200               277.800000                 0.609170
2.467700               281.880000                 0.887320
3.290300               286.020000                 1.077700
4.112900               290.060000                 1.348900
4.935500               294.240000                 1.427100
5.758000               298.320000                 1.700400
6.580600               302.390000                 1.781800
7.403200               306.500000                 1.977500
8.225800               310.610000                 1.983700
9.048300               314.840000                 2.254400
9.870900               319.010000                 2.476800
10.693500               323.110000                 2.335600
11.516100               327.230000                 2.441100
12.338600               331.240000                 2.348700
13.161200               335.450000                 2.445100
13.983800               339.600000                 2.554500
14.806400               343.690000                 2.827500
15.629000               347.760000                 2.722900
16.451500               351.880000                 2.976500
17.274100               356.080000                 2.757900
18.096700               360.170000                 2.610600
18.919300               364.290000                 2.617900
19.741800               368.440000                 3.007200
20.564400               372.490000                 2.857200
21.387000               376.640000                 3.088600
22.209600               380.710000                 2.597500
23.032100               384.850000                 3.010700
23.854700               388.910000                 3.052300
24.677300               393.130000                 2.906900
25.499900               397.320000                 2.855500
26.322400               401.410000                 2.710700
27.145000               405.470000                 2.916700
27.967600               409.630000                 3.140100
28.790200               413.730000                 2.497400
29.612700               417.850000                 2.959000
30.435300               421.950000                 2.946000
31.257900               426.060000                 3.010200
32.080500               430.210000                 2.495700
32.903100               434.310000                 2.992500
33.725600               438.430000                 3.146000
34.548200               442.500000                 2.914000
35.370800               446.650000                 2.731600
36.193400               450.740000                 3.211600
37.015900               454.890000                 3.291800
37.838500               458.980000                 3.058200
38.661100               463.020000                 2.932000
39.483700               467.210000                 3.177700
40.306200               471.440000                 3.143300
41.128800               475.470000                 3.045400
41.951400               479.650000                 3.109800
42.774000               483.710000                 3.021000
43.596500               487.850000                 3.058700
44.419100               492.050000                 2.290100
45.241700               496.110000                 2.624600
46.064300               500.150000                 3.101700
46.886900               504.300000                 2.970400
47.709400               508.450000                 3.016100
48.532000               512.510000                 3.185600
49.354600               516.630000                 2.747500
50.177200               520.730000                 2.762600
50.999700               524.810000                 2.713400
51.822300               528.970000                 2.910100
52.644900               533.080000                 2.459600
53.467500               537.200000                 2.876400
54.290000               541.250000                 2.501100
55.112600               545.400000                 2.283700
55.935200               549.610000                 2.752700
56.757800               553.750000                 2.821100
57.580300               557.770000                 2.853100
58.402900               561.900000                 2.997700
59.225500               566.030000                 3.037500
60.048100               570.180000                 2.711600
60.870600               574.280000                 3.151100
61.693200               578.340000                 2.631200
62.515800               582.500000                 3.187500
63.338400               586.620000                 3.094800
64.161000               590.740000                 2.937700
64.983500               594.810000                 2.851800
65.806100               598.920000                 2.904700
66.628700               602.990000                 2.911800
67.451300               607.180000                 2.973100
68.273800               611.200000                 3.168600
69.096400               615.350000                 3.255900
69.919000               619.430000                 2.849100
70.741600               623.580000                 2.755400
71.564100               627.790000                 3.000900
72.386700               631.930000                 3.116900
73.209300               636.080000                 3.066800
74.031900               640.120000                 2.820600
74.854400               644.320000                 3.033600
75.677000               648.440000                 3.244100
76.499600               652.530000                 2.959300
77.322200               656.610000                 2.689300
78.144800               660.720000                 2.694700
78.967300               664.890000                 3.116400
