

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 271,9мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               269.720000                 -0.331270
1.645200               265.610000                 -0.658360
2.467700               261.530000                 -0.816490
3.290300               257.420000                 -1.142800
4.112900               253.310000                 -1.342500
4.935500               249.200000                 -1.563100
5.758000               245.090000                 -1.727900
6.580600               241.040000                 -1.994800
7.403200               236.960000                 -2.292600
8.225800               232.880000                 -2.158300
9.048300               228.700000                 -2.217100
9.870900               224.550000                 -2.284200
10.693500               220.440000                 -2.393900
11.516100               216.320000                 -2.447000
12.338600               212.290000                 -2.749300
13.161200               208.060000                 -3.000600
13.983800               204.050000                 -2.637900
14.806400               199.910000                 -2.815200
15.629000               195.820000                 -2.609600
16.451500               191.790000                 -3.133700
17.274100               187.590000                 -2.841700
18.096700               183.460000                 -3.088600
18.919300               179.400000                 -3.071400
19.741800               175.280000                 -2.894400
20.564400               171.220000                 -3.334100
21.387000               166.990000                 -3.275300
22.209600               162.970000                 -3.188300
23.032100               158.880000                 -3.089400
23.854700               154.880000                 -3.209600
24.677300               150.610000                 -3.415200
25.499900               146.510000                 -3.733500
26.322400               142.340000                 -3.014100
27.145000               138.250000                 -3.464400
27.967600               134.180000                 -3.662400
28.790200               130.100000                 -3.090100
29.612700               126.000000                 -3.300200
30.435300               121.840000                 -3.284700
31.257900               117.820000                 -3.480400
32.080500               113.720000                 -3.583200
32.903100               109.550000                 -3.507000
33.725600               105.450000                 -3.346600
34.548200               101.310000                 -3.731000
35.370800               97.250000                 -3.297700
36.193400               93.169000                 -3.267200
37.015900               89.069000                 -3.589100
37.838500               84.942000                 -3.054200
38.661100               80.883000                 -3.584700
39.483700               76.807000                 -3.794000
40.306200               72.602000                 -3.506700
41.128800               68.469000                 -3.266000
41.951400               64.324000                 -3.280700
42.774000               60.267000                 -3.413800
43.596500               56.164000                 -3.423100
44.419100               51.957000                 -3.430000
45.241700               47.923000                 -3.399000
46.064300               43.840000                 -3.426600
46.886900               39.753000                 -2.968200
47.709400               35.622000                 -3.224900
48.532000               31.512000                 -3.085700
49.354600               27.420000                 -2.916300
50.177200               23.292000                 -3.419900
50.999700               19.184000                 -3.561300
51.822300               15.078000                 -3.617200
52.644900               10.957000                 -3.435400
53.467500               6.858000                 -3.654800
54.290000               2.835600                 -3.765000
55.112600               -1.214600                 -3.633400
55.935200               -5.437900                 -3.583700
56.757800               -9.568900                 -3.287100
57.580300               -13.677000                 -3.542100
58.402900               -17.752000                 -3.577800
59.225500               -21.837000                 -3.786400
60.048100               -25.963000                 -3.619100
60.870600               -30.053000                 -3.676900
61.693200               -34.161000                 -3.524200
62.515800               -38.285000                 -3.715500
63.338400               -42.319000                 -3.848300
64.161000               -46.440000                 -3.756100
64.983500               -50.560000                 -3.805500
65.806100               -54.686000                 -3.756400
66.628700               -58.741000                 -3.492000
67.451300               -62.833000                 -3.804300
68.273800               -66.934000                 -4.051700
69.096400               -71.044000                 -3.846600
69.919000               -75.159000                 -3.749500
70.741600               -79.174000                 -3.701800
71.564100               -83.349000                 -3.654800
72.386700               -87.503000                 -3.858700
73.209300               -91.618000                 -4.011100
74.031900               -95.721000                 -4.115400
74.854400               -99.787000                 -4.074800
75.677000               -103.870000                 -4.376100
76.499600               -107.980000                 -3.778200
77.322200               -112.100000                 -3.922800
78.144800               -116.180000                 -4.068200
78.967300               -120.240000                 -4.055900
