

Цикл № 1
Шаг  № 1
Точек  352
Линейная потенцио. развертка , ЭДС 89,474мВ, Скорость развертки 9,997 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.423800               87.285000                 -17.277000
0.847500               82.977000                 -26.236000
1.271300               78.827000                 -31.069000
1.695000               74.582000                 -34.940000
2.118800               70.207000                 -37.940000
2.542500               65.985000                 -40.318000
2.966300               61.776000                 -41.539000
3.390000               57.504000                 -41.890000
3.813800               53.371000                 -41.797000
4.237500               49.113000                 -41.960000
4.661300               44.922000                 -42.600000
5.085000               40.651000                 -43.134000
5.508800               36.374000                 -43.445000
5.932500               32.156000                 -43.656000
6.356300               27.974000                 -43.834000
6.780000               23.676000                 -44.277000
7.203800               19.480000                 -44.608000
7.627500               15.168000                 -44.991000
8.051300               10.982000                 -44.969000
8.475000               6.777300                 -45.207000
8.898800               2.532500                 -45.520000
9.322500               -1.654000                 -47.008000
9.746300               -5.992900                 -47.258000
10.170000               -10.171000                 -47.248000
10.593800               -14.447000                 -47.830000
11.017500               -18.638000                 -48.532000
11.441300               -22.864000                 -49.712000
11.865000               -27.069000                 -51.192000
12.288800               -31.291000                 -52.914000
12.712500               -35.527000                 -54.745000
13.136300               -39.714000                 -56.600000
13.560000               -43.914000                 -58.464000
13.983800               -48.217000                 -59.952000
14.407500               -52.435000                 -60.613000
14.831300               -56.688000                 -61.020000
15.255100               -60.848000                 -61.706000
15.678800               -65.133000                 -62.747000
16.102600               -69.293000                 -64.047000
16.526300               -73.488000                 -65.691000
16.950100               -77.706000                 -67.461000
17.373800               -81.937000                 -69.469000
17.797600               -86.299000                 -71.434000
18.221300               -90.597000                 -73.387000
18.645100               -94.748000                 -75.614000
19.068800               -98.957000                 -77.696000
19.492600               -103.210000                 -79.862000
19.916300               -107.400000                 -81.861000
20.340100               -111.650000                 -83.432000
20.763800               -115.800000                 -85.089000
21.187600               -120.020000                 -86.685000
21.611300               -124.270000                 -88.486000
22.035100               -128.500000                 -90.386000
22.458800               -132.800000                 -92.382000
22.882600               -136.960000                 -94.649000
23.306300               -141.150000                 -96.927000
23.730100               -145.400000                 -99.175000
24.153800               -149.720000                 -101.310000
24.577600               -153.880000                 -103.330000
25.001300               -158.140000                 -105.420000
25.425100               -162.410000                 -107.890000
25.848800               -166.680000                 -110.450000
26.272600               -170.910000                 -112.950000
26.696300               -175.080000                 -115.530000
27.120100               -179.310000                 -118.050000
27.543800               -183.570000                 -120.490000
27.967600               -187.760000                 -123.040000
28.391300               -192.000000                 -125.630000
28.815100               -196.220000                 -128.330000
