

Цикл № 1
Шаг  № 1
Точек  1502
Потенциостатический стационарный режим 200мВ
Время, с.              Потенциал, мВ            Ток, мкА
0.289600               199.800000                 7180.200000
0.563800               199.960000                 6892.200000
0.838000               199.890000                 6630.800000
1.112200               199.790000                 6396.300000
1.386400               199.850000                 6184.800000
1.660600               199.870000                 5993.500000
1.934700               199.930000                 5820.800000
2.208900               199.940000                 5662.800000
2.483100               199.960000                 5517.100000
2.757300               199.960000                 5383.300000
3.031500               199.890000                 5259.800000
3.305700               199.940000                 5144.700000
3.579900               199.920000                 5036.800000
3.854100               199.890000                 4936.600000
4.128300               199.820000                 4842.300000
4.402500               199.820000                 4752.500000
4.676700               199.850000                 4669.800000
4.950900               199.790000                 4590.800000
5.225100               199.890000                 4515.500000
5.499200               199.820000                 4444.500000
5.773400               199.840000                 4377.800000
6.047600               200.010000                 4313.800000
6.321800               199.820000                 4251.700000
6.596000               199.950000                 4194.800000
6.870200               200.000000                 4139.100000
7.144400               199.940000                 4085.000000
7.418600               199.870000                 4034.700000
7.692800               199.790000                 3986.300000
7.967000               199.940000                 3939.500000
8.241200               199.940000                 3894.400000
8.515400               199.840000                 3851.900000
8.789500               199.940000                 3810.500000
9.063700               199.870000                 3769.800000
9.337900               199.970000                 3732.500000
9.612100               199.840000                 3695.900000
9.886300               200.030000                 3660.200000
10.160500               199.870000                 3625.800000
10.434700               199.890000                 3593.500000
10.708900               199.850000                 3561.300000
10.983100               199.890000                 3530.100000
11.257300               199.910000                 3500.900000
11.531500               199.920000                 3472.900000
11.805700               199.940000                 3444.900000
12.079900               200.010000                 3419.300000
12.354000               199.890000                 3394.200000
12.628200               199.880000                 3369.400000
12.902400               199.890000                 3345.100000
13.176600               199.990000                 3323.100000
13.450800               199.970000                 3301.200000
13.725000               199.920000                 3279.200000
13.999200               199.820000                 3258.100000
14.273400               199.800000                 3238.600000
14.547600               199.780000                 3219.000000
14.821800               199.760000                 3199.500000
15.096000               199.830000                 3182.200000
15.370200               199.840000                 3164.900000
15.644400               199.800000                 3146.900000
15.918500               199.850000                 3131.000000
16.192700               199.850000                 3115.500000
16.466900               199.750000                 3099.100000
16.741100               199.890000                 3084.400000
17.015300               199.870000                 3070.000000
17.289500               199.800000                 3055.100000
17.563700               199.820000                 3040.400000
17.837900               199.970000                 3027.900000
18.112100               199.840000                 3013.600000
18.386300               199.980000                 3000.500000
18.660500               200.000000                 2988.300000
18.934700               199.910000                 2975.500000
19.208800               199.840000                 2963.000000
19.483000               199.870000                 2951.300000
19.757200               199.920000                 2940.100000
20.031400               199.890000                 2928.200000
20.305600               199.870000                 2916.900000
20.579800               199.880000                 2906.800000
20.854000               199.940000                 2896.200000
21.128200               199.930000                 2885.400000
21.402400               199.870000                 2874.800000
21.676600               199.910000                 2865.600000
21.950800               199.920000                 2855.300000
22.225000               199.860000                 2845.500000
22.499200               199.760000                 2836.500000
22.773300               199.890000                 2827.400000
23.047500               199.890000                 2818.000000
23.321700               199.740000                 2809.800000
23.595900               199.920000                 2801.300000
23.870100               199.940000                 2792.000000
24.144300               199.870000                 2784.300000
24.418500               199.870000                 2776.600000
24.692700               199.940000                 2768.300000
24.966900               199.780000                 2759.900000
