"IV1_1.TMC"
Time/sec,Abs
0.0,1.8180
2.0,1.8017
4.0,1.7872
6.0,1.7803
8.0,1.7861
10.0,1.8071
12.0,1.8085
14.0,1.8001
16.0,1.7711
18.0,1.7378
20.0,1.7059
22.0,1.6744
24.0,1.6505
26.0,1.6327
28.0,1.6163
30.0,1.5998
32.0,1.5830
34.0,1.5660
36.0,1.5490
38.0,1.5322
40.0,1.5155
42.0,1.4989
44.0,1.4828
46.0,1.4678
48.0,1.4522
50.0,1.4375
52.0,1.4231
54.0,1.4089
56.0,1.3951
58.0,1.3816
60.0,1.3684
62.0,1.3556
64.0,1.3434
66.0,1.3318
68.0,1.3212
70.0,1.3109
72.0,1.3009
74.0,1.2913
76.0,1.2820
78.0,1.2727
80.0,1.2628
82.0,1.2526
84.0,1.2422
86.0,1.2312
88.0,1.2195
90.0,1.2070
92.0,1.1937
94.0,1.1801
96.0,1.1667
98.0,1.1538
100.0,1.1418
102.0,1.1307
104.0,1.1202
106.0,1.1099
108.0,1.0995
110.0,1.0888
112.0,1.0783
114.0,1.0680
116.0,1.0578
118.0,1.0476
120.0,1.0374
122.0,1.0276
124.0,1.0178
126.0,1.0076
128.0,0.9975
130.0,0.9876
132.0,0.9777
134.0,0.9677
136.0,0.9580
138.0,0.9481
140.0,0.9383
142.0,0.9287
144.0,0.9194
146.0,0.9104
148.0,0.9016
150.0,0.8931
152.0,0.8848
154.0,0.8768
156.0,0.8692
158.0,0.8617
160.0,0.8543
162.0,0.8470
164.0,0.8399
166.0,0.8328
168.0,0.8256
170.0,0.8184
172.0,0.8109
174.0,0.8033
176.0,0.7956
178.0,0.7879
180.0,0.7802
182.0,0.7726
184.0,0.7650
186.0,0.7575
188.0,0.7499
190.0,0.7427
192.0,0.7356
194.0,0.7289
196.0,0.7223
198.0,0.7160
200.0,0.7098
202.0,0.7038
204.0,0.6979
206.0,0.6921
208.0,0.6864
210.0,0.6807
212.0,0.6752
214.0,0.6698
216.0,0.6644
218.0,0.6591
220.0,0.6540
222.0,0.6489
224.0,0.6438
226.0,0.6388
228.0,0.6339
230.0,0.6288
232.0,0.6237
234.0,0.6185
236.0,0.6132
238.0,0.6081
240.0,0.6031
242.0,0.5982
244.0,0.5933
246.0,0.5886
248.0,0.5841
250.0,0.5796
252.0,0.5752
254.0,0.5709
256.0,0.5669
258.0,0.5629
260.0,0.5586
262.0,0.5543
264.0,0.5502
266.0,0.5461
268.0,0.5420
270.0,0.5379
272.0,0.5341
274.0,0.5306
276.0,0.5267
278.0,0.5223
280.0,0.5179
282.0,0.5140
284.0,0.5103
286.0,0.5067
288.0,0.5030
290.0,0.4992
292.0,0.4955
294.0,0.4919
296.0,0.4884
298.0,0.4848
300.0,0.4813
302.0,0.4779
304.0,0.4745
306.0,0.4712
308.0,0.4680
310.0,0.4648
312.0,0.4616
314.0,0.4586
316.0,0.4556
318.0,0.4526
320.0,0.4496
322.0,0.4468
324.0,0.4439
326.0,0.4411
328.0,0.4382
330.0,0.4353
332.0,0.4326
334.0,0.4300
336.0,0.4273
338.0,0.4248
340.0,0.4223
342.0,0.4202
344.0,0.4180
346.0,0.4156
348.0,0.4132
350.0,0.4110
352.0,0.4088
354.0,0.4067
356.0,0.4046
358.0,0.4024
360.0,0.4003
362.0,0.3982
364.0,0.3962
366.0,0.3940
368.0,0.3918
370.0,0.3897
372.0,0.3877
374.0,0.3857
376.0,0.3837
378.0,0.3818
380.0,0.3798
382.0,0.3780
384.0,0.3761
386.0,0.3740
388.0,0.3720
390.0,0.3700
392.0,0.3680
394.0,0.3661
396.0,0.3641
398.0,0.3621
400.0,0.3602
402.0,0.3583
404.0,0.3565
406.0,0.3548
408.0,0.3531
410.0,0.3514
412.0,0.3497
414.0,0.3479
416.0,0.3461
418.0,0.3444
420.0,0.3428
422.0,0.3412
424.0,0.3397
426.0,0.3382
428.0,0.3368
430.0,0.3353
432.0,0.3338
434.0,0.3322
436.0,0.3306
438.0,0.3292
440.0,0.3277
442.0,0.3263
444.0,0.3251
446.0,0.3238
448.0,0.3224
450.0,0.3211
452.0,0.3197
454.0,0.3183
456.0,0.3170
458.0,0.3158
460.0,0.3145
462.0,0.3132
464.0,0.3119
466.0,0.3107
468.0,0.3094
470.0,0.3082
472.0,0.3069
474.0,0.3057
476.0,0.3046
478.0,0.3036
480.0,0.3025
482.0,0.3011
484.0,0.3000
486.0,0.2989
488.0,0.2978
490.0,0.2968
492.0,0.2957
494.0,0.2947
496.0,0.2937
498.0,0.2926
500.0,0.2915
502.0,0.2905
504.0,0.2895
506.0,0.2885
508.0,0.2874
510.0,0.2865
512.0,0.2855
514.0,0.2845
516.0,0.2837
518.0,0.2829
520.0,0.2820
522.0,0.2812
524.0,0.2803
526.0,0.2794
528.0,0.2785
530.0,0.2777
532.0,0.2769
534.0,0.2761
536.0,0.2754
538.0,0.2747
540.0,0.2741
542.0,0.2733
544.0,0.2726
546.0,0.2718
548.0,0.2710
550.0,0.2702
552.0,0.2694
554.0,0.2686
556.0,0.2679
558.0,0.2671
560.0,0.2664
562.0,0.2657
564.0,0.2650
566.0,0.2643
568.0,0.2636
570.0,0.2630
572.0,0.2624
574.0,0.2618
576.0,0.2611
578.0,0.2604
580.0,0.2598
582.0,0.2592
584.0,0.2586
586.0,0.2580
588.0,0.2575
590.0,0.2569
592.0,0.2563
594.0,0.2558
596.0,0.2553
598.0,0.2548
600.0,0.2542
