"IV1_1REA.TMC"
Time/sec,Abs
0.0,2.0003
2.0,1.9939
4.0,1.9891
6.0,1.9871
8.0,1.9893
10.0,1.9895
12.0,1.9812
14.0,1.9682
16.0,1.9466
18.0,1.9440
20.0,1.9460
22.0,1.9384
24.0,1.9307
26.0,1.9244
28.0,1.9197
30.0,1.9159
32.0,1.9112
34.0,1.9054
36.0,1.8980
38.0,1.8907
40.0,1.8845
42.0,1.8792
44.0,1.8743
46.0,1.8690
48.0,1.8644
50.0,1.8595
52.0,1.8529
54.0,1.8467
56.0,1.8405
58.0,1.8344
60.0,1.8286
62.0,1.8226
64.0,1.8167
66.0,1.8113
68.0,1.8059
70.0,1.8007
72.0,1.7956
74.0,1.7905
76.0,1.7851
78.0,1.7800
80.0,1.7748
82.0,1.7700
84.0,1.7652
86.0,1.7606
88.0,1.7556
90.0,1.7509
92.0,1.7463
94.0,1.7412
96.0,1.7359
98.0,1.7306
100.0,1.7249
102.0,1.7193
104.0,1.7140
106.0,1.7089
108.0,1.7043
110.0,1.6997
112.0,1.6952
114.0,1.6907
116.0,1.6856
118.0,1.6802
120.0,1.6742
122.0,1.6682
124.0,1.6625
126.0,1.6573
128.0,1.6523
130.0,1.6472
132.0,1.6426
134.0,1.6380
136.0,1.6331
138.0,1.6284
140.0,1.6236
142.0,1.6187
144.0,1.6138
146.0,1.6086
148.0,1.6038
150.0,1.5988
152.0,1.5940
154.0,1.5891
156.0,1.5844
158.0,1.5801
160.0,1.5754
162.0,1.5700
164.0,1.5651
166.0,1.5604
168.0,1.5556
170.0,1.5509
172.0,1.5461
174.0,1.5415
176.0,1.5369
178.0,1.5322
180.0,1.5275
182.0,1.5230
184.0,1.5184
186.0,1.5138
188.0,1.5096
190.0,1.5053
192.0,1.5011
194.0,1.4968
196.0,1.4925
198.0,1.4883
200.0,1.4841
202.0,1.4799
204.0,1.4756
206.0,1.4713
208.0,1.4668
210.0,1.4627
212.0,1.4583
214.0,1.4540
216.0,1.4498
218.0,1.4454
220.0,1.4412
222.0,1.4371
224.0,1.4331
226.0,1.4289
228.0,1.4247
230.0,1.4207
232.0,1.4166
234.0,1.4126
236.0,1.4086
238.0,1.4046
240.0,1.4006
242.0,1.3966
244.0,1.3927
246.0,1.3888
248.0,1.3849
250.0,1.3811
252.0,1.3774
254.0,1.3736
256.0,1.3696
258.0,1.3656
260.0,1.3618
262.0,1.3581
264.0,1.3545
266.0,1.3508
268.0,1.3471
270.0,1.3435
272.0,1.3399
274.0,1.3362
276.0,1.3327
278.0,1.3290
280.0,1.3253
282.0,1.3217
284.0,1.3181
286.0,1.3146
288.0,1.3110
290.0,1.3075
292.0,1.3039
294.0,1.3005
296.0,1.2970
298.0,1.2936
300.0,1.2900
302.0,1.2866
304.0,1.2831
306.0,1.2797
308.0,1.2763
310.0,1.2729
312.0,1.2695
314.0,1.2660
316.0,1.2627
318.0,1.2592
320.0,1.2559
322.0,1.2526
324.0,1.2492
326.0,1.2459
328.0,1.2426
330.0,1.2394
332.0,1.2362
334.0,1.2330
336.0,1.2299
338.0,1.2268
340.0,1.2238
342.0,1.2206
344.0,1.2176
346.0,1.2146
348.0,1.2116
350.0,1.2085
352.0,1.2055
354.0,1.2026
356.0,1.1995
358.0,1.1964
360.0,1.1934
362.0,1.1904
364.0,1.1875
366.0,1.1847
368.0,1.1816
370.0,1.1786
372.0,1.1757
374.0,1.1727
376.0,1.1698
378.0,1.1668
380.0,1.1640
382.0,1.1612
384.0,1.1584
386.0,1.1555
388.0,1.1527
390.0,1.1498
392.0,1.1470
394.0,1.1442
396.0,1.1415
398.0,1.1388
400.0,1.1362
402.0,1.1335
404.0,1.1307
406.0,1.1279
408.0,1.1252
410.0,1.1227
412.0,1.1200
414.0,1.1175
416.0,1.1148
418.0,1.1123
420.0,1.1098
422.0,1.1073
424.0,1.1048
426.0,1.1023
428.0,1.0998
430.0,1.0974
432.0,1.0949
434.0,1.0924
436.0,1.0900
438.0,1.0877
440.0,1.0852
442.0,1.0828
444.0,1.0804
446.0,1.0780
448.0,1.0756
450.0,1.0731
452.0,1.0707
454.0,1.0682
456.0,1.0659
458.0,1.0634
460.0,1.0611
462.0,1.0586
464.0,1.0562
466.0,1.0538
468.0,1.0515
470.0,1.0492
472.0,1.0470
474.0,1.0447
476.0,1.0424
478.0,1.0401
480.0,1.0379
482.0,1.0357
484.0,1.0336
486.0,1.0314
488.0,1.0293
490.0,1.0274
492.0,1.0254
494.0,1.0233
496.0,1.0213
498.0,1.0191
500.0,1.0167
502.0,1.0144
504.0,1.0120
506.0,1.0096
508.0,1.0073
510.0,1.0051
512.0,1.0029
514.0,1.0008
516.0,0.9987
518.0,0.9967
520.0,0.9948
522.0,0.9928
524.0,0.9907
526.0,0.9887
528.0,0.9867
530.0,0.9847
532.0,0.9826
534.0,0.9806
536.0,0.9787
538.0,0.9766
540.0,0.9746
542.0,0.9727
544.0,0.9708
546.0,0.9688
548.0,0.9670
550.0,0.9652
552.0,0.9632
554.0,0.9614
556.0,0.9595
558.0,0.9577
560.0,0.9558
562.0,0.9541
564.0,0.9523
566.0,0.9505
568.0,0.9487
570.0,0.9468
572.0,0.9450
574.0,0.9433
576.0,0.9416
578.0,0.9397
580.0,0.9377
582.0,0.9359
584.0,0.9341
586.0,0.9322
588.0,0.9304
590.0,0.9287
592.0,0.9269
594.0,0.9251
596.0,0.9234
598.0,0.9217
600.0,0.9200
