"IV2_3.TMC"
Time/sec,Abs
0.0,1.9367
2.0,1.9180
4.0,1.9013
6.0,1.8839
8.0,1.8664
10.0,1.8485
12.0,1.8318
14.0,1.8157
16.0,1.7991
18.0,1.7819
20.0,1.7642
22.0,1.7473
24.0,1.7303
26.0,1.7133
28.0,1.6954
30.0,1.6780
32.0,1.6614
34.0,1.6453
36.0,1.6295
38.0,1.6139
40.0,1.5980
42.0,1.5820
44.0,1.5664
46.0,1.5510
48.0,1.5362
50.0,1.5217
52.0,1.5067
54.0,1.4920
56.0,1.4774
58.0,1.4628
60.0,1.4486
62.0,1.4344
64.0,1.4203
66.0,1.4065
68.0,1.3930
70.0,1.3797
72.0,1.3666
74.0,1.3536
76.0,1.3406
78.0,1.3277
80.0,1.3150
82.0,1.3023
84.0,1.2898
86.0,1.2775
88.0,1.2654
90.0,1.2535
92.0,1.2416
94.0,1.2298
96.0,1.2181
98.0,1.2066
100.0,1.1952
102.0,1.1840
104.0,1.1728
106.0,1.1619
108.0,1.1510
110.0,1.1402
112.0,1.1296
114.0,1.1191
116.0,1.1087
118.0,1.0984
120.0,1.0882
122.0,1.0781
124.0,1.0681
126.0,1.0582
128.0,1.0484
130.0,1.0388
132.0,1.0292
134.0,1.0198
136.0,1.0105
138.0,1.0012
140.0,0.9920
142.0,0.9830
144.0,0.9741
146.0,0.9652
148.0,0.9564
150.0,0.9478
152.0,0.9393
154.0,0.9309
156.0,0.9226
158.0,0.9144
160.0,0.9064
162.0,0.8984
164.0,0.8905
166.0,0.8825
168.0,0.8748
170.0,0.8671
172.0,0.8596
174.0,0.8521
176.0,0.8447
178.0,0.8374
180.0,0.8302
182.0,0.8232
184.0,0.8162
186.0,0.8092
188.0,0.8023
190.0,0.7954
192.0,0.7888
194.0,0.7821
196.0,0.7755
198.0,0.7690
200.0,0.7627
202.0,0.7564
204.0,0.7501
206.0,0.7438
208.0,0.7375
210.0,0.7315
212.0,0.7256
214.0,0.7196
216.0,0.7138
218.0,0.7080
220.0,0.7023
222.0,0.6967
224.0,0.6912
226.0,0.6857
228.0,0.6802
230.0,0.6748
232.0,0.6695
234.0,0.6643
236.0,0.6592
238.0,0.6541
240.0,0.6490
242.0,0.6439
244.0,0.6390
246.0,0.6342
248.0,0.6294
250.0,0.6247
252.0,0.6200
254.0,0.6154
256.0,0.6108
258.0,0.6063
260.0,0.6018
262.0,0.5975
264.0,0.5931
266.0,0.5888
268.0,0.5846
270.0,0.5804
272.0,0.5762
274.0,0.5721
276.0,0.5680
278.0,0.5641
280.0,0.5602
282.0,0.5563
284.0,0.5525
286.0,0.5488
288.0,0.5451
290.0,0.5414
292.0,0.5378
294.0,0.5342
296.0,0.5306
298.0,0.5271
300.0,0.5235
302.0,0.5201
304.0,0.5166
306.0,0.5132
308.0,0.5098
310.0,0.5065
312.0,0.5033
314.0,0.5002
316.0,0.4970
318.0,0.4939
320.0,0.4908
322.0,0.4877
324.0,0.4848
326.0,0.4821
328.0,0.4791
330.0,0.4762
332.0,0.4732
334.0,0.4704
336.0,0.4676
338.0,0.4648
340.0,0.4620
342.0,0.4595
344.0,0.4569
346.0,0.4544
348.0,0.4518
350.0,0.4492
352.0,0.4465
354.0,0.4439
356.0,0.4414
358.0,0.4390
360.0,0.4366
362.0,0.4342
364.0,0.4318
366.0,0.4295
368.0,0.4272
370.0,0.4249
372.0,0.4226
374.0,0.4204
376.0,0.4183
378.0,0.4161
380.0,0.4140
382.0,0.4119
384.0,0.4099
386.0,0.4079
388.0,0.4059
390.0,0.4040
392.0,0.4020
394.0,0.4001
396.0,0.3982
398.0,0.3963
400.0,0.3944
402.0,0.3926
404.0,0.3908
406.0,0.3891
408.0,0.3873
410.0,0.3856
412.0,0.3838
414.0,0.3821
416.0,0.3804
418.0,0.3788
420.0,0.3771
422.0,0.3755
424.0,0.3740
426.0,0.3724
428.0,0.3707
430.0,0.3692
432.0,0.3677
434.0,0.3662
436.0,0.3647
438.0,0.3633
440.0,0.3618
442.0,0.3604
444.0,0.3590
446.0,0.3576
448.0,0.3562
450.0,0.3549
452.0,0.3536
454.0,0.3522
456.0,0.3509
458.0,0.3495
460.0,0.3482
462.0,0.3470
464.0,0.3457
466.0,0.3445
468.0,0.3434
470.0,0.3422
472.0,0.3410
474.0,0.3398
476.0,0.3387
478.0,0.3375
480.0,0.3363
482.0,0.3351
484.0,0.3340
486.0,0.3330
488.0,0.3319
490.0,0.3309
492.0,0.3298
494.0,0.3288
496.0,0.3278
498.0,0.3268
500.0,0.3258
502.0,0.3248
504.0,0.3239
506.0,0.3229
508.0,0.3220
510.0,0.3211
512.0,0.3203
514.0,0.3194
516.0,0.3185
518.0,0.3175
520.0,0.3165
522.0,0.3156
524.0,0.3148
526.0,0.3139
528.0,0.3131
530.0,0.3123
532.0,0.3115
534.0,0.3106
536.0,0.3099
538.0,0.3091
540.0,0.3083
542.0,0.3076
544.0,0.3068
546.0,0.3061
548.0,0.3054
550.0,0.3047
552.0,0.3040
554.0,0.3033
556.0,0.3027
558.0,0.3020
560.0,0.3014
562.0,0.3007
564.0,0.3000
566.0,0.2994
568.0,0.2988
570.0,0.2981
572.0,0.2975
574.0,0.2969
576.0,0.2963
578.0,0.2957
580.0,0.2951
582.0,0.2944
584.0,0.2938
586.0,0.2932
588.0,0.2926
590.0,0.2921
592.0,0.2915
594.0,0.2909
596.0,0.2904
598.0,0.2899
600.0,0.2894
