"IV24.TMC"
Time/sec,Abs
0.0,1.6975
2.0,1.6886
4.0,1.6790
6.0,1.6686
8.0,1.6567
10.0,1.6435
12.0,1.6298
14.0,1.6161
16.0,1.6025
18.0,1.5887
20.0,1.5745
22.0,1.5595
24.0,1.5445
26.0,1.5296
28.0,1.5149
30.0,1.5007
32.0,1.4871
34.0,1.4739
36.0,1.4612
38.0,1.4485
40.0,1.4354
42.0,1.4209
44.0,1.4075
46.0,1.3942
48.0,1.3808
50.0,1.3676
52.0,1.3545
54.0,1.3414
56.0,1.3283
58.0,1.3152
60.0,1.3026
62.0,1.2906
64.0,1.2790
66.0,1.2674
68.0,1.2558
70.0,1.2444
72.0,1.2330
74.0,1.2218
76.0,1.2108
78.0,1.1999
80.0,1.1889
82.0,1.1780
84.0,1.1671
86.0,1.1561
88.0,1.1453
90.0,1.1345
92.0,1.1239
94.0,1.1134
96.0,1.1031
98.0,1.0928
100.0,1.0826
102.0,1.0725
104.0,1.0625
106.0,1.0526
108.0,1.0428
110.0,1.0331
112.0,1.0237
114.0,1.0144
116.0,1.0053
118.0,0.9963
120.0,0.9874
122.0,0.9786
124.0,0.9699
126.0,0.9614
128.0,0.9530
130.0,0.9449
132.0,0.9368
134.0,0.9289
136.0,0.9212
138.0,0.9136
140.0,0.9058
142.0,0.8982
144.0,0.8904
146.0,0.8828
148.0,0.8754
150.0,0.8681
152.0,0.8607
154.0,0.8533
156.0,0.8460
158.0,0.8389
160.0,0.8319
162.0,0.8251
164.0,0.8183
166.0,0.8116
168.0,0.8049
170.0,0.7984
172.0,0.7919
174.0,0.7854
176.0,0.7790
178.0,0.7724
180.0,0.7659
182.0,0.7596
184.0,0.7535
186.0,0.7474
188.0,0.7414
190.0,0.7354
192.0,0.7295
194.0,0.7236
196.0,0.7179
198.0,0.7122
200.0,0.7067
202.0,0.7012
204.0,0.6959
206.0,0.6907
208.0,0.6855
210.0,0.6803
212.0,0.6751
214.0,0.6699
216.0,0.6649
218.0,0.6600
220.0,0.6551
222.0,0.6504
224.0,0.6457
226.0,0.6411
228.0,0.6365
230.0,0.6320
232.0,0.6278
234.0,0.6235
236.0,0.6193
238.0,0.6151
240.0,0.6110
242.0,0.6069
244.0,0.6029
246.0,0.5988
248.0,0.5949
250.0,0.5909
252.0,0.5870
254.0,0.5831
256.0,0.5792
258.0,0.5753
260.0,0.5715
262.0,0.5678
264.0,0.5641
266.0,0.5603
268.0,0.5567
270.0,0.5530
272.0,0.5494
274.0,0.5459
276.0,0.5425
278.0,0.5389
280.0,0.5352
282.0,0.5317
284.0,0.5282
286.0,0.5248
288.0,0.5215
290.0,0.5183
292.0,0.5150
294.0,0.5119
296.0,0.5088
298.0,0.5057
300.0,0.5028
302.0,0.4998
304.0,0.4969
306.0,0.4940
308.0,0.4912
310.0,0.4884
312.0,0.4857
314.0,0.4830
316.0,0.4803
318.0,0.4777
320.0,0.4751
322.0,0.4725
324.0,0.4700
326.0,0.4676
328.0,0.4652
330.0,0.4627
332.0,0.4603
334.0,0.4578
336.0,0.4555
338.0,0.4531
340.0,0.4508
342.0,0.4485
344.0,0.4462
346.0,0.4439
348.0,0.4416
350.0,0.4393
352.0,0.4370
354.0,0.4349
356.0,0.4327
358.0,0.4306
360.0,0.4285
362.0,0.4265
364.0,0.4245
366.0,0.4225
368.0,0.4205
370.0,0.4186
372.0,0.4166
374.0,0.4147
376.0,0.4127
378.0,0.4109
380.0,0.4091
382.0,0.4073
384.0,0.4055
386.0,0.4037
388.0,0.4020
390.0,0.4003
392.0,0.3987
394.0,0.3970
396.0,0.3954
398.0,0.3937
400.0,0.3921
402.0,0.3906
404.0,0.3890
406.0,0.3875
408.0,0.3859
410.0,0.3844
412.0,0.3830
414.0,0.3815
416.0,0.3801
418.0,0.3787
420.0,0.3773
422.0,0.3759
424.0,0.3745
426.0,0.3733
428.0,0.3719
430.0,0.3703
432.0,0.3689
434.0,0.3676
436.0,0.3663
438.0,0.3650
440.0,0.3638
442.0,0.3625
444.0,0.3613
446.0,0.3600
448.0,0.3588
450.0,0.3575
452.0,0.3563
454.0,0.3551
456.0,0.3540
458.0,0.3529
460.0,0.3518
462.0,0.3507
464.0,0.3496
466.0,0.3484
468.0,0.3474
470.0,0.3464
472.0,0.3453
474.0,0.3442
476.0,0.3432
478.0,0.3422
480.0,0.3413
482.0,0.3403
484.0,0.3393
486.0,0.3383
488.0,0.3374
490.0,0.3365
492.0,0.3355
494.0,0.3346
496.0,0.3337
498.0,0.3328
500.0,0.3319
502.0,0.3311
504.0,0.3303
506.0,0.3294
508.0,0.3286
510.0,0.3277
512.0,0.3269
514.0,0.3262
516.0,0.3254
518.0,0.3246
520.0,0.3238
522.0,0.3230
524.0,0.3222
526.0,0.3215
528.0,0.3207
530.0,0.3200
532.0,0.3192
534.0,0.3185
536.0,0.3178
538.0,0.3172
540.0,0.3164
542.0,0.3157
544.0,0.3151
546.0,0.3144
548.0,0.3137
550.0,0.3130
552.0,0.3124
554.0,0.3118
556.0,0.3111
558.0,0.3105
560.0,0.3099
562.0,0.3093
564.0,0.3087
566.0,0.3081
568.0,0.3075
570.0,0.3070
572.0,0.3064
574.0,0.3058
576.0,0.3053
578.0,0.3047
580.0,0.3041
582.0,0.3036
584.0,0.3031
586.0,0.3025
588.0,0.3020
590.0,0.3015
592.0,0.3010
594.0,0.3005
596.0,0.3000
598.0,0.2996
600.0,0.2991
