Time_Sec,IV1_1,IV1_1REA,IV1_2,IV1_4,IV1_5,IV1_6,IV21,IV22,IV23,IV24,IV25,IV26
0.0,1.818,2.0003,1.9058,1.85,1.8066,2.0503,1.842,1.9715,1.9367,1.6975,1.962,2.1157
2.0,1.8017,1.9939,1.8944,1.8255,1.7771,2.0062,1.8339,1.9557,1.918,1.6886,1.945,2.0934
4.0,1.7872,1.9891,1.8829,1.8026,1.7463,1.9634,1.8247,1.9406,1.9013,1.679,1.929,2.0736
6.0,1.7803,1.9871,1.8722,1.7775,1.7191,1.9225,1.8153,1.9242,1.8839,1.6686,1.9137,2.0563
8.0,1.7861,1.9893,1.8619,1.7503,1.6976,1.8836,1.8062,1.9063,1.8664,1.6567,1.894,2.0416
10.0,1.8071,1.9895,1.8537,1.7263,1.6762,1.8458,1.7965,1.8904,1.8485,1.6435,1.8764,2.0269
12.0,1.8085,1.9812,1.8431,1.7026,1.6485,1.8094,1.7867,1.8745,1.8318,1.6298,1.8589,2.006
14.0,1.8001,1.9682,1.8332,1.6807,1.6105,1.774,1.776,1.8578,1.8157,1.6161,1.8415,1.9846
16.0,1.7711,1.9466,1.8244,1.6586,1.5715,1.7355,1.7646,1.841,1.7991,1.6025,1.8239,1.9643
18.0,1.7378,1.944,1.8123,1.6361,1.5369,1.696,1.7534,1.8243,1.7819,1.5887,1.8065,1.9439
20.0,1.7059,1.946,1.799,1.613,1.5043,1.6564,1.7428,1.8078,1.7642,1.5745,1.7895,1.9254
22.0,1.6744,1.9384,1.7856,1.5889,1.4747,1.6151,1.7331,1.7914,1.7473,1.5595,1.7725,1.9077
24.0,1.6505,1.9307,1.7723,1.5645,1.448,1.5734,1.724,1.7753,1.7303,1.5445,1.7556,1.8899
26.0,1.6327,1.9244,1.7597,1.5404,1.4209,1.5346,1.7151,1.7594,1.7133,1.5296,1.7386,1.872
28.0,1.6163,1.9197,1.7485,1.5174,1.3943,1.4981,1.7059,1.7439,1.6954,1.5149,1.7216,1.8535
30.0,1.5998,1.9159,1.7368,1.495,1.3687,1.4622,1.6972,1.7285,1.678,1.5007,1.7051,1.8345
