Time_Sec,IV21,IV22,IV23,IV24,IV25,IV26
0.0,1.842,1.9715,1.9367,1.6975,1.962,2.1157
2.0,1.8339,1.9557,1.918,1.6886,1.945,2.0934
4.0,1.8247,1.9406,1.9013,1.679,1.929,2.0736
6.0,1.8153,1.9242,1.8839,1.6686,1.9137,2.0563
8.0,1.8062,1.9063,1.8664,1.6567,1.894,2.0416
10.0,1.7965,1.8904,1.8485,1.6435,1.8764,2.0269
12.0,1.7867,1.8745,1.8318,1.6298,1.8589,2.006
14.0,1.776,1.8578,1.8157,1.6161,1.8415,1.9846
16.0,1.7646,1.841,1.7991,1.6025,1.8239,1.9643
18.0,1.7534,1.8243,1.7819,1.5887,1.8065,1.9439
20.0,1.7428,1.8078,1.7642,1.5745,1.7895,1.9254
22.0,1.7331,1.7914,1.7473,1.5595,1.7725,1.9077
24.0,1.724,1.7753,1.7303,1.5445,1.7556,1.8899
26.0,1.7151,1.7594,1.7133,1.5296,1.7386,1.872
28.0,1.7059,1.7439,1.6954,1.5149,1.7216,1.8535
30.0,1.6972,1.7285,1.678,1.5007,1.7051,1.8345
32.0,1.6889,1.713,1.6614,1.4871,1.6889,1.8147
34.0,1.6811,1.6979,1.6453,1.4739,1.6723,1.7945
36.0,1.6731,1.6828,1.6295,1.4612,1.6558,1.7745
38.0,1.665,1.6678,1.6139,1.4485,1.64,1.7544
40.0,1.6563,1.6526,1.598,1.4354,1.6241,1.735
42.0,1.6483,1.6374,1.582,1.4209,1.6087,1.7161
44.0,1.6405,1.6225,1.5664,1.4075,1.5939,1.6977
46.0,1.6326,1.6079,1.551,1.3942,1.5791,1.6798
48.0,1.625,1.5937,1.5362,1.3808,1.564,1.6624
50.0,1.6171,1.5795,1.5217,1.3676,1.5489,1.6451
52.0,1.6092,1.5657,1.5067,1.3545,1.5336,1.6281
54.0,1.6014,1.5519,1.492,1.3414,1.5185,1.6114
56.0,1.5936,1.5382,1.4774,1.3283,1.5035,1.595
58.0,1.5861,1.5246,1.4628,1.3152,1.489,1.579
60.0,1.5789,1.5111,1.4486,1.3026,1.4744,1.5635
62.0,1.5718,1.4976,1.4344,1.2906,1.4598,1.5482
64.0,1.5649,1.4843,1.4203,1.279,1.4457,1.533
66.0,1.558,1.471,1.4065,1.2674,1.4321,1.518
68.0,1.5509,1.4579,1.393,1.2558,1.4184,1.5029
70.0,1.5439,1.445,1.3797,1.2444,1.4047,1.4882
72.0,1.5369,1.4322,1.3666,1.233,1.3911,1.4734
74.0,1.5298,1.4194,1.3536,1.2218,1.3777,1.4586
76.0,1.5226,1.4069,1.3406,1.2108,1.3644,1.4439
78.0,1.516,1.3944,1.3277,1.1999,1.3512,1.4293
80.0,1.5089,1.3819,1.315,1.1889,1.3378,1.4148
82.0,1.5016,1.3695,1.3023,1.178,1.3241,1.4004
84.0,1.4942,1.3572,1.2898,1.1671,1.311,1.386
86.0,1.487,1.3451,1.2775,1.1561,1.2982,1.3716
88.0,1.4798,1.3332,1.2654,1.1453,1.2856,1.3574
90.0,1.4726,1.3213,1.2535,1.1345,1.2732,1.3432
92.0,1.4653,1.3096,1.2416,1.1239,1.2611,1.3291
94.0,1.4581,1.298,1.2298,1.1134,1.2489,1.3151
96.0,1.4507,1.2865,1.2181,1.1031,1.2369,1.3015
98.0,1.4437,1.2751,1.2066,1.0928,1.2248,1.2882
100.0,1.4365,1.2638,1.1952,1.0826,1.2127,1.2751
102.0,1.4293,1.2527,1.184,1.0725,1.2007,1.2623
104.0,1.422,1.2416,1.1728,1.0625,1.1888,1.2498
106.0,1.4149,1.2306,1.1619,1.0526,1.1769,1.2378
108.0,1.4077,1.2198,1.151,1.0428,1.1655,1.2251
110.0,1.4006,1.209,1.1402,1.0331,1.1543,1.2122
112.0,1.3935,1.1983,1.1296,1.0237,1.1429,1.2
114.0,1.3865,1.1877,1.1191,1.0144,1.1316,1.1879
116.0,1.3796,1.1771,1.1087,1.0053,1.1207,1.176
118.0,1.3729,1.1667,1.0984,0.9963,1.1099,1.1641
120.0,1.366,1.1564,1.0882,0.9874,1.0991,1.1525
122.0,1.3593,1.1463,1.0781,0.9786,1.0885,1.1409
124.0,1.3526,1.1363,1.0681,0.9699,1.0783,1.1295
126.0,1.3461,1.1264,1.0582,0.9614,1.0682,1.1183
128.0,1.3397,1.1165,1.0484,0.953,1.058,1.1073
130.0,1.3335,1.1068,1.0388,0.9449,1.0477,1.0963
132.0,1.3273,1.0972,1.0292,0.9368,1.0375,1.0854
134.0,1.3212,1.0878,1.0198,0.9289,1.0276,1.0746
136.0,1.315,1.0785,1.0105,0.9212,1.0175,1.0637
138.0,1.3089,1.0692,1.0012,0.9136,1.0078,1.053
140.0,1.3026,1.06,0.992,0.9058,0.9982,1.0424
142.0,1.2965,1.0508,0.983,0.8982,0.9889,1.032
144.0,1.2904,1.0418,0.9741,0.8904,0.9797,1.0218
146.0,1.2842,1.0329,0.9652,0.8828,0.9704,1.0116
148.0,1.278,1.024,0.9564,0.8754,0.9614,1.0018
150.0,1.2717,1.0153,0.9478,0.8681,0.9526,0.9921
152.0,1.2655,1.0067,0.9393,0.8607,0.9438,0.9825
154.0,1.2595,0.9982,0.9309,0.8533,0.9351,0.9731
156.0,1.2536,0.9899,0.9226,0.846,0.9263,0.9637
158.0,1.2477,0.9816,0.9144,0.8389,0.9178,0.9544
160.0,1.2418,0.9734,0.9064,0.8319,0.9093,0.9453
162.0,1.2359,0.9651,0.8984,0.8251,0.901,0.9363
164.0,1.2301,0.9568,0.8905,0.8183,0.8929,0.9275
166.0,1.2243,0.9486,0.8825,0.8116,0.885,0.9187
168.0,1.2185,0.9405,0.8748,0.8049,0.8771,0.9101
