Time_Sec;D_1(t);D_2(t);D_3(t);D_4(t);D_5(t)
0;2.6657;3.0239;2.9488;2.8288;2.5267
1;2.6645;3.0243;2.9456;2.8208;2.5241
2;2.663;3.0237;2.9411;2.8143;2.5207
3;2.6614;3.021;2.9372;2.8095;2.5171
4;2.6596;3.0158;2.9332;2.8057;2.5146
5;2.6577;3.0091;2.9293;2.8023;2.5107
6;2.6556;3.0029;2.9253;2.7994;2.5069
7;2.6536;3.0006;2.9214;2.796;2.5033
8;2.6518;2.9959;2.9174;2.7922;2.4996
9;2.6502;2.984;2.9138;2.788;2.4962
10;2.6486;2.971;2.9104;2.7837;2.493
11;2.6472;2.9603;2.907;2.7793;2.4897
12;2.6459;2.9533;2.9033;2.7753;2.4866
13;2.6447;2.9521;2.8997;2.772;2.4833
14;2.6433;2.9548;2.8958;2.7686;2.48
15;2.6419;2.9595;2.8924;2.7644;2.4766
16;2.6405;2.9651;2.8891;2.7604;2.4733
17;2.639;2.969;2.8856;2.7562;2.47
18;2.6374;2.9704;2.8824;2.7508;2.4667
19;2.6359;2.9706;2.8791;2.7471;2.4637
20;2.6345;2.9689;2.876;2.7432;2.4605
21;2.633;2.9646;2.8727;2.7394;2.4573
22;2.6315;2.9583;2.8696;2.7353;2.4532
23;2.6301;2.952;2.8661;2.7311;2.4498
24;2.6286;2.9457;2.8627;2.7264;2.4463
25;2.627;2.9383;2.8595;2.7225;2.4426
26;2.6256;2.9303;2.8562;2.7187;2.4386
27;2.6241;2.9232;2.8531;2.7144;2.4344
28;2.6228;2.9177;2.8501;2.7107;2.4306
29;2.6216;2.9123;2.8475;2.7076;2.4261
30;2.6202;2.907;2.8448;2.7046;2.4224
31;2.6185;2.9009;2.8419;2.7015;2.4192
32;2.6169;2.8927;2.8389;2.6981;2.4157
33;2.615;2.885;2.8362;2.6944;2.4114
34;2.613;2.8775;2.8335;2.6917;2.407
35;2.6111;2.8691;2.8302;2.6878;2.4033
36;2.6092;2.8612;2.8266;2.683;2.3997
37;2.6075;2.8539;2.8233;2.6779;2.3966
38;2.6056;2.8467;2.8205;2.673;2.3932
39;2.6036;2.8397;2.8177;2.6685;2.3899
40;2.6014;2.8336;2.815;2.6645;2.3865
41;2.5991;2.8285;2.8125;2.66;2.383
42;2.5965;2.8239;2.8095;2.6549;2.3796
43;2.5937;2.8204;2.8063;2.6509;2.3768
44;2.5908;2.8172;2.8036;2.6471;2.3738
45;2.5878;2.8147;2.8009;2.6432;2.3709
46;2.5849;2.812;2.7981;2.6392;2.3682
47;2.5822;2.8092;2.7951;2.6352;2.3655
48;2.5797;2.8064;2.7922;2.6302;2.3624
49;2.5773;2.8036;2.7895;2.6254;2.3599
50;2.5751;2.8011;2.7869;2.6211;2.3568
51;2.5731;2.7983;2.7838;2.6161;2.3539
52;2.5713;2.7955;2.7801;2.6117;2.3511
53;2.5696;2.793;2.7766;2.6077;2.3482
54;2.5678;2.7903;2.7732;2.6037;2.3453
55;2.5658;2.7882;2.77;2.5992;2.3412
56;2.5636;2.7866;2.7667;2.5953;2.3358
57;2.5612;2.7853;2.7635;2.5911;2.3303
58;2.5587;2.7838;2.7602;2.5874;2.3244
59;2.556;2.7821;2.7572;2.5838;2.3192
60;2.5534;2.78;2.7548;2.5801;2.3135
61;2.5511;2.778;2.7524;2.576;2.3079
62;2.5491;2.7764;2.7497;2.5718;2.3028
63;2.5475;2.7736;2.747;2.5676;2.2985
64;2.5461;2.7697;2.7442;2.5637;2.2938
65;2.5449;2.7664;2.7412;2.5601;2.2895
66;2.5437;2.7627;2.7383;2.5565;2.2856
67;2.5424;2.7592;2.7355;2.5516;2.2792
68;2.5409;2.7559;2.7325;2.5464;2.2739
69;2.5394;2.7526;2.7298;2.5424;2.2691
70;2.5378;2.7493;2.728;2.5379;2.2646
71;2.5362;2.7457;2.7261;2.5342;2.2593
72;2.5348;2.7418;2.7237;2.5302;2.2531
73;2.5334;2.7375;2.7207;2.5263;2.2479
74;2.5323;2.733;2.7174;2.5224;2.2436
75;2.5313;2.7284;2.7132;2.5185;2.239
76;2.5308;2.7238;2.7084;2.5146;2.2334
77;2.5303;2.7189;2.7037;2.5103;2.2279
78;2.5297;2.7139;2.7001;2.5063;2.222
79;2.5289;2.7094;2.6972;2.5027;2.2167
80;2.528;2.7051;2.6948;2.4988;2.2125
81;2.5271;2.7009;2.6929;2.4948;2.2082
82;2.5257;2.697;2.6897;2.4909;2.2018
83;2.5242;2.6934;2.687;2.4874;2.195
84;2.5224;2.69;2.6856;2.4834;2.189
85;2.5205;2.6868;2.6834;2.4797;2.1835
86;2.5182;2.6836;2.6813;2.4757;2.1783
87;2.5158;2.6803;2.6793;2.472;2.1741
88;2.5131;2.6763;2.6756;2.4681;2.1708
89;2.5104;2.6727;2.6721;2.4644;2.167
90;2.5076;2.6691;2.6691;2.4607;2.1619
91;2.5047;2.6656;2.6656;2.4574;2.1559
92;2.5019;2.6621;2.6629;2.4541;2.1503
93;2.4993;2.6588;2.66;2.4506;2.1438
94;2.4966;2.6553;2.6562;2.4467;2.1363
95;2.4941;2.6513;2.6528;2.4422;2.1294
96;2.4916;2.6476;2.6494;2.4383;2.1231
97;2.4891;2.6441;2.6463;2.4344;2.1164
98;2.4865;2.6407;2.6432;2.4307;2.1105
99;2.484;2.6373;2.6398;2.4272;2.1049
100;2.4814;2.6338;2.6358;2.4238;2.0998
101;2.479;2.6303;2.6321;2.4201;2.0951
102;2.4767;2.6267;2.6289;2.4163;2.0905
103;2.4746;2.623;2.626;2.4124;2.0846
104;2.4727;2.6192;2.6236;2.4088;2.078
105;2.4708;2.6156;2.6213;2.4056;2.0716
106;2.4689;2.6119;2.619;2.4021;2.0657
107;2.4669;2.6081;2.6169;2.3986;2.0599
108;2.4647;2.6043;2.6142;2.3949;2.0547
109;2.4623;2.6007;2.6112;2.3915;2.0493
110;2.4601;2.5968;2.6087;2.3882;2.0446
111;2.458;2.5931;2.6066;2.3852;2.0415
112;2.4562;2.5891;2.6046;2.3822;2.0366
113;2.4544;2.585;2.6027;2.379;2.0307
114;2.4528;2.5811;2.6006;2.3757;2.0258
115;2.4515;2.5773;2.5985;2.3724;2.0225
116;2.4503;2.5735;2.5953;2.3689;2.0205
117;2.4491;2.5697;2.5922;2.3654;2.0166
118;2.4478;2.5659;2.5892;2.3621;2.0118
119;2.4465;2.5622;2.5858;2.3586;2.0072
120;2.445;2.5586;2.5826;2.3551;2.0013
121;2.4437;2.5549;2.5801;2.3518;1.994
122;2.4426;2.5511;2.5776;2.3487;1.9898
123;2.4416;2.5472;2.5749;2.3456;1.9858
124;2.4407;2.5435;2.5722;2.3405;1.9813
125;2.4397;2.5399;2.5695;2.3341;1.9767
126;2.4385;2.5363;2.5668;2.3272;1.9737
127;2.437;2.5326;2.5644;2.3208;1.9711
128;2.4353;2.5291;2.5623;2.3144;1.9675
129;2.4334;2.5255;2.56;2.3078;1.9632
130;2.4314;2.5219;2.5577;2.3013;1.9585
131;2.4295;2.5182;2.5554;2.2947;1.9542
132;2.4276;2.5146;2.5529;2.2891;1.949
133;2.4257;2.5114;2.5509;2.2833;1.9457
134;2.4239;2.5085;2.5481;2.2777;1.943
135;2.4221;2.5059;2.5441;2.272;1.9399
136;2.4204;2.5032;2.5405;2.2663;1.9345
137;2.4189;2.5005;2.5376;2.2608;1.9279
138;2.4173;2.4979;2.5347;2.2547;1.9233
139;2.4158;2.4953;2.5323;2.2478;1.9194
140;2.4143;2.4926;2.5301;2.2409;1.916
141;2.4126;2.4902;2.5278;2.235;1.9128
142;2.4108;2.4878;2.5249;2.2303;1.9095
143;2.4089;2.4855;2.5218;2.2249;1.9059
144;2.4069;2.483;2.5188;2.2189;1.9023
145;2.4049;2.4805;2.5164;2.2125;1.8989
146;2.4032;2.478;2.5152;2.206;1.8942
147;2.4018;2.4753;2.5131;2.1995;1.8898
148;2.4008;2.4726;2.5094;2.1934;1.8859
149;2.4;2.47;2.5064;2.1875;1.8822
150;2.3993;2.4674;2.5033;2.1818;1.8786
151;2.3984;2.465;2.5004;2.1762;1.8752
152;2.3976;2.4627;2.4977;2.1704;1.8718
153;2.3967;2.4602;2.495;2.1647;1.8688
154;2.3959;2.4573;2.4922;2.1592;1.8657
155;2.3947;2.4541;2.4892;2.1538;1.8628
156;2.3932;2.4508;2.4869;2.1483;1.8596
157;2.3913;2.4475;2.485;2.1429;1.8555
158;2.3893;2.4442;2.4821;2.1375;1.8508
159;2.3871;2.441;2.4788;2.1322;1.847
160;2.385;2.4377;2.476;2.1271;1.8433
161;2.3827;2.4344;2.473;2.1217;1.84
162;2.3803;2.4312;2.4699;2.117;1.8364
163;2.378;2.4282;2.4665;2.1126;1.8335
164;2.3756;2.4252;2.4634;2.1078;1.8309
165;2.3734;2.4218;2.4604;2.1027;1.8276
166;2.3714;2.4186;2.4573;2.0978;1.8241
167;2.3694;2.4158;2.4541;2.0932;1.821
168;2.3677;2.4128;2.4512;2.0889;1.8174
169;2.3661;2.4096;2.4484;2.0842;1.8137
170;2.3646;2.4065;2.4458;2.0789;1.8103
171;2.3631;2.404;2.4437;2.0733;1.8069
172;2.3615;2.4012;2.4415;2.0678;1.8038
173;2.36;2.3986;2.4387;2.0629;1.8008
174;2.3585;2.3961;2.4363;2.0584;1.7977
175;2.357;2.3936;2.4346;2.0539;1.7943
176;2.3556;2.3912;2.434;2.0492;1.791
177;2.3543;2.3889;2.4329;2.0443;1.7878
178;2.3529;2.3867;2.4293;2.0389;1.7847
179;2.3515;2.384;2.4262;2.0334;1.7816
180;2.3501;2.3816;2.4243;2.0282;1.7783
181;2.3487;2.3789;2.4213;2.0231;1.7752
182;2.3471;2.3761;2.4179;2.0181;1.7722
183;2.3456;2.3732;2.415;2.0132;1.7693
184;2.3435;2.3703;2.4126;2.0084;1.7663
185;2.3408;2.3675;2.4102;2.0034;1.7633
186;2.3387;2.3648;2.4074;1.9983;1.7602
187;2.3372;2.362;2.4048;1.9932;1.7573
188;2.3363;2.3593;2.4023;1.9885;1.7549
189;2.3357;2.3565;2.3995;1.9842;1.7523
190;2.3345;2.3537;2.3972;1.9798;1.7498
191;2.3324;2.351;2.395;1.9756;1.7469
192;2.3297;2.3483;2.3933;1.9714;1.7441
193;2.3269;2.3456;2.3917;1.9671;1.7412
194;2.3239;2.3413;2.3892;1.9627;1.7386
195;2.3212;2.3364;2.3873;1.959;1.7359
196;2.3185;2.3315;2.3846;1.9548;1.7333
197;2.3159;2.3268;2.3818;1.9501;1.7306
198;2.3132;2.3222;2.3793;1.9455;1.7278
199;2.3103;2.3178;2.3769;1.9416;1.7247
200;2.3073;2.3136;2.3747;1.9374;1.7217
201;2.304;2.3095;2.3731;1.9332;1.7178
202;2.3005;2.3054;2.3712;1.9287;1.714
203;2.2971;2.301;2.3681;1.9247;1.7109
204;2.2938;2.2968;2.3651;1.9204;1.7076
205;2.2906;2.2925;2.3623;1.9154;1.7042
206;2.2872;2.2882;2.3594;1.9111;1.7012
