Time_Sec;D_0.1(t);D_0.2(t);D_0.3(t);D_0.05(t);D_0.15(t);D_0.25(t)
0;2.8697;2.7339;3.1463;2.9444;2.8115;2.4819
1;2.8716;2.7293;3.1391;2.9462;2.809;2.4793
2;2.8733;2.7242;3.132;2.9492;2.8064;2.4767
3;2.8754;2.7166;3.125;2.9508;2.803;2.4742
4;2.8778;2.7075;3.1182;2.9501;2.7988;2.472
5;2.8807;2.6971;3.1114;2.9487;2.794;2.4698
6;2.8842;2.6862;3.1048;2.9464;2.7887;2.4684
7;2.8874;2.6752;3.0984;2.9436;2.7836;2.4677
8;2.8904;2.6644;3.092;2.9418;2.7785;2.4665
9;2.893;2.6538;3.0858;2.9407;2.7737;2.4639
10;2.895;2.6438;3.0797;2.9397;2.7694;2.4609
11;2.8967;2.6348;3.0736;2.9387;2.7651;2.458
12;2.8981;2.627;3.0677;2.9375;2.7606;2.4551
13;2.899;2.6207;3.0618;2.9352;2.756;2.4522
14;2.8998;2.6159;3.0559;2.9314;2.7515;2.4493
15;2.9001;2.6126;3.0501;2.9261;2.7469;2.4464
16;2.8996;2.6103;3.0444;2.9196;2.7424;2.4434
17;2.8985;2.6089;3.0386;2.9118;2.7381;2.44
18;2.8971;2.6082;3.0332;2.9036;2.7338;2.436
19;2.8956;2.608;3.028;2.8956;2.7298;2.4316
20;2.8936;2.6076;3.023;2.8878;2.7258;2.4268
21;2.8913;2.6067;3.0181;2.88;2.7218;2.4217
22;2.8889;2.6043;3.0132;2.872;2.718;2.4166
23;2.886;2.6003;3.0082;2.8651;2.7141;2.4114
24;2.8829;2.5948;3.0033;2.8589;2.7103;2.406
25;2.879;2.5877;2.997;2.854;2.7067;2.4004
26;2.8731;2.579;2.9874;2.8501;2.703;2.3946
27;2.8651;2.5689;2.9779;2.847;2.6995;2.3885
28;2.8555;2.558;2.9685;2.8443;2.6961;2.3821
29;2.8447;2.5469;2.959;2.8419;2.6928;2.3753
30;2.8332;2.5358;2.9496;2.8405;2.6894;2.3682
31;2.8214;2.525;2.9401;2.8391;2.6861;2.3608
32;2.8088;2.5145;2.931;2.8378;2.6827;2.3531
33;2.7958;2.5044;2.9218;2.8365;2.6795;2.3452
34;2.7821;2.4951;2.9128;2.8355;2.6761;2.3295
35;2.7681;2.4866;2.904;2.8345;2.6729;2.3133
36;2.7546;2.4788;2.8953;2.8336;2.6697;2.2976
37;2.7419;2.4715;2.8866;2.8328;2.6664;2.2826
38;2.7301;2.4648;2.8777;2.8321;2.6633;2.2684
39;2.7196;2.4587;2.8685;2.8315;2.6601;2.255
40;2.7103;2.4532;2.8588;2.8309;2.657;2.2426
41;2.7028;2.4482;2.8493;2.8304;2.6538;2.2315
42;2.6967;2.4437;2.8397;2.8298;2.6509;2.2213
43;2.6915;2.4395;2.8302;2.8291;2.6478;2.2115
44;2.6863;2.4356;2.8205;2.8283;2.6445;2.2019
45;2.6814;2.4322;2.8112;2.8272;2.6414;2.1925
46;2.6766;2.4293;2.8023;2.826;2.638;2.1832
47;2.6717;2.4268;2.7935;2.8246;2.6346;2.174
48;2.6672;2.4246;2.7849;2.823;2.6311;2.165
49;2.6631;2.4225;2.7764;2.8212;2.6274;2.1564
50;2.6599;2.4206;2.768;2.8194;2.6237;2.1478
51;2.6575;2.419;2.7596;2.8176;2.6203;2.1396
52;2.6558;2.4174;2.7513;2.816;2.617;2.1316
53;2.6547;2.4158;2.7432;2.8146;2.6137;2.1238
54;2.654;2.414;2.735;2.8137;2.6107;2.1165
55;2.6536;2.412;2.7268;2.8131;2.6077;2.1092
56;2.6528;2.41;2.7187;2.813;2.6049;2.1023
57;2.6511;2.4078;2.7108;2.8131;2.6022;2.0954
58;2.6488;2.4059;2.703;2.8134;2.5995;2.0888
59;2.6466;2.4042;2.6952;2.8141;2.5968;2.0824
60;2.6447;2.4028;2.6877;2.815;2.5941;2.0761
61;2.6438;2.4016;2.6804;2.816;2.5913;2.0702
62;2.6435;2.4006;2.6732;2.8174;2.5885;2.0645
63;2.6434;2.3995;2.6659;2.8188;2.5856;2.0591
64;2.6431;2.3985;2.6587;2.8203;2.5826;2.0541
65;2.6419;2.3976;2.6515;2.8217;2.5795;2.0494
66;2.6402;2.397;2.6442;2.8232;2.5762;2.0451
67;2.638;2.3968;2.6372;2.8246;2.5727;2.0411
68;2.6355;2.397;2.6302;2.8261;2.5692;2.0374
69;2.6328;2.3973;2.6233;2.8276;2.5656;2.0338
70;2.6298;2.3976;2.6166;2.8291;2.5619;2.03
71;2.6267;2.3977;2.6098;2.8305;2.5582;2.026
72;2.6237;2.3973;2.6032;2.8316;2.5545;2.0216
73;2.6207;2.3966;2.5966;2.8325;2.5509;2.0168
74;2.6178;2.3957;2.59;2.833;2.5473;2.0118
75;2.615;2.3947;2.5835;2.8334;2.5437;2.0066
76;2.6122;2.3937;2.5773;2.8334;2.5402;2.0012
77;2.6091;2.3929;2.5709;2.8331;2.5366;1.9957
78;2.6057;2.392;2.5647;2.8327;2.5329;1.9901
79;2.6021;2.3911;2.5585;2.8324;2.5292;1.9844
80;2.5983;2.39;2.5524;2.8322;2.5256;1.9787
81;2.5944;2.3887;2.5465;2.8317;2.5219;1.9729
82;2.5906;2.3871;2.5404;2.8311;2.5183;1.9672
83;2.5868;2.3851;2.5344;2.8302;2.5146;1.9613
84;2.5831;2.3827;2.5284;2.8292;2.511;1.9554
85;2.5795;2.3799;2.5224;2.8282;2.5074;1.9492
86;2.5759;2.3769;2.5163;2.8273;2.5038;1.9431
87;2.5722;2.3736;2.5105;2.8265;2.5002;1.9369
88;2.5686;2.3702;2.5049;2.8257;2.4966;1.9306
89;2.5651;2.3667;2.4994;2.825;2.4931;1.9243
90;2.5616;2.363;2.4939;2.824;2.4895;1.918
91;2.5582;2.3593;2.4885;2.8227;2.4859;1.9118
92;2.555;2.3554;2.4832;2.8212;2.4823;1.9057
93;2.5519;2.3514;2.4778;2.8193;2.4787;1.8996
94;2.5488;2.3472;2.4726;2.8172;2.4751;1.8937
95;2.5458;2.3408;2.4675;2.8148;2.4716;1.8878
96;2.5427;2.3315;2.4624;2.8124;2.4681;1.8821
97;2.5393;2.322;2.4574;2.8098;2.4647;1.8766
98;2.5354;2.3122;2.4524;2.8073;2.4612;1.8713
99;2.531;2.3022;2.4477;2.8048;2.4577;1.8659
100;2.5263;2.2923;2.443;2.8025;2.4544;1.8608
101;2.5212;2.2825;2.4383;2.8004;2.451;1.8558
