"AG1_1.SPC"
WL/nm,Abs
1100.00,0.0143
1099.00,0.0146
1098.00,0.0146
1097.00,0.0144
1096.00,0.0145
1095.00,0.0146
1094.00,0.0147
1093.00,0.0145
1092.00,0.0144
1091.00,0.0145
1090.00,0.0147
1089.00,0.0146
1088.00,0.0145
1087.00,0.0147
1086.00,0.0149
1085.00,0.0149
1084.00,0.0147
1083.00,0.0145
1082.00,0.0145
1081.00,0.0147
1080.00,0.0147
1079.00,0.0146
1078.00,0.0146
1077.00,0.0145
1076.00,0.0144
1075.00,0.0146
1074.00,0.0149
1073.00,0.0149
1072.00,0.0149
1071.00,0.0147
1070.00,0.0146
1069.00,0.0147
1068.00,0.0148
1067.00,0.0149
1066.00,0.0150
1065.00,0.0150
1064.00,0.0151
1063.00,0.0150
1062.00,0.0149
1061.00,0.0150
1060.00,0.0149
1059.00,0.0150
1058.00,0.0151
1057.00,0.0151
1056.00,0.0151
1055.00,0.0151
1054.00,0.0152
1053.00,0.0152
1052.00,0.0153
1051.00,0.0153
1050.00,0.0153
1049.00,0.0154
1048.00,0.0155
1047.00,0.0154
1046.00,0.0154
1045.00,0.0155
1044.00,0.0155
1043.00,0.0157
1042.00,0.0156
1041.00,0.0156
1040.00,0.0157
1039.00,0.0158
1038.00,0.0158
1037.00,0.0158
1036.00,0.0159
1035.00,0.0159
1034.00,0.0159
1033.00,0.0159
1032.00,0.0159
1031.00,0.0160
1030.00,0.0161
1029.00,0.0161
1028.00,0.0161
1027.00,0.0162
1026.00,0.0161
1025.00,0.0162
1024.00,0.0162
1023.00,0.0163
1022.00,0.0165
1021.00,0.0165
1020.00,0.0165
1019.00,0.0164
1018.00,0.0165
1017.00,0.0166
1016.00,0.0167
1015.00,0.0167
1014.00,0.0166
1013.00,0.0168
1012.00,0.0168
1011.00,0.0168
1010.00,0.0168
1009.00,0.0169
1008.00,0.0170
1007.00,0.0170
1006.00,0.0170
1005.00,0.0170
1004.00,0.0171
1003.00,0.0172
1002.00,0.0172
1001.00,0.0173
1000.00,0.0174
999.00,0.0174
998.00,0.0175
997.00,0.0175
996.00,0.0174
995.00,0.0176
994.00,0.0177
993.00,0.0176
992.00,0.0177
991.00,0.0178
990.00,0.0177
989.00,0.0177
988.00,0.0178
987.00,0.0179
986.00,0.0179
985.00,0.0179
984.00,0.0180
983.00,0.0181
982.00,0.0182
981.00,0.0182
980.00,0.0181
979.00,0.0182
978.00,0.0182
977.00,0.0184
976.00,0.0185
975.00,0.0185
974.00,0.0186
973.00,0.0185
972.00,0.0187
971.00,0.0188
970.00,0.0188
969.00,0.0187
968.00,0.0188
967.00,0.0189
966.00,0.0190
965.00,0.0190
964.00,0.0191
963.00,0.0191
962.00,0.0192
961.00,0.0192
960.00,0.0193
959.00,0.0193
958.00,0.0194
957.00,0.0198
956.00,0.0198
955.00,0.0197
954.00,0.0198
953.00,0.0198
952.00,0.0198
951.00,0.0199
950.00,0.0199
949.00,0.0201
948.00,0.0201
947.00,0.0200
946.00,0.0203
945.00,0.0204
944.00,0.0204
943.00,0.0207
942.00,0.0206
941.00,0.0205
940.00,0.0205
939.00,0.0208
938.00,0.0206
937.00,0.0207
936.00,0.0209
935.00,0.0211
934.00,0.0211
933.00,0.0209
932.00,0.0209
931.00,0.0211
930.00,0.0213
929.00,0.0214
928.00,0.0216
927.00,0.0215
926.00,0.0214
925.00,0.0215
924.00,0.0218
923.00,0.0219
922.00,0.0219
921.00,0.0219
920.00,0.0220
919.00,0.0220
918.00,0.0220
917.00,0.0221
916.00,0.0222
915.00,0.0222
914.00,0.0223
913.00,0.0224
912.00,0.0226
911.00,0.0227
910.00,0.0229
909.00,0.0228
908.00,0.0230
907.00,0.0230
906.00,0.0231
905.00,0.0231
904.00,0.0231
903.00,0.0234
902.00,0.0234
901.00,0.0236
900.00,0.0235
899.00,0.0236
898.00,0.0236
897.00,0.0237
896.00,0.0237
895.00,0.0238
894.00,0.0241
893.00,0.0241
892.00,0.0241
891.00,0.0241
890.00,0.0244
889.00,0.0245
888.00,0.0246
887.00,0.0247
886.00,0.0248
885.00,0.0248
884.00,0.0247
883.00,0.0247
882.00,0.0249
881.00,0.0250
880.00,0.0251
879.00,0.0252
878.00,0.0255
877.00,0.0255
876.00,0.0254
875.00,0.0257
874.00,0.0258
873.00,0.0259
872.00,0.0260
871.00,0.0262
870.00,0.0263
869.00,0.0262
868.00,0.0264
867.00,0.0264
866.00,0.0265
865.00,0.0268
864.00,0.0269
863.00,0.0269
862.00,0.0270
861.00,0.0271
860.00,0.0271
859.00,0.0273
858.00,0.0272
857.00,0.0273
856.00,0.0276
855.00,0.0278
854.00,0.0277
853.00,0.0278
852.00,0.0278
851.00,0.0280
850.00,0.0281
849.00,0.0282
848.00,0.0282
847.00,0.0284
846.00,0.0287
845.00,0.0287
844.00,0.0290
843.00,0.0290
842.00,0.0292
841.00,0.0293
840.00,0.0293
839.00,0.0296
838.00,0.0297
837.00,0.0298
