"AG2SUC1.SPC"
WL/nm,Abs
1100.00,-0.0068
1099.00,-0.0064
1098.00,-0.0064
1097.00,-0.0065
1096.00,-0.0064
1095.00,-0.0062
1094.00,-0.0061
1093.00,-0.0063
1092.00,-0.0062
1091.00,-0.0060
1090.00,-0.0057
1089.00,-0.0058
1088.00,-0.0062
1087.00,-0.0062
1086.00,-0.0059
1085.00,-0.0059
1084.00,-0.0061
1083.00,-0.0061
1082.00,-0.0060
1081.00,-0.0057
1080.00,-0.0056
1079.00,-0.0056
1078.00,-0.0057
1077.00,-0.0058
1076.00,-0.0059
1075.00,-0.0057
1074.00,-0.0055
1073.00,-0.0054
1072.00,-0.0056
1071.00,-0.0058
1070.00,-0.0057
1069.00,-0.0057
1068.00,-0.0056
1067.00,-0.0055
1066.00,-0.0053
1065.00,-0.0054
1064.00,-0.0054
1063.00,-0.0054
1062.00,-0.0055
1061.00,-0.0055
1060.00,-0.0055
1059.00,-0.0055
1058.00,-0.0055
1057.00,-0.0055
1056.00,-0.0055
1055.00,-0.0056
1054.00,-0.0055
1053.00,-0.0055
1052.00,-0.0055
1051.00,-0.0055
1050.00,-0.0056
1049.00,-0.0055
1048.00,-0.0055
1047.00,-0.0056
1046.00,-0.0056
1045.00,-0.0057
1044.00,-0.0056
1043.00,-0.0056
1042.00,-0.0056
1041.00,-0.0058
1040.00,-0.0058
1039.00,-0.0058
1038.00,-0.0059
1037.00,-0.0059
1036.00,-0.0059
1035.00,-0.0060
1034.00,-0.0061
1033.00,-0.0061
1032.00,-0.0062
1031.00,-0.0062
1030.00,-0.0063
1029.00,-0.0064
1028.00,-0.0064
1027.00,-0.0064
1026.00,-0.0066
1025.00,-0.0066
1024.00,-0.0068
1023.00,-0.0068
1022.00,-0.0067
1021.00,-0.0068
1020.00,-0.0070
1019.00,-0.0072
1018.00,-0.0071
1017.00,-0.0072
1016.00,-0.0072
1015.00,-0.0073
1014.00,-0.0075
1013.00,-0.0075
1012.00,-0.0076
1011.00,-0.0078
1010.00,-0.0079
1009.00,-0.0079
1008.00,-0.0080
1007.00,-0.0080
1006.00,-0.0082
1005.00,-0.0083
1004.00,-0.0083
1003.00,-0.0084
1002.00,-0.0085
1001.00,-0.0085
1000.00,-0.0086
999.00,-0.0086
998.00,-0.0087
997.00,-0.0089
996.00,-0.0090
995.00,-0.0090
994.00,-0.0091
993.00,-0.0092
992.00,-0.0093
991.00,-0.0093
990.00,-0.0094
989.00,-0.0096
988.00,-0.0097
987.00,-0.0097
986.00,-0.0097
985.00,-0.0099
984.00,-0.0101
983.00,-0.0101
982.00,-0.0102
981.00,-0.0104
980.00,-0.0106
979.00,-0.0108
978.00,-0.0110
977.00,-0.0111
976.00,-0.0112
975.00,-0.0114
974.00,-0.0116
973.00,-0.0118
972.00,-0.0118
971.00,-0.0120
970.00,-0.0123
969.00,-0.0124
968.00,-0.0125
967.00,-0.0128
966.00,-0.0129
965.00,-0.0130
964.00,-0.0131
963.00,-0.0135
962.00,-0.0135
961.00,-0.0137
960.00,-0.0137
959.00,-0.0136
958.00,-0.0136
957.00,-0.0133
956.00,-0.0132
955.00,-0.0130
954.00,-0.0127
953.00,-0.0123
952.00,-0.0120
951.00,-0.0115
950.00,-0.0110
949.00,-0.0106
948.00,-0.0102
947.00,-0.0099
946.00,-0.0095
945.00,-0.0091
944.00,-0.0089
943.00,-0.0084
942.00,-0.0082
941.00,-0.0082
940.00,-0.0080
939.00,-0.0076
938.00,-0.0075
937.00,-0.0075
936.00,-0.0071
935.00,-0.0069
934.00,-0.0067
933.00,-0.0068
932.00,-0.0067
931.00,-0.0065
930.00,-0.0061
929.00,-0.0059
928.00,-0.0057
927.00,-0.0057
926.00,-0.0057
925.00,-0.0055
924.00,-0.0053
923.00,-0.0051
922.00,-0.0052
921.00,-0.0052
920.00,-0.0050
919.00,-0.0049
918.00,-0.0050
917.00,-0.0049
916.00,-0.0048
915.00,-0.0047
914.00,-0.0046
913.00,-0.0045
912.00,-0.0045
911.00,-0.0045
910.00,-0.0044
909.00,-0.0045
908.00,-0.0044
907.00,-0.0044
906.00,-0.0045
905.00,-0.0045
904.00,-0.0044
903.00,-0.0043
902.00,-0.0044
901.00,-0.0045
900.00,-0.0044
899.00,-0.0044
898.00,-0.0045
897.00,-0.0045
896.00,-0.0047
895.00,-0.0046
894.00,-0.0044
893.00,-0.0045
892.00,-0.0046
891.00,-0.0046
890.00,-0.0046
889.00,-0.0045
888.00,-0.0045
887.00,-0.0045
886.00,-0.0045
885.00,-0.0046
884.00,-0.0047
883.00,-0.0046
882.00,-0.0046
881.00,-0.0047
880.00,-0.0046
879.00,-0.0045
878.00,-0.0044
877.00,-0.0045
876.00,-0.0045
875.00,-0.0045
874.00,-0.0044
873.00,-0.0044
872.00,-0.0043
871.00,-0.0041
870.00,-0.0042
869.00,-0.0042
868.00,-0.0041
867.00,-0.0042
866.00,-0.0042
865.00,-0.0041
864.00,-0.0039
863.00,-0.0039
862.00,-0.0040
861.00,-0.0040
860.00,-0.0041
859.00,-0.0039
858.00,-0.0040
857.00,-0.0041
856.00,-0.0040
855.00,-0.0037
854.00,-0.0038
853.00,-0.0039
852.00,-0.0039
851.00,-0.0038
850.00,-0.0038
849.00,-0.0038
848.00,-0.0038
847.00,-0.0037
846.00,-0.0035
845.00,-0.0036
844.00,-0.0034
843.00,-0.0034
842.00,-0.0034
841.00,-0.0034
840.00,-0.0034
839.00,-0.0032
838.00,-0.0031
