"AGCOAG.SPC"
WL/nm,Abs
1100.00,0.1150
1099.00,0.1157
1098.00,0.1161
1097.00,0.1163
1096.00,0.1167
1095.00,0.1172
1094.00,0.1172
1093.00,0.1171
1092.00,0.1173
1091.00,0.1178
1090.00,0.1183
1089.00,0.1185
1088.00,0.1187
1087.00,0.1192
1086.00,0.1198
1085.00,0.1201
1084.00,0.1202
1083.00,0.1205
1082.00,0.1209
1081.00,0.1214
1080.00,0.1217
1079.00,0.1219
1078.00,0.1221
1077.00,0.1222
1076.00,0.1224
1075.00,0.1229
1074.00,0.1234
1073.00,0.1236
1072.00,0.1238
1071.00,0.1240
1070.00,0.1243
1069.00,0.1245
1068.00,0.1248
1067.00,0.1251
1066.00,0.1256
1065.00,0.1259
1064.00,0.1260
1063.00,0.1262
1062.00,0.1263
1061.00,0.1266
1060.00,0.1267
1059.00,0.1270
1058.00,0.1274
1057.00,0.1276
1056.00,0.1278
1055.00,0.1279
1054.00,0.1281
1053.00,0.1282
1052.00,0.1282
1051.00,0.1284
1050.00,0.1286
1049.00,0.1287
1048.00,0.1289
1047.00,0.1291
1046.00,0.1291
1045.00,0.1293
1044.00,0.1297
1043.00,0.1299
1042.00,0.1300
1041.00,0.1300
1040.00,0.1301
1039.00,0.1303
1038.00,0.1305
1037.00,0.1306
1036.00,0.1308
1035.00,0.1308
1034.00,0.1308
1033.00,0.1308
1032.00,0.1308
1031.00,0.1308
1030.00,0.1309
1029.00,0.1310
1028.00,0.1311
1027.00,0.1312
1026.00,0.1312
1025.00,0.1313
1024.00,0.1313
1023.00,0.1314
1022.00,0.1316
1021.00,0.1316
1020.00,0.1315
1019.00,0.1315
1018.00,0.1316
1017.00,0.1316
1016.00,0.1318
1015.00,0.1318
1014.00,0.1318
1013.00,0.1319
1012.00,0.1319
1011.00,0.1320
1010.00,0.1320
1009.00,0.1320
1008.00,0.1322
1007.00,0.1322
1006.00,0.1323
1005.00,0.1323
1004.00,0.1324
1003.00,0.1325
1002.00,0.1325
1001.00,0.1326
1000.00,0.1327
999.00,0.1329
998.00,0.1329
997.00,0.1330
996.00,0.1330
995.00,0.1332
994.00,0.1334
993.00,0.1335
992.00,0.1335
991.00,0.1337
990.00,0.1337
989.00,0.1338
988.00,0.1340
987.00,0.1341
986.00,0.1344
985.00,0.1346
984.00,0.1347
983.00,0.1350
982.00,0.1352
981.00,0.1354
980.00,0.1355
979.00,0.1357
978.00,0.1360
977.00,0.1364
976.00,0.1367
975.00,0.1371
974.00,0.1374
973.00,0.1376
972.00,0.1381
971.00,0.1386
970.00,0.1389
969.00,0.1392
968.00,0.1397
967.00,0.1400
966.00,0.1406
965.00,0.1410
964.00,0.1414
963.00,0.1419
962.00,0.1425
961.00,0.1430
960.00,0.1437
959.00,0.1445
958.00,0.1453
957.00,0.1465
956.00,0.1474
955.00,0.1483
954.00,0.1496
953.00,0.1506
952.00,0.1517
951.00,0.1529
950.00,0.1539
949.00,0.1550
948.00,0.1560
947.00,0.1568
946.00,0.1578
945.00,0.1587
944.00,0.1595
943.00,0.1605
942.00,0.1612
941.00,0.1618
940.00,0.1624
939.00,0.1633
938.00,0.1640
937.00,0.1645
936.00,0.1654
935.00,0.1662
934.00,0.1667
933.00,0.1672
932.00,0.1678
931.00,0.1686
930.00,0.1693
929.00,0.1700
928.00,0.1708
927.00,0.1712
926.00,0.1717
925.00,0.1723
924.00,0.1729
923.00,0.1735
922.00,0.1738
921.00,0.1744
920.00,0.1750
919.00,0.1754
918.00,0.1758
917.00,0.1763
916.00,0.1769
915.00,0.1773
914.00,0.1777
913.00,0.1783
912.00,0.1788
911.00,0.1792
910.00,0.1798
909.00,0.1801
908.00,0.1806
907.00,0.1811
906.00,0.1815
905.00,0.1819
904.00,0.1823
903.00,0.1830
902.00,0.1834
901.00,0.1838
900.00,0.1842
899.00,0.1846
898.00,0.1851
897.00,0.1855
896.00,0.1858
895.00,0.1864
894.00,0.1870
893.00,0.1874
892.00,0.1879
891.00,0.1883
890.00,0.1888
889.00,0.1893
888.00,0.1898
887.00,0.1903
886.00,0.1908
885.00,0.1912
884.00,0.1915
883.00,0.1920
882.00,0.1924
881.00,0.1929
880.00,0.1935
879.00,0.1940
878.00,0.1946
877.00,0.1950
876.00,0.1955
875.00,0.1959
874.00,0.1965
873.00,0.1968
872.00,0.1973
871.00,0.1981
870.00,0.1986
869.00,0.1989
868.00,0.1994
867.00,0.1998
866.00,0.2003
865.00,0.2009
864.00,0.2015
863.00,0.2019
862.00,0.2023
861.00,0.2028
860.00,0.2032
859.00,0.2038
858.00,0.2043
857.00,0.2048
856.00,0.2054
855.00,0.2060
854.00,0.2063
853.00,0.2066
852.00,0.2072
851.00,0.2078
850.00,0.2083
849.00,0.2088
848.00,0.2093
847.00,0.2099
846.00,0.2106
845.00,0.2111
844.00,0.2117
843.00,0.2122
842.00,0.2128
841.00,0.2132
840.00,0.2139
839.00,0.2144
838.00,0.2149
837.00,0.2154
836.00,0.2160
835.00,0.2165
834.00,0.2169
833.00,0.2175
832.00,0.2181
831.00,0.2187
830.00,0.2192
829.00,0.2199
828.00,0.2205
827.00,0.2211
826.00,0.2216
825.00,0.2223
824.00,0.2229
823.00,0.2234
822.00,0.2241
821.00,0.2247
820.00,0.2253
819.00,0.2260
818.00,0.2266
817.00,0.2272
816.00,0.2277
815.00,0.2282
814.00,0.2286
813.00,0.2292
812.00,0.2298
811.00,0.2305
810.00,0.2310
809.00,0.2316
808.00,0.2323
807.00,0.2327
806.00,0.2334
805.00,0.2339
804.00,0.2345
803.00,0.2350
802.00,0.2356
801.00,0.2362
800.00,0.2369
799.00,0.2376
798.00,0.2382
797.00,0.2387
796.00,0.2393
795.00,0.2400
794.00,0.2406
793.00,0.2411
792.00,0.2417
791.00,0.2423
790.00,0.2429
789.00,0.2435
788.00,0.2441
787.00,0.2447
786.00,0.2453
785.00,0.2461
784.00,0.2467
783.00,0.2473
782.00,0.2479
781.00,0.2486
780.00,0.2491
779.00,0.2498
778.00,0.2505
777.00,0.2512
776.00,0.2519
775.00,0.2525
774.00,0.2531
773.00,0.2537
772.00,0.2545
771.00,0.2551
770.00,0.2556
769.00,0.2564
768.00,0.2571
767.00,0.2578
766.00,0.2585
765.00,0.2591
764.00,0.2596
763.00,0.2604
762.00,0.2612
761.00,0.2619
760.00,0.2625
759.00,0.2632
758.00,0.2638
757.00,0.2646
756.00,0.2654
755.00,0.2661
754.00,0.2670
753.00,0.2678
752.00,0.2684
751.00,0.2692
750.00,0.2699
749.00,0.2706
748.00,0.2712
747.00,0.2720
746.00,0.2727
745.00,0.2734
744.00,0.2742
743.00,0.2749
742.00,0.2757
741.00,0.2764
740.00,0.2772
739.00,0.2779
738.00,0.2786
737.00,0.2795
736.00,0.2802
735.00,0.2809
734.00,0.2817
733.00,0.2826
732.00,0.2833
731.00,0.2842
730.00,0.2849
729.00,0.2858
728.00,0.2868
727.00,0.2876
726.00,0.2884
725.00,0.2890
724.00,0.2899
723.00,0.2907
722.00,0.2916
721.00,0.2924
720.00,0.2931
719.00,0.2940
718.00,0.2948
717.00,0.2956
716.00,0.2965
715.00,0.2973
714.00,0.2981
713.00,0.2989
712.00,0.2997
711.00,0.3007
710.00,0.3016
709.00,0.3023
708.00,0.3031
707.00,0.3040
706.00,0.3049
705.00,0.3058
704.00,0.3066
703.00,0.3074
702.00,0.3083
701.00,0.3093
700.00,0.3102
699.00,0.3109
698.00,0.3118
697.00,0.3127
696.00,0.3135
695.00,0.3143
694.00,0.3153
693.00,0.3162
692.00,0.3172
691.00,0.3181
690.00,0.3191
689.00,0.3200
688.00,0.3208
687.00,0.3217
686.00,0.3227
685.00,0.3235
684.00,0.3245
683.00,0.3255
682.00,0.3264
681.00,0.3272
680.00,0.3282
679.00,0.3291
678.00,0.3300
677.00,0.3309
676.00,0.3318
675.00,0.3328
674.00,0.3337
673.00,0.3346
672.00,0.3356
671.00,0.3366
670.00,0.3374
669.00,0.3383
668.00,0.3393
667.00,0.3403
666.00,0.3411
665.00,0.3421
664.00,0.3431
663.00,0.3441
662.00,0.3451
661.00,0.3461
660.00,0.3470
659.00,0.3479
658.00,0.3488
657.00,0.3500
656.00,0.3510
655.00,0.3520
654.00,0.3529
653.00,0.3539
652.00,0.3549
651.00,0.3560
650.00,0.3569
649.00,0.3579
648.00,0.3589
647.00,0.3600
646.00,0.3609
645.00,0.3618
644.00,0.3625
643.00,0.3633
642.00,0.3642
641.00,0.3649
640.00,0.3658
639.00,0.3667
638.00,0.3676
637.00,0.3685
636.00,0.3695
635.00,0.3705
634.00,0.3717
633.00,0.3728
632.00,0.3738
631.00,0.3749
630.00,0.3760
629.00,0.3770
628.00,0.3780
627.00,0.3791
626.00,0.3801
625.00,0.3812
624.00,0.3822
623.00,0.3833
622.00,0.3844
621.00,0.3855
620.00,0.3866
619.00,0.3877
618.00,0.3887
617.00,0.3899
616.00,0.3910
615.00,0.3921
614.00,0.3933
613.00,0.3946
612.00,0.3960
611.00,0.3972
610.00,0.3985
609.00,0.3997
608.00,0.4009
607.00,0.4020
606.00,0.4032
605.00,0.4042
604.00,0.4053
603.00,0.4064
602.00,0.4075
601.00,0.4085
600.00,0.4097
599.00,0.4109
598.00,0.4120
597.00,0.4132
596.00,0.4143
595.00,0.4154
594.00,0.4166
593.00,0.4178
592.00,0.4190
591.00,0.4201
590.00,0.4212
589.00,0.4224
588.00,0.4235
587.00,0.4247
586.00,0.4258
585.00,0.4270
584.00,0.4281
583.00,0.4293
582.00,0.4305
581.00,0.4317
580.00,0.4327
579.00,0.4339
578.00,0.4352
577.00,0.4362
576.00,0.4373
575.00,0.4386
574.00,0.4398
573.00,0.4409
572.00,0.4421
571.00,0.4434
570.00,0.4445
569.00,0.4458
568.00,0.4472
567.00,0.4486
566.00,0.4501
565.00,0.4514
564.00,0.4525
563.00,0.4534
562.00,0.4544
561.00,0.4555
560.00,0.4569
559.00,0.4582
558.00,0.4597
557.00,0.4612
556.00,0.4624
555.00,0.4634
554.00,0.4645
553.00,0.4656
552.00,0.4666
551.00,0.4677
550.00,0.4688
549.00,0.4700
548.00,0.4712
547.00,0.4724
546.00,0.4735
545.00,0.4747
544.00,0.4758
543.00,0.4770
542.00,0.4781
541.00,0.4792
540.00,0.4803
539.00,0.4815
538.00,0.4826
537.00,0.4837
536.00,0.4848
535.00,0.4858
534.00,0.4870
533.00,0.4881
532.00,0.4894
531.00,0.4905
530.00,0.4916
529.00,0.4928
528.00,0.4939
527.00,0.4950
526.00,0.4963
525.00,0.4972
524.00,0.4982
523.00,0.4994
522.00,0.5005
521.00,0.5017
520.00,0.5027
519.00,0.5039
518.00,0.5049
517.00,0.5061
516.00,0.5074
515.00,0.5087
514.00,0.5103
513.00,0.5119
512.00,0.5137
511.00,0.5152
510.00,0.5163
509.00,0.5174
508.00,0.5185
507.00,0.5197
506.00,0.5207
505.00,0.5218
504.00,0.5229
503.00,0.5237
502.00,0.5246
501.00,0.5256
500.00,0.5269
499.00,0.5280
498.00,0.5290
497.00,0.5301
496.00,0.5313
495.00,0.5325
494.00,0.5336
493.00,0.5348
492.00,0.5359
491.00,0.5368
490.00,0.5381
489.00,0.5391
488.00,0.5395
487.00,0.5397
486.00,0.5401
485.00,0.5410
484.00,0.5419
483.00,0.5430
482.00,0.5441
481.00,0.5450
480.00,0.5459
479.00,0.5469
478.00,0.5476
477.00,0.5486
476.00,0.5495
475.00,0.5509
474.00,0.5521
473.00,0.5533
472.00,0.5544
471.00,0.5557
470.00,0.5568
469.00,0.5578
468.00,0.5587
467.00,0.5598
466.00,0.5611
465.00,0.5622
464.00,0.5632
463.00,0.5642
462.00,0.5647
461.00,0.5651
460.00,0.5659
459.00,0.5672
458.00,0.5680
457.00,0.5691
456.00,0.5701
455.00,0.5708
454.00,0.5714
453.00,0.5715
452.00,0.5724
451.00,0.5731
450.00,0.5743
449.00,0.5770
448.00,0.5777
447.00,0.5772
446.00,0.5778
445.00,0.5797
444.00,0.5810
443.00,0.5809
442.00,0.5815
441.00,0.5821
440.00,0.5825
439.00,0.5830
438.00,0.5827
437.00,0.5826
436.00,0.5830
435.00,0.5833
434.00,0.5836
433.00,0.5835
432.00,0.5839
431.00,0.5837
430.00,0.5835
429.00,0.5836
428.00,0.5833
427.00,0.5831
426.00,0.5829
425.00,0.5826
424.00,0.5826
423.00,0.5823
422.00,0.5817
421.00,0.5813
420.00,0.5812
419.00,0.5809
418.00,0.5802
417.00,0.5795
416.00,0.5794
415.00,0.5789
414.00,0.5783
413.00,0.5777
412.00,0.5773
411.00,0.5768
410.00,0.5765
409.00,0.5759
408.00,0.5752
407.00,0.5745
406.00,0.5737
405.00,0.5732
404.00,0.5726
403.00,0.5722
402.00,0.5718
401.00,0.5716
400.00,0.5711
399.00,0.5707
398.00,0.5706
397.00,0.5702
396.00,0.5693
395.00,0.5690
394.00,0.5685
393.00,0.5682
392.00,0.5679
391.00,0.5677
390.00,0.5674
389.00,0.5672
388.00,0.5665
387.00,0.5655
386.00,0.5645
385.00,0.5636
384.00,0.5626
383.00,0.5619
382.00,0.5607
381.00,0.5594
380.00,0.5591
379.00,0.5583
378.00,0.5563
377.00,0.5566
376.00,0.5556
375.00,0.5549
374.00,0.5555
373.00,0.5544
372.00,0.5533
371.00,0.5531
370.00,0.5543
369.00,0.5554
368.00,0.5550
367.00,0.5544
366.00,0.5537
365.00,0.5552
364.00,0.5555
363.00,0.5551
362.00,0.5546
361.00,0.5535
360.00,0.5524
359.00,0.5501
358.00,0.5488
357.00,0.5483
356.00,0.5488
355.00,0.5467
354.00,0.5457
353.00,0.5417
352.00,0.5303
351.00,0.5158
350.00,0.5027
349.00,0.4944
348.00,0.4895
347.00,0.4824
346.00,0.4750
345.00,0.4702
344.00,0.4647
343.00,0.4617
342.00,0.4586
341.00,0.4562
340.00,0.4598
339.00,0.4582
338.00,0.4522
337.00,0.4493
336.00,0.4502
335.00,0.4499
334.00,0.4506
333.00,0.4515
332.00,0.4532
331.00,0.4541
330.00,0.4558
329.00,0.4580
328.00,0.4612
327.00,0.4653
326.00,0.4699
325.00,0.4766
324.00,0.4867
323.00,0.4933
322.00,0.4974
321.00,0.4998
320.00,0.4998
319.00,0.4985
318.00,0.4996
317.00,0.5027
316.00,0.5062
315.00,0.5138
314.00,0.5289
313.00,0.5329
312.00,0.5192
311.00,0.4986
310.00,0.4905
309.00,0.4883
308.00,0.4880
307.00,0.4890
306.00,0.4980
305.00,0.5238
304.00,0.5183
303.00,0.5197
302.00,0.5215
301.00,0.5236
300.00,0.5247
299.00,0.5256
298.00,0.5266
297.00,0.5271
296.00,0.5274
295.00,0.5277
294.00,0.5279
293.00,0.5277
292.00,0.5278
291.00,0.5282
290.00,0.5290
289.00,0.5297
288.00,0.5306
287.00,0.5314
286.00,0.5326
285.00,0.5342
284.00,0.5357
283.00,0.5374
282.00,0.5401
281.00,0.5430
280.00,0.5460
279.00,0.5470
278.00,0.5482
277.00,0.5489
276.00,0.5491
275.00,0.5498
274.00,0.5513
273.00,0.5535
272.00,0.5556
271.00,0.5573
270.00,0.5593
269.00,0.5618
268.00,0.5639
267.00,0.5662
266.00,0.5687
265.00,0.5712
264.00,0.5740
263.00,0.5759
262.00,0.5782
261.00,0.5810
260.00,0.5832
259.00,0.5855
258.00,0.5880
257.00,0.5901
256.00,0.5924
255.00,0.5946
254.00,0.5975
253.00,0.5996
252.00,0.6018
251.00,0.6045
250.00,0.6071
249.00,0.6098
248.00,0.6134
247.00,0.6172
246.00,0.6209
245.00,0.6256
244.00,0.6314
243.00,0.6378
242.00,0.6459
241.00,0.6559
240.00,0.6678
239.00,0.6822
238.00,0.7001
237.00,0.7209
236.00,0.7460
235.00,0.7771
234.00,0.8123
233.00,0.8539
232.00,0.9030
231.00,0.9566
230.00,1.0172
229.00,1.0823
228.00,1.1499
227.00,1.2139
226.00,1.2771
225.00,1.3329
224.00,1.3756
223.00,1.4070
222.00,1.4255
221.00,1.4322
220.00,1.4293
219.00,1.4243
218.00,1.4195
217.00,1.4227
216.00,1.4337
215.00,1.4603
214.00,1.4856
213.00,1.5313
212.00,1.5570
211.00,1.5574
210.00,1.5473
209.00,1.5242
208.00,1.4920
207.00,1.4385
206.00,1.3268
205.00,1.2081
204.00,1.1186
203.00,1.0728
202.00,1.0341
201.00,0.9886
200.00,0.9511
199.00,0.9186
198.00,0.8750
197.00,0.8267
196.00,0.8004
195.00,0.7502
194.00,0.7118
193.00,0.6366
192.00,0.5227
191.00,0.4663
190.00,0.2665
