"AU_GA1.SPC"
WL/nm,Abs
1100.00,-0.0095
1099.00,-0.0093
1098.00,-0.0092
1097.00,-0.0095
1096.00,-0.0094
1095.00,-0.0092
1094.00,-0.0092
1093.00,-0.0095
1092.00,-0.0095
1091.00,-0.0095
1090.00,-0.0093
1089.00,-0.0095
1088.00,-0.0096
1087.00,-0.0095
1086.00,-0.0093
1085.00,-0.0093
1084.00,-0.0095
1083.00,-0.0097
1082.00,-0.0097
1081.00,-0.0094
1080.00,-0.0094
1079.00,-0.0096
1078.00,-0.0097
1077.00,-0.0099
1076.00,-0.0100
1075.00,-0.0097
1074.00,-0.0095
1073.00,-0.0095
1072.00,-0.0096
1071.00,-0.0098
1070.00,-0.0098
1069.00,-0.0099
1068.00,-0.0098
1067.00,-0.0097
1066.00,-0.0096
1065.00,-0.0097
1064.00,-0.0097
1063.00,-0.0098
1062.00,-0.0099
1061.00,-0.0099
1060.00,-0.0100
1059.00,-0.0099
1058.00,-0.0099
1057.00,-0.0099
1056.00,-0.0100
1055.00,-0.0101
1054.00,-0.0100
1053.00,-0.0100
1052.00,-0.0101
1051.00,-0.0101
1050.00,-0.0101
1049.00,-0.0101
1048.00,-0.0101
1047.00,-0.0101
1046.00,-0.0101
1045.00,-0.0101
1044.00,-0.0101
1043.00,-0.0101
1042.00,-0.0100
1041.00,-0.0101
1040.00,-0.0101
1039.00,-0.0100
1038.00,-0.0100
1037.00,-0.0101
1036.00,-0.0101
1035.00,-0.0101
1034.00,-0.0101
1033.00,-0.0102
1032.00,-0.0102
1031.00,-0.0102
1030.00,-0.0102
1029.00,-0.0102
1028.00,-0.0102
1027.00,-0.0102
1026.00,-0.0102
1025.00,-0.0102
1024.00,-0.0103
1023.00,-0.0102
1022.00,-0.0101
1021.00,-0.0101
1020.00,-0.0102
1019.00,-0.0103
1018.00,-0.0103
1017.00,-0.0102
1016.00,-0.0101
1015.00,-0.0102
1014.00,-0.0102
1013.00,-0.0102
1012.00,-0.0101
1011.00,-0.0102
1010.00,-0.0102
1009.00,-0.0102
1008.00,-0.0101
1007.00,-0.0101
1006.00,-0.0102
1005.00,-0.0102
1004.00,-0.0101
