"AUCOAG.SPC"
WL/nm,Abs
1100.00,-0.0070
1099.00,-0.0067
1098.00,-0.0068
1097.00,-0.0071
1096.00,-0.0070
1095.00,-0.0068
1094.00,-0.0068
1093.00,-0.0070
1092.00,-0.0070
1091.00,-0.0071
1090.00,-0.0072
1089.00,-0.0075
1088.00,-0.0077
1087.00,-0.0075
1086.00,-0.0071
1085.00,-0.0074
1084.00,-0.0076
1083.00,-0.0075
1082.00,-0.0075
1081.00,-0.0072
1080.00,-0.0072
1079.00,-0.0073
1078.00,-0.0073
1077.00,-0.0075
1076.00,-0.0076
1075.00,-0.0073
1074.00,-0.0071
1073.00,-0.0070
1072.00,-0.0070
1071.00,-0.0071
1070.00,-0.0072
1069.00,-0.0073
1068.00,-0.0072
1067.00,-0.0070
1066.00,-0.0070
1065.00,-0.0071
1064.00,-0.0071
1063.00,-0.0072
1062.00,-0.0072
1061.00,-0.0073
1060.00,-0.0073
1059.00,-0.0072
1058.00,-0.0072
1057.00,-0.0073
1056.00,-0.0072
1055.00,-0.0073
1054.00,-0.0073
1053.00,-0.0073
1052.00,-0.0073
1051.00,-0.0073
1050.00,-0.0073
1049.00,-0.0072
1048.00,-0.0072
1047.00,-0.0073
1046.00,-0.0073
1045.00,-0.0073
1044.00,-0.0072
1043.00,-0.0072
1042.00,-0.0072
1041.00,-0.0072
1040.00,-0.0072
1039.00,-0.0071
1038.00,-0.0071
1037.00,-0.0071
1036.00,-0.0071
1035.00,-0.0072
1034.00,-0.0072
1033.00,-0.0071
1032.00,-0.0071
1031.00,-0.0071
1030.00,-0.0071
1029.00,-0.0070
1028.00,-0.0070
1027.00,-0.0070
1026.00,-0.0071
1025.00,-0.0070
1024.00,-0.0071
1023.00,-0.0070
1022.00,-0.0068
1021.00,-0.0068
1020.00,-0.0068
1019.00,-0.0069
1018.00,-0.0069
1017.00,-0.0069
1016.00,-0.0067
1015.00,-0.0068
1014.00,-0.0069
1013.00,-0.0068
1012.00,-0.0068
1011.00,-0.0069
1010.00,-0.0069
1009.00,-0.0069
1008.00,-0.0068
1007.00,-0.0068
1006.00,-0.0069
1005.00,-0.0069
1004.00,-0.0068
1003.00,-0.0068
1002.00,-0.0069
1001.00,-0.0069
1000.00,-0.0069
999.00,-0.0069
998.00,-0.0069
997.00,-0.0069
996.00,-0.0070
995.00,-0.0069
994.00,-0.0068
993.00,-0.0068
992.00,-0.0068
991.00,-0.0067
990.00,-0.0069
989.00,-0.0069
988.00,-0.0068
987.00,-0.0068
986.00,-0.0067
985.00,-0.0067
984.00,-0.0068
983.00,-0.0066
982.00,-0.0067
981.00,-0.0067
980.00,-0.0067
979.00,-0.0069
978.00,-0.0068
977.00,-0.0067
976.00,-0.0067
975.00,-0.0067
974.00,-0.0067
973.00,-0.0067
972.00,-0.0066
971.00,-0.0066
970.00,-0.0065
969.00,-0.0066
968.00,-0.0066
967.00,-0.0067
966.00,-0.0066
965.00,-0.0065
964.00,-0.0065
963.00,-0.0067
962.00,-0.0066
961.00,-0.0067
960.00,-0.0065
959.00,-0.0065
958.00,-0.0064
957.00,-0.0062
956.00,-0.0063
