"AUCOAG2.SPC"
WL/nm,Abs
1100.00,-0.0052
1099.00,-0.0049
1098.00,-0.0048
1097.00,-0.0049
1096.00,-0.0048
1095.00,-0.0048
1094.00,-0.0049
1093.00,-0.0053
1092.00,-0.0054
1091.00,-0.0054
1090.00,-0.0051
1089.00,-0.0052
1088.00,-0.0053
1087.00,-0.0051
1086.00,-0.0048
1085.00,-0.0047
1084.00,-0.0048
1083.00,-0.0048
1082.00,-0.0047
1081.00,-0.0044
1080.00,-0.0044
1079.00,-0.0044
1078.00,-0.0045
1077.00,-0.0047
1076.00,-0.0047
1075.00,-0.0044
1074.00,-0.0042
1073.00,-0.0042
1072.00,-0.0043
1071.00,-0.0045
1070.00,-0.0045
1069.00,-0.0045
1068.00,-0.0044
1067.00,-0.0043
1066.00,-0.0041
1065.00,-0.0042
1064.00,-0.0042
1063.00,-0.0043
1062.00,-0.0043
1061.00,-0.0043
1060.00,-0.0044
1059.00,-0.0044
1058.00,-0.0044
1057.00,-0.0044
1056.00,-0.0043
1055.00,-0.0044
1054.00,-0.0043
1053.00,-0.0042
1052.00,-0.0042
1051.00,-0.0041
1050.00,-0.0041
1049.00,-0.0041
1048.00,-0.0041
1047.00,-0.0040
1046.00,-0.0040
1045.00,-0.0040
1044.00,-0.0038
1043.00,-0.0038
1042.00,-0.0037
1041.00,-0.0037
1040.00,-0.0038
1039.00,-0.0036
1038.00,-0.0036
1037.00,-0.0036
1036.00,-0.0035
1035.00,-0.0034
1034.00,-0.0034
1033.00,-0.0035
1032.00,-0.0035
1031.00,-0.0034
1030.00,-0.0033
1029.00,-0.0033
1028.00,-0.0032
1027.00,-0.0032
1026.00,-0.0031
1025.00,-0.0030
1024.00,-0.0030
1023.00,-0.0029
1022.00,-0.0027
1021.00,-0.0027
1020.00,-0.0027
1019.00,-0.0028
1018.00,-0.0028
1017.00,-0.0026
1016.00,-0.0025
1015.00,-0.0025
1014.00,-0.0026
1013.00,-0.0025
1012.00,-0.0024
1011.00,-0.0025
1010.00,-0.0024
1009.00,-0.0024
1008.00,-0.0023
1007.00,-0.0023
1006.00,-0.0023
1005.00,-0.0023
1004.00,-0.0022
1003.00,-0.0021
1002.00,-0.0022
1001.00,-0.0020
1000.00,-0.0019
999.00,-0.0019
998.00,-0.0020
997.00,-0.0021
996.00,-0.0021
995.00,-0.0020
994.00,-0.0018
993.00,-0.0019
992.00,-0.0018
991.00,-0.0017
990.00,-0.0017
989.00,-0.0017
988.00,-0.0017
987.00,-0.0016
986.00,-0.0015
985.00,-0.0015
984.00,-0.0015
983.00,-0.0013
982.00,-0.0013
981.00,-0.0012
980.00,-0.0014
979.00,-0.0014
978.00,-0.0013
977.00,-0.0012
976.00,-0.0011
975.00,-0.0010
974.00,-0.0010
973.00,-0.0009
972.00,-0.0005
971.00,-0.0005
970.00,-0.0006
969.00,-0.0006
968.00,-0.0004
967.00,-0.0004
966.00,-0.0002
965.00,-0.0003
964.00,-0.0002
963.00,-0.0002
962.00,0.0000
961.00,0.0000
960.00,0.0001
959.00,0.0001
958.00,0.0001
957.00,0.0005
956.00,0.0005
955.00,0.0005
954.00,0.0006
953.00,0.0006
952.00,0.0007
951.00,0.0007
950.00,0.0007
949.00,0.0010
948.00,0.0009
947.00,0.0009
946.00,0.0011
945.00,0.0012
944.00,0.0013
943.00,0.0016
942.00,0.0015
941.00,0.0014
940.00,0.0015
939.00,0.0017
938.00,0.0016
937.00,0.0017
936.00,0.0019
935.00,0.0021
934.00,0.0021
933.00,0.0019
932.00,0.0019
931.00,0.0021
930.00,0.0024
929.00,0.0024
928.00,0.0026
927.00,0.0026
926.00,0.0025
925.00,0.0027
924.00,0.0029
923.00,0.0029
922.00,0.0028
921.00,0.0030
920.00,0.0031
919.00,0.0031
918.00,0.0031
917.00,0.0033
916.00,0.0034
915.00,0.0033
914.00,0.0034
913.00,0.0035
912.00,0.0036
911.00,0.0036
910.00,0.0036
909.00,0.0037
908.00,0.0038
907.00,0.0041
906.00,0.0040
905.00,0.0041
904.00,0.0043
903.00,0.0044
902.00,0.0044
901.00,0.0046
900.00,0.0047
899.00,0.0049
898.00,0.0051
897.00,0.0053
896.00,0.0053
895.00,0.0055
894.00,0.0058
893.00,0.0058
892.00,0.0059
891.00,0.0059
890.00,0.0061
889.00,0.0063
888.00,0.0064
887.00,0.0065
886.00,0.0066
885.00,0.0067
884.00,0.0068
883.00,0.0069
882.00,0.0070
881.00,0.0071
880.00,0.0072
879.00,0.0074
878.00,0.0077
877.00,0.0077
876.00,0.0077
875.00,0.0077
874.00,0.0076
873.00,0.0076
872.00,0.0078
871.00,0.0081
870.00,0.0082
869.00,0.0082
868.00,0.0083
867.00,0.0085
866.00,0.0084
865.00,0.0087
864.00,0.0091
863.00,0.0089
862.00,0.0092
861.00,0.0094
860.00,0.0094
859.00,0.0097
858.00,0.0097
857.00,0.0098
856.00,0.0101
855.00,0.0103
854.00,0.0105
853.00,0.0104
852.00,0.0107
851.00,0.0108
850.00,0.0113
849.00,0.0116
848.00,0.0117
847.00,0.0119
846.00,0.0122
845.00,0.0123
844.00,0.0127
843.00,0.0130
842.00,0.0132
841.00,0.0133
840.00,0.0134
839.00,0.0138
838.00,0.0139
837.00,0.0140
836.00,0.0141
835.00,0.0141
834.00,0.0142
833.00,0.0143
832.00,0.0145
831.00,0.0147
830.00,0.0150
829.00,0.0153
828.00,0.0154
827.00,0.0154
826.00,0.0158
825.00,0.0159
824.00,0.0161
823.00,0.0163
822.00,0.0167
821.00,0.0170
820.00,0.0173
819.00,0.0175
818.00,0.0179
817.00,0.0182
816.00,0.0182
815.00,0.0184
814.00,0.0186
813.00,0.0189
812.00,0.0192
811.00,0.0196
810.00,0.0196
809.00,0.0200
808.00,0.0204
807.00,0.0207
806.00,0.0210
805.00,0.0212
804.00,0.0215
803.00,0.0218
802.00,0.0221
801.00,0.0225
800.00,0.0228
799.00,0.0231
798.00,0.0237
797.00,0.0239
796.00,0.0241
795.00,0.0246
794.00,0.0249
793.00,0.0252
792.00,0.0255
791.00,0.0259
790.00,0.0263
789.00,0.0267
788.00,0.0270
787.00,0.0274
786.00,0.0278
785.00,0.0283
784.00,0.0287
783.00,0.0292
782.00,0.0295
781.00,0.0299
780.00,0.0303
779.00,0.0309
778.00,0.0313
777.00,0.0318
776.00,0.0323
775.00,0.0328
774.00,0.0332
773.00,0.0337
772.00,0.0343
771.00,0.0347
770.00,0.0352
769.00,0.0359
768.00,0.0365
767.00,0.0371
766.00,0.0377
765.00,0.0382
764.00,0.0387
763.00,0.0393
762.00,0.0400
761.00,0.0407
760.00,0.0412
759.00,0.0420
758.00,0.0426
757.00,0.0434
756.00,0.0441
755.00,0.0447
754.00,0.0456
753.00,0.0464
752.00,0.0471
751.00,0.0479
750.00,0.0489
749.00,0.0496
748.00,0.0505
747.00,0.0512
746.00,0.0521
745.00,0.0529
744.00,0.0539
743.00,0.0548
742.00,0.0558
741.00,0.0566
740.00,0.0576
739.00,0.0587
738.00,0.0597
737.00,0.0609
736.00,0.0619
735.00,0.0629
734.00,0.0640
733.00,0.0652
732.00,0.0663
731.00,0.0675
730.00,0.0687
729.00,0.0700
728.00,0.0715
727.00,0.0728
726.00,0.0741
725.00,0.0754
724.00,0.0769
723.00,0.0783
722.00,0.0798
721.00,0.0814
720.00,0.0829
719.00,0.0845
718.00,0.0862
717.00,0.0878
