"AUPVP1.SPC"
WL/nm,Abs
1100.00,-0.0100
1099.00,-0.0097
1098.00,-0.0096
1097.00,-0.0099
1096.00,-0.0099
1095.00,-0.0097
1094.00,-0.0097
1093.00,-0.0100
1092.00,-0.0101
1091.00,-0.0100
1090.00,-0.0098
1089.00,-0.0100
1088.00,-0.0102
1087.00,-0.0101
1086.00,-0.0099
1085.00,-0.0100
1084.00,-0.0102
1083.00,-0.0103
1082.00,-0.0103
1081.00,-0.0100
1080.00,-0.0100
1079.00,-0.0101
1078.00,-0.0102
1077.00,-0.0104
1076.00,-0.0105
1075.00,-0.0103
1074.00,-0.0101
1073.00,-0.0101
1072.00,-0.0102
1071.00,-0.0104
1070.00,-0.0104
1069.00,-0.0105
1068.00,-0.0104
1067.00,-0.0103
1066.00,-0.0102
1065.00,-0.0102
1064.00,-0.0103
1063.00,-0.0103
1062.00,-0.0104
1061.00,-0.0104
1060.00,-0.0105
1059.00,-0.0104
1058.00,-0.0104
1057.00,-0.0105
1056.00,-0.0105
1055.00,-0.0106
1054.00,-0.0105
1053.00,-0.0105
1052.00,-0.0106
1051.00,-0.0106
1050.00,-0.0106
1049.00,-0.0105
1048.00,-0.0105
1047.00,-0.0106
1046.00,-0.0106
1045.00,-0.0106
1044.00,-0.0105
1043.00,-0.0105
1042.00,-0.0105
1041.00,-0.0106
1040.00,-0.0106
1039.00,-0.0105
1038.00,-0.0106
1037.00,-0.0106
1036.00,-0.0106
1035.00,-0.0106
1034.00,-0.0107
1033.00,-0.0107
1032.00,-0.0107
1031.00,-0.0107
1030.00,-0.0108
1029.00,-0.0108
1028.00,-0.0109
1027.00,-0.0108
1026.00,-0.0109
1025.00,-0.0109
1024.00,-0.0110
1023.00,-0.0109
1022.00,-0.0107
1021.00,-0.0108
1020.00,-0.0109
1019.00,-0.0111
1018.00,-0.0109
1017.00,-0.0109
1016.00,-0.0108
1015.00,-0.0109
1014.00,-0.0110
1013.00,-0.0110
1012.00,-0.0109
1011.00,-0.0110
1010.00,-0.0110
1009.00,-0.0110
1008.00,-0.0110
1007.00,-0.0110
1006.00,-0.0110
1005.00,-0.0111
1004.00,-0.0110
1003.00,-0.0110
1002.00,-0.0111
1001.00,-0.0110
1000.00,-0.0110
999.00,-0.0110
998.00,-0.0111
997.00,-0.0111
996.00,-0.0112
995.00,-0.0111
994.00,-0.0110
993.00,-0.0111
992.00,-0.0111
991.00,-0.0111
990.00,-0.0112
989.00,-0.0112
988.00,-0.0112
987.00,-0.0112
986.00,-0.0111
985.00,-0.0111
984.00,-0.0112
983.00,-0.0110
982.00,-0.0110
981.00,-0.0110
980.00,-0.0112
979.00,-0.0113
978.00,-0.0112
977.00,-0.0111
976.00,-0.0111
975.00,-0.0111
974.00,-0.0111
973.00,-0.0112
972.00,-0.0111
971.00,-0.0111
970.00,-0.0111
969.00,-0.0112
968.00,-0.0112
967.00,-0.0112
966.00,-0.0112
965.00,-0.0112
964.00,-0.0112
963.00,-0.0113
962.00,-0.0112
961.00,-0.0113
960.00,-0.0112
959.00,-0.0112
958.00,-0.0112
957.00,-0.0110
956.00,-0.0110
955.00,-0.0111
954.00,-0.0112
953.00,-0.0112
952.00,-0.0111
951.00,-0.0112
950.00,-0.0112
949.00,-0.0110
948.00,-0.0111
947.00,-0.0111
946.00,-0.0110
945.00,-0.0109
944.00,-0.0110
943.00,-0.0108
942.00,-0.0108
941.00,-0.0110
940.00,-0.0110
939.00,-0.0108
938.00,-0.0109
937.00,-0.0112
936.00,-0.0109
935.00,-0.0108
934.00,-0.0108
933.00,-0.0111
932.00,-0.0111
931.00,-0.0110
930.00,-0.0108
929.00,-0.0109
928.00,-0.0108
927.00,-0.0110
926.00,-0.0110
925.00,-0.0109
924.00,-0.0108
923.00,-0.0108
922.00,-0.0108
921.00,-0.0109
920.00,-0.0108
919.00,-0.0109
918.00,-0.0109
917.00,-0.0109
916.00,-0.0108
915.00,-0.0109
914.00,-0.0108
913.00,-0.0107
912.00,-0.0107
911.00,-0.0107
910.00,-0.0107
909.00,-0.0108
908.00,-0.0107
907.00,-0.0106
906.00,-0.0107
905.00,-0.0108
904.00,-0.0107
903.00,-0.0106
902.00,-0.0107
901.00,-0.0106
900.00,-0.0107
899.00,-0.0108
898.00,-0.0108
897.00,-0.0107
896.00,-0.0108
895.00,-0.0107
894.00,-0.0106
893.00,-0.0107
892.00,-0.0107
891.00,-0.0108
890.00,-0.0108
889.00,-0.0106
888.00,-0.0106
887.00,-0.0106
886.00,-0.0106
885.00,-0.0106
884.00,-0.0108
883.00,-0.0107
882.00,-0.0107
881.00,-0.0107
880.00,-0.0107
879.00,-0.0107
878.00,-0.0105
877.00,-0.0107
876.00,-0.0106
875.00,-0.0107
874.00,-0.0105
873.00,-0.0106
872.00,-0.0105
871.00,-0.0104
870.00,-0.0104
869.00,-0.0106
