"AUSUC1.SPC"
WL/nm,Abs
1100.00,-0.0122
1099.00,-0.0119
1098.00,-0.0119
1097.00,-0.0121
1096.00,-0.0121
1095.00,-0.0119
1094.00,-0.0119
1093.00,-0.0122
1092.00,-0.0121
1091.00,-0.0121
1090.00,-0.0118
1089.00,-0.0120
1088.00,-0.0120
1087.00,-0.0119
1086.00,-0.0117
1085.00,-0.0117
1084.00,-0.0118
1083.00,-0.0118
1082.00,-0.0118
1081.00,-0.0116
1080.00,-0.0115
1079.00,-0.0116
1078.00,-0.0117
1077.00,-0.0118
1076.00,-0.0119
1075.00,-0.0116
1074.00,-0.0114
1073.00,-0.0113
1072.00,-0.0114
1071.00,-0.0116
1070.00,-0.0116
1069.00,-0.0116
1068.00,-0.0115
1067.00,-0.0114
1066.00,-0.0113
1065.00,-0.0114
1064.00,-0.0114
1063.00,-0.0115
1062.00,-0.0115
1061.00,-0.0116
1060.00,-0.0116
1059.00,-0.0116
1058.00,-0.0116
1057.00,-0.0116
1056.00,-0.0116
1055.00,-0.0117
1054.00,-0.0117
1053.00,-0.0117
1052.00,-0.0118
1051.00,-0.0118
1050.00,-0.0119
1049.00,-0.0119
1048.00,-0.0119
1047.00,-0.0120
1046.00,-0.0121
1045.00,-0.0122
1044.00,-0.0121
1043.00,-0.0121
1042.00,-0.0122
1041.00,-0.0124
1040.00,-0.0124
1039.00,-0.0124
1038.00,-0.0124
1037.00,-0.0125
1036.00,-0.0125
1035.00,-0.0127
1034.00,-0.0128
1033.00,-0.0129
1032.00,-0.0130
1031.00,-0.0130
1030.00,-0.0131
1029.00,-0.0132
1028.00,-0.0132
1027.00,-0.0134
1026.00,-0.0134
1025.00,-0.0135
1024.00,-0.0137
1023.00,-0.0137
1022.00,-0.0135
1021.00,-0.0136
1020.00,-0.0138
1019.00,-0.0141
1018.00,-0.0141
1017.00,-0.0141
1016.00,-0.0141
1015.00,-0.0142
1014.00,-0.0144
1013.00,-0.0145
1012.00,-0.0145
1011.00,-0.0147
1010.00,-0.0147
1009.00,-0.0148
1008.00,-0.0148
1007.00,-0.0150
1006.00,-0.0150
1005.00,-0.0151
1004.00,-0.0152
1003.00,-0.0152
1002.00,-0.0154
1001.00,-0.0154
1000.00,-0.0154
999.00,-0.0155
998.00,-0.0156
997.00,-0.0157
996.00,-0.0159
995.00,-0.0160
994.00,-0.0159
993.00,-0.0160
992.00,-0.0161
991.00,-0.0162
990.00,-0.0164
989.00,-0.0165
988.00,-0.0166
987.00,-0.0166
986.00,-0.0167
985.00,-0.0169
984.00,-0.0170
983.00,-0.0170
982.00,-0.0172
981.00,-0.0173
980.00,-0.0175
979.00,-0.0178
978.00,-0.0178
977.00,-0.0180
976.00,-0.0182
975.00,-0.0183
974.00,-0.0184
973.00,-0.0187
972.00,-0.0187
971.00,-0.0188
970.00,-0.0190
969.00,-0.0193
968.00,-0.0195
967.00,-0.0197
966.00,-0.0197
965.00,-0.0199
964.00,-0.0201
963.00,-0.0203
962.00,-0.0204
961.00,-0.0206
960.00,-0.0206
959.00,-0.0208
958.00,-0.0207
957.00,-0.0204
956.00,-0.0203
955.00,-0.0202
954.00,-0.0199
953.00,-0.0196
952.00,-0.0191
951.00,-0.0188
950.00,-0.0185
949.00,-0.0180
948.00,-0.0177
947.00,-0.0175
946.00,-0.0171
945.00,-0.0167
944.00,-0.0166
943.00,-0.0163
942.00,-0.0161
941.00,-0.0160
940.00,-0.0158
939.00,-0.0155
938.00,-0.0155
937.00,-0.0154
936.00,-0.0151
935.00,-0.0149
934.00,-0.0148
933.00,-0.0150
932.00,-0.0148
931.00,-0.0146
930.00,-0.0144
929.00,-0.0143
928.00,-0.0140
927.00,-0.0141
926.00,-0.0141
925.00,-0.0140
924.00,-0.0138
923.00,-0.0137
922.00,-0.0137
921.00,-0.0137
920.00,-0.0136
919.00,-0.0135
918.00,-0.0136
917.00,-0.0135
916.00,-0.0135
915.00,-0.0134
914.00,-0.0134
913.00,-0.0133
912.00,-0.0134
911.00,-0.0134
910.00,-0.0133
909.00,-0.0133
908.00,-0.0133
907.00,-0.0133
906.00,-0.0133
905.00,-0.0134
904.00,-0.0133
903.00,-0.0132
902.00,-0.0134
901.00,-0.0133
900.00,-0.0134
899.00,-0.0134
898.00,-0.0136
897.00,-0.0135
896.00,-0.0137
895.00,-0.0137
894.00,-0.0136
893.00,-0.0137
892.00,-0.0137
891.00,-0.0139
890.00,-0.0138
889.00,-0.0137
888.00,-0.0138
887.00,-0.0137
886.00,-0.0138
885.00,-0.0138
884.00,-0.0139
883.00,-0.0139
882.00,-0.0139
881.00,-0.0140
880.00,-0.0140
879.00,-0.0139
878.00,-0.0139
877.00,-0.0139
876.00,-0.0140
875.00,-0.0140
874.00,-0.0138
873.00,-0.0139
872.00,-0.0139
871.00,-0.0137
870.00,-0.0137
869.00,-0.0138
