"PT2.SPC"
WL/nm,Abs
1100.00,-0.0116
1099.00,-0.0114
1098.00,-0.0114
1097.00,-0.0117
1096.00,-0.0116
1095.00,-0.0114
1094.00,-0.0113
1093.00,-0.0116
1092.00,-0.0116
1091.00,-0.0115
1090.00,-0.0113
1089.00,-0.0115
1088.00,-0.0116
1087.00,-0.0114
1086.00,-0.0111
1085.00,-0.0112
1084.00,-0.0114
1083.00,-0.0114
1082.00,-0.0114
1081.00,-0.0112
1080.00,-0.0112
1079.00,-0.0113
1078.00,-0.0114
1077.00,-0.0115
1076.00,-0.0116
1075.00,-0.0114
1074.00,-0.0111
1073.00,-0.0110
1072.00,-0.0111
1071.00,-0.0113
1070.00,-0.0113
1069.00,-0.0114
1068.00,-0.0114
1067.00,-0.0113
1066.00,-0.0111
1065.00,-0.0111
1064.00,-0.0111
1063.00,-0.0112
1062.00,-0.0112
1061.00,-0.0113
1060.00,-0.0113
1059.00,-0.0112
1058.00,-0.0112
1057.00,-0.0113
1056.00,-0.0113
1055.00,-0.0114
1054.00,-0.0113
1053.00,-0.0113
1052.00,-0.0113
1051.00,-0.0113
1050.00,-0.0113
1049.00,-0.0112
1048.00,-0.0112
1047.00,-0.0113
1046.00,-0.0113
1045.00,-0.0113
1044.00,-0.0113
1043.00,-0.0113
1042.00,-0.0113
1041.00,-0.0113
1040.00,-0.0113
1039.00,-0.0112
1038.00,-0.0112
1037.00,-0.0112
1036.00,-0.0112
1035.00,-0.0112
1034.00,-0.0113
1033.00,-0.0114
1032.00,-0.0114
1031.00,-0.0113
1030.00,-0.0114
1029.00,-0.0114
1028.00,-0.0113
1027.00,-0.0113
1026.00,-0.0114
1025.00,-0.0114
1024.00,-0.0115
1023.00,-0.0114
1022.00,-0.0112
1021.00,-0.0113
1020.00,-0.0113
1019.00,-0.0114
1018.00,-0.0113
1017.00,-0.0113
1016.00,-0.0112
1015.00,-0.0113
1014.00,-0.0114
1013.00,-0.0113
1012.00,-0.0113
1011.00,-0.0114
1010.00,-0.0113
1009.00,-0.0114
1008.00,-0.0113
1007.00,-0.0113
1006.00,-0.0113
1005.00,-0.0114
1004.00,-0.0113
1003.00,-0.0112
1002.00,-0.0113
1001.00,-0.0113
1000.00,-0.0112
999.00,-0.0112
998.00,-0.0112
997.00,-0.0112
996.00,-0.0113
995.00,-0.0112
994.00,-0.0111
993.00,-0.0111
992.00,-0.0111
991.00,-0.0111
990.00,-0.0112
989.00,-0.0112
988.00,-0.0111
987.00,-0.0111
986.00,-0.0109
985.00,-0.0110
984.00,-0.0110
983.00,-0.0109
982.00,-0.0109
981.00,-0.0109
980.00,-0.0110
979.00,-0.0111
978.00,-0.0110
977.00,-0.0109
976.00,-0.0110
975.00,-0.0109
974.00,-0.0109
973.00,-0.0109
972.00,-0.0108
971.00,-0.0107
970.00,-0.0108
969.00,-0.0108
968.00,-0.0108
967.00,-0.0109
966.00,-0.0108
965.00,-0.0107
964.00,-0.0108
963.00,-0.0108
962.00,-0.0106
961.00,-0.0108
960.00,-0.0108
959.00,-0.0108
958.00,-0.0108
957.00,-0.0105
956.00,-0.0107
955.00,-0.0107
954.00,-0.0107
953.00,-0.0108
952.00,-0.0109
951.00,-0.0109
950.00,-0.0110
949.00,-0.0108
948.00,-0.0109
947.00,-0.0110
946.00,-0.0109
945.00,-0.0108
944.00,-0.0109
943.00,-0.0107
942.00,-0.0107
941.00,-0.0109
940.00,-0.0109
939.00,-0.0108
938.00,-0.0109
937.00,-0.0110
936.00,-0.0108
935.00,-0.0108
934.00,-0.0108
933.00,-0.0111
932.00,-0.0111
931.00,-0.0111
930.00,-0.0110
929.00,-0.0109
928.00,-0.0108
927.00,-0.0109
926.00,-0.0110
925.00,-0.0111
924.00,-0.0108
923.00,-0.0108
922.00,-0.0110
921.00,-0.0110
920.00,-0.0110
919.00,-0.0110
918.00,-0.0110
917.00,-0.0111
916.00,-0.0110
915.00,-0.0110
914.00,-0.0109
913.00,-0.0108
912.00,-0.0108
911.00,-0.0108
910.00,-0.0108
909.00,-0.0109
908.00,-0.0108
907.00,-0.0108
906.00,-0.0109
905.00,-0.0110
904.00,-0.0110
903.00,-0.0108
902.00,-0.0108
901.00,-0.0108
900.00,-0.0108
899.00,-0.0108
898.00,-0.0109
897.00,-0.0109
896.00,-0.0110
895.00,-0.0110
894.00,-0.0108
893.00,-0.0108
892.00,-0.0108
891.00,-0.0110
890.00,-0.0109
889.00,-0.0109
888.00,-0.0108
887.00,-0.0108
886.00,-0.0107
885.00,-0.0108
884.00,-0.0109
883.00,-0.0108
882.00,-0.0108
881.00,-0.0109
880.00,-0.0108
879.00,-0.0108
878.00,-0.0106
877.00,-0.0108
876.00,-0.0108
875.00,-0.0108
874.00,-0.0108
873.00,-0.0108
872.00,-0.0107
871.00,-0.0106
870.00,-0.0107
869.00,-0.0108
868.00,-0.0107
867.00,-0.0108
866.00,-0.0107
865.00,-0.0105
864.00,-0.0105
863.00,-0.0105
862.00,-0.0107
861.00,-0.0107
860.00,-0.0108
859.00,-0.0105
858.00,-0.0107
857.00,-0.0107
856.00,-0.0104
855.00,-0.0105
854.00,-0.0105
853.00,-0.0107
852.00,-0.0107
851.00,-0.0106
850.00,-0.0106
849.00,-0.0106
848.00,-0.0107
847.00,-0.0106
846.00,-0.0104
845.00,-0.0105
844.00,-0.0103
843.00,-0.0104
842.00,-0.0104
841.00,-0.0104
840.00,-0.0103
839.00,-0.0101
838.00,-0.0101
837.00,-0.0101
836.00,-0.0103
835.00,-0.0103
834.00,-0.0102
833.00,-0.0104
832.00,-0.0103
831.00,-0.0104
830.00,-0.0103
829.00,-0.0102
828.00,-0.0103
827.00,-0.0103
826.00,-0.0103
825.00,-0.0102
824.00,-0.0102
823.00,-0.0103
822.00,-0.0102
821.00,-0.0101
820.00,-0.0100
819.00,-0.0101
818.00,-0.0099
817.00,-0.0100
816.00,-0.0101
815.00,-0.0101
814.00,-0.0102
813.00,-0.0102
812.00,-0.0101
811.00,-0.0100
810.00,-0.0100
809.00,-0.0100
808.00,-0.0099
807.00,-0.0099
806.00,-0.0099
805.00,-0.0099
804.00,-0.0100
803.00,-0.0101
802.00,-0.0099
801.00,-0.0098
800.00,-0.0098
799.00,-0.0099
798.00,-0.0097
797.00,-0.0098
796.00,-0.0098
795.00,-0.0097
794.00,-0.0097
793.00,-0.0099
792.00,-0.0098
791.00,-0.0096
790.00,-0.0096
789.00,-0.0097
788.00,-0.0098
787.00,-0.0097
786.00,-0.0097
785.00,-0.0096
784.00,-0.0095
783.00,-0.0095
782.00,-0.0095
781.00,-0.0096
780.00,-0.0097
779.00,-0.0096
778.00,-0.0096
777.00,-0.0095
776.00,-0.0095
775.00,-0.0095
774.00,-0.0095
773.00,-0.0096
772.00,-0.0093
771.00,-0.0095
770.00,-0.0094
769.00,-0.0093
768.00,-0.0093
767.00,-0.0093
766.00,-0.0093
765.00,-0.0093
764.00,-0.0093
763.00,-0.0092
762.00,-0.0091
761.00,-0.0091
760.00,-0.0093
759.00,-0.0092
758.00,-0.0092
757.00,-0.0092
756.00,-0.0091
755.00,-0.0090
754.00,-0.0088
753.00,-0.0088
752.00,-0.0088
751.00,-0.0088
750.00,-0.0086
749.00,-0.0087
748.00,-0.0086
747.00,-0.0088
746.00,-0.0088
745.00,-0.0088
744.00,-0.0087
743.00,-0.0087
742.00,-0.0087
741.00,-0.0087
740.00,-0.0087
739.00,-0.0086
738.00,-0.0086
737.00,-0.0085
736.00,-0.0085
735.00,-0.0085
734.00,-0.0085
733.00,-0.0084
732.00,-0.0085
731.00,-0.0084
730.00,-0.0084
729.00,-0.0084
728.00,-0.0082
727.00,-0.0081
726.00,-0.0082
725.00,-0.0082
724.00,-0.0081
723.00,-0.0082
722.00,-0.0081
721.00,-0.0080
720.00,-0.0080
719.00,-0.0080
718.00,-0.0079
717.00,-0.0079
716.00,-0.0079
715.00,-0.0079
714.00,-0.0078
713.00,-0.0077
712.00,-0.0076
711.00,-0.0076
710.00,-0.0075
709.00,-0.0075
708.00,-0.0075
707.00,-0.0075
706.00,-0.0075
705.00,-0.0073
704.00,-0.0074
703.00,-0.0073
702.00,-0.0073
701.00,-0.0073
700.00,-0.0072
699.00,-0.0072
698.00,-0.0070
697.00,-0.0070
696.00,-0.0069
695.00,-0.0070
694.00,-0.0068
693.00,-0.0067
692.00,-0.0066
691.00,-0.0066
690.00,-0.0065
689.00,-0.0066
688.00,-0.0065
687.00,-0.0065
686.00,-0.0064
685.00,-0.0065
684.00,-0.0064
683.00,-0.0063
682.00,-0.0062
681.00,-0.0062
680.00,-0.0062
679.00,-0.0061
678.00,-0.0060
677.00,-0.0059
676.00,-0.0059
675.00,-0.0057
674.00,-0.0056
673.00,-0.0057
672.00,-0.0054
671.00,-0.0054
670.00,-0.0053
669.00,-0.0053
668.00,-0.0053
667.00,-0.0051
666.00,-0.0051
665.00,-0.0051
664.00,-0.0049
663.00,-0.0047
662.00,-0.0047
661.00,-0.0046
660.00,-0.0046
659.00,-0.0045
658.00,-0.0044
657.00,-0.0043
656.00,-0.0042
655.00,-0.0042
654.00,-0.0041
653.00,-0.0040
652.00,-0.0039
651.00,-0.0037
650.00,-0.0037
649.00,-0.0036
648.00,-0.0034
647.00,-0.0033
646.00,-0.0032
645.00,-0.0031
644.00,-0.0031
643.00,-0.0029
642.00,-0.0029
641.00,-0.0028
640.00,-0.0027
639.00,-0.0025
638.00,-0.0024
637.00,-0.0023
636.00,-0.0022
635.00,-0.0020
634.00,-0.0018
633.00,-0.0016
632.00,-0.0015
631.00,-0.0014
630.00,-0.0011
629.00,-0.0011
628.00,-0.0009
627.00,-0.0007
626.00,-0.0006
625.00,-0.0004
624.00,-0.0002
623.00,-0.0001
622.00,0.0002
621.00,0.0004
620.00,0.0006
619.00,0.0007
618.00,0.0009
617.00,0.0011
616.00,0.0014
615.00,0.0016
614.00,0.0018
613.00,0.0020
612.00,0.0023
611.00,0.0025
610.00,0.0027
609.00,0.0029
608.00,0.0032
607.00,0.0035
606.00,0.0038
605.00,0.0039
604.00,0.0041
603.00,0.0044
602.00,0.0047
601.00,0.0049
600.00,0.0053
599.00,0.0056
598.00,0.0059
597.00,0.0062
596.00,0.0064
595.00,0.0067
594.00,0.0069
593.00,0.0073
592.00,0.0076
591.00,0.0079
590.00,0.0082
589.00,0.0084
588.00,0.0088
587.00,0.0091
586.00,0.0094
585.00,0.0098
584.00,0.0101
583.00,0.0104
582.00,0.0107
581.00,0.0110
580.00,0.0113
579.00,0.0116
578.00,0.0120
577.00,0.0123
576.00,0.0125
575.00,0.0129
574.00,0.0133
573.00,0.0137
572.00,0.0140
571.00,0.0143
570.00,0.0147
569.00,0.0150
568.00,0.0155
567.00,0.0158
566.00,0.0161
565.00,0.0165
564.00,0.0169
563.00,0.0173
562.00,0.0176
561.00,0.0180
560.00,0.0183
559.00,0.0187
558.00,0.0190
557.00,0.0194
556.00,0.0197
555.00,0.0201
554.00,0.0203
553.00,0.0205
552.00,0.0208
551.00,0.0211
550.00,0.0214
549.00,0.0217
548.00,0.0220
547.00,0.0222
546.00,0.0225
545.00,0.0227
544.00,0.0231
543.00,0.0232
542.00,0.0233
541.00,0.0235
540.00,0.0236
539.00,0.0237
538.00,0.0238
537.00,0.0239
536.00,0.0239
535.00,0.0240
534.00,0.0241
533.00,0.0241
532.00,0.0242
531.00,0.0242
530.00,0.0241
529.00,0.0242
528.00,0.0241
527.00,0.0241
526.00,0.0241
525.00,0.0239
524.00,0.0238
523.00,0.0237
522.00,0.0236
521.00,0.0236
520.00,0.0233
519.00,0.0232
518.00,0.0230
517.00,0.0229
516.00,0.0229
515.00,0.0227
514.00,0.0226
513.00,0.0224
512.00,0.0223
511.00,0.0223
510.00,0.0223
509.00,0.0221
508.00,0.0220
507.00,0.0220
506.00,0.0220
505.00,0.0219
504.00,0.0217
503.00,0.0218
502.00,0.0217
501.00,0.0217
500.00,0.0217
499.00,0.0216
498.00,0.0214
497.00,0.0214
496.00,0.0213
495.00,0.0213
494.00,0.0213
493.00,0.0213
492.00,0.0212
491.00,0.0212
490.00,0.0213
489.00,0.0214
488.00,0.0214
487.00,0.0214
486.00,0.0213
485.00,0.0214
484.00,0.0216
483.00,0.0217
482.00,0.0218
481.00,0.0220
480.00,0.0220
479.00,0.0222
478.00,0.0223
477.00,0.0223
476.00,0.0225
475.00,0.0227
474.00,0.0229
473.00,0.0230
472.00,0.0232
471.00,0.0233
470.00,0.0234
469.00,0.0236
468.00,0.0236
467.00,0.0236
466.00,0.0238
465.00,0.0239
464.00,0.0239
463.00,0.0241
462.00,0.0244
461.00,0.0245
460.00,0.0247
459.00,0.0251
458.00,0.0253
457.00,0.0257
456.00,0.0258
455.00,0.0260
454.00,0.0261
453.00,0.0262
452.00,0.0264
451.00,0.0264
450.00,0.0265
449.00,0.0266
448.00,0.0266
447.00,0.0268
446.00,0.0269
445.00,0.0271
444.00,0.0271
443.00,0.0272
442.00,0.0273
441.00,0.0275
440.00,0.0277
439.00,0.0279
438.00,0.0279
437.00,0.0278
436.00,0.0280
435.00,0.0283
434.00,0.0285
433.00,0.0285
432.00,0.0287
431.00,0.0289
430.00,0.0290
429.00,0.0293
428.00,0.0297
427.00,0.0301
426.00,0.0305
425.00,0.0306
424.00,0.0310
423.00,0.0316
422.00,0.0319
421.00,0.0322
420.00,0.0328
419.00,0.0333
418.00,0.0336
417.00,0.0342
416.00,0.0346
415.00,0.0352
414.00,0.0358
413.00,0.0368
412.00,0.0375
411.00,0.0383
410.00,0.0390
409.00,0.0400
408.00,0.0412
407.00,0.0418
406.00,0.0427
405.00,0.0434
404.00,0.0443
403.00,0.0453
402.00,0.0464
401.00,0.0476
400.00,0.0489
399.00,0.0501
398.00,0.0516
397.00,0.0527
396.00,0.0537
395.00,0.0549
394.00,0.0566
393.00,0.0581
392.00,0.0595
391.00,0.0610
390.00,0.0619
389.00,0.0631
388.00,0.0646
387.00,0.0654
386.00,0.0662
385.00,0.0677
384.00,0.0689
383.00,0.0708
382.00,0.0712
381.00,0.0719
380.00,0.0727
379.00,0.0738
378.00,0.0743
377.00,0.0752
376.00,0.0765
375.00,0.0775
374.00,0.0790
373.00,0.0799
372.00,0.0813
371.00,0.0816
370.00,0.0819
369.00,0.0824
368.00,0.0825
367.00,0.0832
366.00,0.0832
365.00,0.0837
364.00,0.0845
363.00,0.0855
362.00,0.0866
361.00,0.0872
360.00,0.0878
359.00,0.0881
358.00,0.0890
357.00,0.0895
356.00,0.0897
355.00,0.0903
354.00,0.0913
353.00,0.0902
352.00,0.0913
351.00,0.0922
350.00,0.0939
349.00,0.0959
348.00,0.0976
347.00,0.0982
346.00,0.0989
345.00,0.0999
344.00,0.1006
343.00,0.1015
342.00,0.1023
341.00,0.1037
340.00,0.1047
339.00,0.1060
338.00,0.1071
337.00,0.1090
336.00,0.1117
335.00,0.1137
334.00,0.1165
333.00,0.1197
332.00,0.1229
331.00,0.1256
330.00,0.1307
329.00,0.1355
328.00,0.1400
327.00,0.1456
326.00,0.1514
325.00,0.1571
324.00,0.1637
323.00,0.1706
322.00,0.1777
321.00,0.1854
320.00,0.1938
319.00,0.2029
318.00,0.2124
317.00,0.2224
316.00,0.2337
315.00,0.2471
314.00,0.2607
313.00,0.2750
312.00,0.2898
311.00,0.3043
310.00,0.3204
309.00,0.3372
308.00,0.3556
307.00,0.3748
306.00,0.3959
305.00,0.4209
304.00,0.4428
303.00,0.4649
302.00,0.4886
301.00,0.5136
300.00,0.5382
299.00,0.5632
298.00,0.5884
297.00,0.6175
296.00,0.6469
295.00,0.6760
294.00,0.7056
293.00,0.7359
292.00,0.7678
291.00,0.8014
290.00,0.8384
289.00,0.8759
288.00,0.9093
287.00,0.9490
286.00,0.9964
285.00,1.0462
284.00,1.0973
283.00,1.1449
282.00,1.1936
281.00,1.2357
280.00,1.2732
279.00,1.3166
278.00,1.3568
277.00,1.3970
276.00,1.4399
275.00,1.4868
274.00,1.5376
273.00,1.5893
272.00,1.6390
271.00,1.6847
270.00,1.7223
269.00,1.7666
268.00,1.8021
267.00,1.8343
