"PT_1.SPC"
WL/nm,Abs
1100.00,-0.0029
1099.00,-0.0027
1098.00,-0.0028
1097.00,-0.0031
1096.00,-0.0031
1095.00,-0.0030
1094.00,-0.0030
1093.00,-0.0034
1092.00,-0.0036
1091.00,-0.0035
1090.00,-0.0032
1089.00,-0.0031
1088.00,-0.0032
1087.00,-0.0032
1086.00,-0.0029
1085.00,-0.0029
1084.00,-0.0031
1083.00,-0.0033
1082.00,-0.0032
1081.00,-0.0030
1080.00,-0.0029
1079.00,-0.0030
1078.00,-0.0031
1077.00,-0.0032
1076.00,-0.0034
1075.00,-0.0031
1074.00,-0.0029
1073.00,-0.0029
1072.00,-0.0030
1071.00,-0.0031
1070.00,-0.0032
1069.00,-0.0032
1068.00,-0.0031
1067.00,-0.0030
1066.00,-0.0028
1065.00,-0.0029
1064.00,-0.0029
1063.00,-0.0029
1062.00,-0.0029
1061.00,-0.0030
1060.00,-0.0030
1059.00,-0.0029
1058.00,-0.0029
1057.00,-0.0029
1056.00,-0.0029
1055.00,-0.0029
1054.00,-0.0029
1053.00,-0.0028
1052.00,-0.0028
1051.00,-0.0028
1050.00,-0.0028
1049.00,-0.0028
1048.00,-0.0027
1047.00,-0.0027
1046.00,-0.0028
1045.00,-0.0028
1044.00,-0.0027
1043.00,-0.0026
1042.00,-0.0026
1041.00,-0.0026
1040.00,-0.0026
1039.00,-0.0025
1038.00,-0.0025
1037.00,-0.0025
1036.00,-0.0025
1035.00,-0.0025
1034.00,-0.0025
1033.00,-0.0025
1032.00,-0.0025
1031.00,-0.0024
1030.00,-0.0024
1029.00,-0.0024
1028.00,-0.0023
1027.00,-0.0023
1026.00,-0.0024
1025.00,-0.0023
1024.00,-0.0023
1023.00,-0.0023
1022.00,-0.0020
1021.00,-0.0020
1020.00,-0.0021
1019.00,-0.0022
1018.00,-0.0020
1017.00,-0.0020
1016.00,-0.0018
1015.00,-0.0017
1014.00,-0.0018
1013.00,-0.0017
1012.00,-0.0016
1011.00,-0.0017
1010.00,-0.0016
1009.00,-0.0016
1008.00,-0.0014
1007.00,-0.0014
1006.00,-0.0014
1005.00,-0.0013
1004.00,-0.0012
1003.00,-0.0011
1002.00,-0.0011
1001.00,-0.0010
1000.00,-0.0009
999.00,-0.0008
998.00,-0.0008
997.00,-0.0007
996.00,-0.0007
995.00,-0.0005
994.00,-0.0004
993.00,-0.0005
992.00,-0.0004
991.00,-0.0002
990.00,-0.0002
989.00,-0.0002
988.00,0.0000
987.00,0.0001
986.00,0.0002
985.00,0.0003
984.00,0.0003
983.00,0.0005
982.00,0.0007
981.00,0.0008
980.00,0.0008
979.00,0.0007
978.00,0.0008
977.00,0.0011
976.00,0.0011
975.00,0.0012
974.00,0.0013
973.00,0.0013
972.00,0.0015
971.00,0.0016
970.00,0.0016
969.00,0.0016
968.00,0.0018
967.00,0.0018
966.00,0.0019
965.00,0.0019
964.00,0.0020
963.00,0.0021
962.00,0.0022
961.00,0.0020
960.00,0.0021
959.00,0.0021
958.00,0.0021
957.00,0.0024
956.00,0.0022
955.00,0.0022
954.00,0.0022
953.00,0.0021
952.00,0.0020
951.00,0.0020
950.00,0.0020
949.00,0.0021
948.00,0.0020
947.00,0.0020
946.00,0.0021
945.00,0.0022
944.00,0.0021
943.00,0.0024
942.00,0.0024
941.00,0.0022
940.00,0.0022
939.00,0.0024
938.00,0.0022
937.00,0.0022
936.00,0.0024
935.00,0.0025
934.00,0.0024
933.00,0.0022
932.00,0.0023
931.00,0.0023
930.00,0.0025
929.00,0.0025
928.00,0.0027
927.00,0.0026
926.00,0.0025
925.00,0.0026
924.00,0.0028
923.00,0.0028
922.00,0.0027
921.00,0.0028
920.00,0.0028
919.00,0.0028
918.00,0.0029
917.00,0.0028
916.00,0.0030
915.00,0.0031
914.00,0.0031
913.00,0.0032
912.00,0.0033
911.00,0.0033
910.00,0.0034
909.00,0.0034
908.00,0.0036
907.00,0.0036
906.00,0.0036
905.00,0.0036
904.00,0.0038
903.00,0.0039
902.00,0.0039
901.00,0.0040
900.00,0.0040
899.00,0.0041
898.00,0.0040
897.00,0.0041
896.00,0.0041
895.00,0.0042
894.00,0.0044
893.00,0.0044
892.00,0.0045
891.00,0.0045
890.00,0.0046
889.00,0.0047
888.00,0.0048
887.00,0.0049
886.00,0.0050
885.00,0.0049
884.00,0.0049
883.00,0.0050
882.00,0.0051
881.00,0.0051
880.00,0.0052
879.00,0.0053
878.00,0.0055
877.00,0.0055
876.00,0.0055
875.00,0.0055
874.00,0.0058
873.00,0.0058
872.00,0.0058
871.00,0.0061
870.00,0.0061
869.00,0.0060
868.00,0.0061
867.00,0.0061
866.00,0.0063
865.00,0.0064
864.00,0.0066
863.00,0.0066
862.00,0.0066
861.00,0.0066
860.00,0.0066
859.00,0.0068
858.00,0.0068
857.00,0.0068
856.00,0.0071
855.00,0.0072
854.00,0.0072
853.00,0.0072
852.00,0.0073
851.00,0.0074
850.00,0.0075
849.00,0.0075
848.00,0.0075
847.00,0.0077
846.00,0.0079
845.00,0.0079
844.00,0.0080
843.00,0.0081
842.00,0.0082
841.00,0.0083
840.00,0.0084
839.00,0.0086
838.00,0.0086
837.00,0.0087
836.00,0.0088
835.00,0.0087
834.00,0.0089
833.00,0.0090
832.00,0.0090
831.00,0.0091
830.00,0.0093
829.00,0.0095
828.00,0.0096
827.00,0.0096
826.00,0.0096
825.00,0.0097
824.00,0.0097
823.00,0.0097
822.00,0.0101
821.00,0.0101
820.00,0.0102
819.00,0.0103
818.00,0.0105
817.00,0.0105
816.00,0.0106
815.00,0.0105
814.00,0.0105
813.00,0.0105
812.00,0.0108
811.00,0.0109
810.00,0.0109
809.00,0.0111
808.00,0.0113
807.00,0.0113
806.00,0.0115
805.00,0.0116
804.00,0.0117
803.00,0.0116
802.00,0.0118
801.00,0.0119
800.00,0.0120
799.00,0.0121
798.00,0.0123
797.00,0.0123
796.00,0.0124
795.00,0.0126
794.00,0.0127
793.00,0.0126
792.00,0.0128
791.00,0.0130
790.00,0.0131
789.00,0.0132
788.00,0.0132
787.00,0.0133
786.00,0.0134
785.00,0.0136
784.00,0.0138
783.00,0.0139
782.00,0.0140
781.00,0.0140
780.00,0.0139
779.00,0.0142
778.00,0.0142
777.00,0.0144
776.00,0.0145
775.00,0.0147
774.00,0.0147
773.00,0.0148
772.00,0.0151
771.00,0.0151
770.00,0.0152
769.00,0.0153
768.00,0.0155
767.00,0.0156
766.00,0.0157
765.00,0.0159
764.00,0.0160
763.00,0.0161
762.00,0.0164
761.00,0.0165
760.00,0.0164
759.00,0.0166
758.00,0.0166
757.00,0.0168
756.00,0.0169
755.00,0.0171
754.00,0.0174
753.00,0.0175
752.00,0.0175
751.00,0.0177
750.00,0.0179
749.00,0.0180
748.00,0.0182
747.00,0.0182
746.00,0.0183
745.00,0.0184
744.00,0.0185
743.00,0.0185
742.00,0.0188
741.00,0.0188
740.00,0.0189
739.00,0.0191
738.00,0.0192
737.00,0.0194
736.00,0.0194
735.00,0.0196
734.00,0.0198
733.00,0.0199
732.00,0.0199
731.00,0.0201
730.00,0.0202
729.00,0.0203
728.00,0.0206
727.00,0.0208
726.00,0.0209
725.00,0.0210
724.00,0.0211
723.00,0.0212
722.00,0.0213
721.00,0.0215
720.00,0.0216
719.00,0.0218
718.00,0.0220
717.00,0.0220
716.00,0.0222
715.00,0.0223
714.00,0.0225
713.00,0.0228
712.00,0.0229
711.00,0.0231
710.00,0.0232
709.00,0.0234
708.00,0.0235
707.00,0.0236
706.00,0.0238
705.00,0.0240
704.00,0.0242
703.00,0.0243
702.00,0.0245
701.00,0.0247
700.00,0.0249
699.00,0.0249
698.00,0.0251
697.00,0.0253
696.00,0.0255
695.00,0.0256
694.00,0.0260
693.00,0.0261
692.00,0.0264
691.00,0.0266
690.00,0.0267
689.00,0.0268
688.00,0.0270
687.00,0.0272
686.00,0.0274
685.00,0.0275
684.00,0.0277
683.00,0.0279
682.00,0.0281
681.00,0.0282
680.00,0.0285
679.00,0.0286
678.00,0.0289
677.00,0.0291
676.00,0.0292
675.00,0.0296
674.00,0.0297
673.00,0.0298
672.00,0.0301
671.00,0.0303
670.00,0.0304
669.00,0.0306
668.00,0.0309
667.00,0.0311
666.00,0.0313
665.00,0.0315
664.00,0.0318
663.00,0.0320
662.00,0.0323
661.00,0.0324
660.00,0.0326
659.00,0.0327
658.00,0.0330
657.00,0.0332
656.00,0.0335
655.00,0.0336
654.00,0.0338
653.00,0.0341
652.00,0.0344
651.00,0.0346
650.00,0.0348
649.00,0.0350
648.00,0.0353
647.00,0.0355
646.00,0.0358
645.00,0.0360
644.00,0.0362
643.00,0.0365
642.00,0.0367
641.00,0.0370
640.00,0.0373
639.00,0.0376
638.00,0.0379
637.00,0.0381
636.00,0.0383
635.00,0.0387
634.00,0.0389
633.00,0.0392
632.00,0.0394
631.00,0.0397
630.00,0.0400
629.00,0.0403
628.00,0.0406
627.00,0.0409
626.00,0.0412
625.00,0.0415
624.00,0.0418
623.00,0.0421
622.00,0.0424
621.00,0.0427
620.00,0.0431
619.00,0.0434
618.00,0.0436
617.00,0.0440
616.00,0.0444
615.00,0.0447
614.00,0.0451
613.00,0.0454
612.00,0.0457
611.00,0.0461
610.00,0.0465
609.00,0.0468
608.00,0.0472
607.00,0.0476
606.00,0.0479
605.00,0.0483
604.00,0.0486
603.00,0.0489
602.00,0.0494
601.00,0.0497
600.00,0.0502
599.00,0.0506
598.00,0.0510
597.00,0.0514
596.00,0.0518
595.00,0.0522
594.00,0.0525
593.00,0.0530
592.00,0.0534
591.00,0.0539
590.00,0.0543
589.00,0.0547
588.00,0.0551
587.00,0.0556
586.00,0.0560
585.00,0.0565
584.00,0.0569
583.00,0.0573
582.00,0.0577
581.00,0.0582
580.00,0.0586
579.00,0.0589
578.00,0.0595
577.00,0.0599
576.00,0.0603
575.00,0.0608
574.00,0.0614
573.00,0.0619
572.00,0.0623
571.00,0.0629
570.00,0.0633
569.00,0.0638
568.00,0.0644
567.00,0.0649
566.00,0.0654
565.00,0.0660
564.00,0.0665
563.00,0.0670
562.00,0.0676
561.00,0.0681
560.00,0.0686
559.00,0.0692
558.00,0.0697
557.00,0.0702
556.00,0.0708
555.00,0.0714
554.00,0.0718
553.00,0.0722
552.00,0.0728
551.00,0.0734
550.00,0.0739
549.00,0.0746
548.00,0.0751
547.00,0.0755
546.00,0.0761
545.00,0.0766
544.00,0.0772
