"1.SPC"
WL/nm,Abs
800.00,0.2025
799.00,0.2026
798.00,0.2029
797.00,0.2027
796.00,0.2027
795.00,0.2028
794.00,0.2026
793.00,0.2027
792.00,0.2025
791.00,0.2025
790.00,0.2025
789.00,0.2025
788.00,0.2026
787.00,0.2026
786.00,0.2025
785.00,0.2025
784.00,0.2024
783.00,0.2023
782.00,0.2024
781.00,0.2025
780.00,0.2025
779.00,0.2026
778.00,0.2025
777.00,0.2025
776.00,0.2026
775.00,0.2026
774.00,0.2025
773.00,0.2025
772.00,0.2026
771.00,0.2026
770.00,0.2024
769.00,0.2025
768.00,0.2026
767.00,0.2024
766.00,0.2025
765.00,0.2024
764.00,0.2025
763.00,0.2027
762.00,0.2027
761.00,0.2030
760.00,0.2034
759.00,0.2036
758.00,0.2036
757.00,0.2036
756.00,0.2036
755.00,0.2037
754.00,0.2037
753.00,0.2037
752.00,0.2037
751.00,0.2039
750.00,0.2037
749.00,0.2037
748.00,0.2038
747.00,0.2038
746.00,0.2036
745.00,0.2036
744.00,0.2039
743.00,0.2038
742.00,0.2038
741.00,0.2038
740.00,0.2040
739.00,0.2041
738.00,0.2042
737.00,0.2041
736.00,0.2043
735.00,0.2044
734.00,0.2044
733.00,0.2045
732.00,0.2046
731.00,0.2048
730.00,0.2049
729.00,0.2050
728.00,0.2053
727.00,0.2052
726.00,0.2052
725.00,0.2053
724.00,0.2055
723.00,0.2056
722.00,0.2057
721.00,0.2055
720.00,0.2056
719.00,0.2057
718.00,0.2058
717.00,0.2060
716.00,0.2062
715.00,0.2061
714.00,0.2062
713.00,0.2060
712.00,0.2062
711.00,0.2064
710.00,0.2063
709.00,0.2065
708.00,0.2065
707.00,0.2064
706.00,0.2064
705.00,0.2065
704.00,0.2064
703.00,0.2064
702.00,0.2065
701.00,0.2066
700.00,0.2066
699.00,0.2068
698.00,0.2067
697.00,0.2067
696.00,0.2065
695.00,0.2065
694.00,0.2066
693.00,0.2068
692.00,0.2066
691.00,0.2067
690.00,0.2067
