"AA.SPC"
WL/nm,Abs
400.00,0.0365
399.00,0.0366
398.00,0.0364
397.00,0.0364
396.00,0.0364
395.00,0.0363
394.00,0.0364
393.00,0.0363
392.00,0.0364
391.00,0.0364
390.00,0.0366
389.00,0.0366
388.00,0.0368
387.00,0.0370
386.00,0.0373
385.00,0.0372
384.00,0.0372
383.00,0.0376
382.00,0.0376
381.00,0.0378
380.00,0.0379
379.00,0.0381
378.00,0.0383
377.00,0.0385
376.00,0.0386
375.00,0.0388
374.00,0.0391
373.00,0.0394
372.00,0.0395
371.00,0.0397
370.00,0.0400
369.00,0.0406
368.00,0.0406
367.00,0.0410
366.00,0.0412
365.00,0.0420
364.00,0.0421
363.00,0.0419
362.00,0.0423
361.00,0.0426
360.00,0.0431
359.00,0.0433
358.00,0.0438
357.00,0.0442
356.00,0.0444
355.00,0.0445
354.00,0.0450
353.00,0.0452
352.00,0.0457
351.00,0.0463
350.00,0.0467
349.00,0.0472
348.00,0.0472
347.00,0.0478
346.00,0.0480
345.00,0.0484
344.00,0.0488
343.00,0.0496
342.00,0.0499
341.00,0.0499
340.00,0.0501
339.00,0.0498
338.00,0.0506
337.00,0.0512
336.00,0.0516
335.00,0.0519
334.00,0.0524
333.00,0.0528
332.00,0.0529
331.00,0.0537
330.00,0.0541
329.00,0.0548
328.00,0.0553
327.00,0.0556
326.00,0.0559
325.00,0.0566
324.00,0.0574
323.00,0.0580
322.00,0.0588
321.00,0.0593
320.00,0.0598
319.00,0.0604
318.00,0.0614
317.00,0.0619
316.00,0.0632
315.00,0.0642
314.00,0.0651
313.00,0.0667
312.00,0.0678
311.00,0.0691
310.00,0.0707
309.00,0.0726
308.00,0.0745
307.00,0.0773
306.00,0.0802
305.00,0.0840
304.00,0.0881
303.00,0.0929
302.00,0.0986
301.00,0.1052
300.00,0.1133
299.00,0.1221
298.00,0.1332
297.00,0.1457
296.00,0.1617
295.00,0.1816
294.00,0.2077
293.00,0.2399
292.00,0.2798
291.00,0.3217
290.00,0.3657
289.00,0.4082
288.00,0.4533
287.00,0.4964
286.00,0.5367
285.00,0.5697
284.00,0.5934
283.00,0.6096
282.00,0.6227
281.00,0.6354
280.00,0.6473
279.00,0.6557
278.00,0.6578
277.00,0.6536
276.00,0.6452
275.00,0.6329
274.00,0.6194
273.00,0.6050
272.00,0.5895
271.00,0.5753
270.00,0.5635
269.00,0.5519
268.00,0.5363
267.00,0.5180
266.00,0.5053
265.00,0.4945
264.00,0.4767
263.00,0.4558
262.00,0.4416
261.00,0.4320
260.00,0.4254
259.00,0.4192
258.00,0.4069
257.00,0.3893
256.00,0.3753
255.00,0.3687
254.00,0.3670
253.00,0.3669
252.00,0.3652
251.00,0.3635
250.00,0.3672
249.00,0.3788
248.00,0.3978
247.00,0.4215
246.00,0.4537
245.00,0.4999
244.00,0.5612
243.00,0.6407
242.00,0.7445
241.00,0.8711
240.00,1.0306
239.00,1.2337
238.00,1.4746
237.00,1.7582
236.00,2.0811
235.00,2.4030
234.00,2.7151
233.00,3.0417
232.00,3.1389
231.00,3.1266
230.00,3.1657
229.00,3.1635
228.00,3.1193
227.00,3.1189
226.00,3.1501
225.00,3.1618
224.00,3.1248
223.00,3.1563
222.00,3.1319
221.00,3.1187
220.00,3.1809
219.00,3.1398
218.00,3.1784
217.00,3.1935
216.00,3.2070
215.00,3.3303
214.00,3.4849
213.00,3.5591
212.00,3.4623
211.00,3.5154
210.00,3.4034
209.00,3.5391
208.00,3.4147
207.00,3.6004
206.00,3.3679
205.00,3.3492
204.00,3.4123
203.00,3.6558
202.00,3.5112
201.00,3.6673
200.00,3.5599
