"AM2X.SPC"
WL/nm,Abs
600.00,0.1157
599.00,0.1192
598.00,0.1236
597.00,0.1279
596.00,0.1321
595.00,0.1360
594.00,0.1401
593.00,0.1442
592.00,0.1483
591.00,0.1523
590.00,0.1563
589.00,0.1600
588.00,0.1636
587.00,0.1672
586.00,0.1708
585.00,0.1743
584.00,0.1777
583.00,0.1813
582.00,0.1848
581.00,0.1880
580.00,0.1912
579.00,0.1943
578.00,0.1974
577.00,0.2002
576.00,0.2032
575.00,0.2061
574.00,0.2090
573.00,0.2117
572.00,0.2142
571.00,0.2167
570.00,0.2192
569.00,0.2215
568.00,0.2239
567.00,0.2262
566.00,0.2283
565.00,0.2305
564.00,0.2324
563.00,0.2343
562.00,0.2361
561.00,0.2378
560.00,0.2396
559.00,0.2412
558.00,0.2428
557.00,0.2442
556.00,0.2454
555.00,0.2466
554.00,0.2477
553.00,0.2486
552.00,0.2495
551.00,0.2503
550.00,0.2509
549.00,0.2515
548.00,0.2520
547.00,0.2524
546.00,0.2528
545.00,0.2529
544.00,0.2529
543.00,0.2529
542.00,0.2526
541.00,0.2522
540.00,0.2517
539.00,0.2511
538.00,0.2504
537.00,0.2497
536.00,0.2487
535.00,0.2475
534.00,0.2463
533.00,0.2448
532.00,0.2434
531.00,0.2418
530.00,0.2400
529.00,0.2382
528.00,0.2360
527.00,0.2339
526.00,0.2316
525.00,0.2291
524.00,0.2266
523.00,0.2239
522.00,0.2210
521.00,0.2182
520.00,0.2149
519.00,0.2117
518.00,0.2084
517.00,0.2049
516.00,0.2014
515.00,0.1978
514.00,0.1940
513.00,0.1900
512.00,0.1859
511.00,0.1818
510.00,0.1777
509.00,0.1735
508.00,0.1693
507.00,0.1649
506.00,0.1605
505.00,0.1560
504.00,0.1515
503.00,0.1469
502.00,0.1423
501.00,0.1377
500.00,0.1335
