"AM3.SPC"
WL/nm,Abs
600.00,-0.0197
599.00,-0.0189
598.00,-0.0180
597.00,-0.0170
596.00,-0.0159
595.00,-0.0149
594.00,-0.0138
593.00,-0.0129
592.00,-0.0120
591.00,-0.0113
590.00,-0.0104
589.00,-0.0095
588.00,-0.0087
587.00,-0.0078
586.00,-0.0069
585.00,-0.0062
584.00,-0.0055
583.00,-0.0047
582.00,-0.0039
581.00,-0.0031
580.00,-0.0024
579.00,-0.0015
578.00,-0.0007
577.00,-0.0001
576.00,0.0005
575.00,0.0011
574.00,0.0017
573.00,0.0023
572.00,0.0029
571.00,0.0036
570.00,0.0042
569.00,0.0048
568.00,0.0053
567.00,0.0058
566.00,0.0062
565.00,0.0067
564.00,0.0071
563.00,0.0075
562.00,0.0080
561.00,0.0085
560.00,0.0088
559.00,0.0093
558.00,0.0097
557.00,0.0099
556.00,0.0102
555.00,0.0107
554.00,0.0108
553.00,0.0108
552.00,0.0110
551.00,0.0111
550.00,0.0113
549.00,0.0116
548.00,0.0117
547.00,0.0116
546.00,0.0116
545.00,0.0115
544.00,0.0113
543.00,0.0113
542.00,0.0113
541.00,0.0111
540.00,0.0108
539.00,0.0107
538.00,0.0105
537.00,0.0105
536.00,0.0108
535.00,0.0106
534.00,0.0103
533.00,0.0098
532.00,0.0095
531.00,0.0090
530.00,0.0085
529.00,0.0079
528.00,0.0073
527.00,0.0067
526.00,0.0061
525.00,0.0055
524.00,0.0048
523.00,0.0042
522.00,0.0034
521.00,0.0026
520.00,0.0016
519.00,0.0007
518.00,0.0000
517.00,-0.0009
516.00,-0.0019
515.00,-0.0027
514.00,-0.0037
513.00,-0.0048
512.00,-0.0059
511.00,-0.0069
510.00,-0.0080
509.00,-0.0090
508.00,-0.0100
507.00,-0.0109
506.00,-0.0123
505.00,-0.0135
504.00,-0.0147
503.00,-0.0158
502.00,-0.0170
501.00,-0.0181
500.00,-0.0191
