AMX.SPC,,,AM9.SPC,,,AM7.SPC,,,AM5.SPC,,,AM3.SPC,,,AM1.SPC,,,,,,,,,AM21.SPC,,,AM22.SPC,,,AM23.SPC,,,,,,,,,AM2X.SPC,,,AA.SPC,
WL/nm,Abs,,WL/nm,Abs,,WL/nm,Abs,,WL/nm,Abs,,WL/nm,Abs,,WL/nm,Abs,,,,,,,,WL/nm,Abs,,WL/nm,Abs,,WL/nm,Abs,,,,,,,,WL/nm,Abs,,WL/nm,Abs
600,-0.0104,,600,-0.0117,,600,-0.0102,,600,-0.0096,,600,-0.0197,,600,-0.0712,,,,,,,,600,0.2197,,600,0.3246,,600,0.3925,,,,,,,,600,0.1157,,400,0.0365
599,-0.0096,,599,-0.0107,,599,-0.0093,,599,-0.0087,,599,-0.0189,,599,-0.071,,,,,,,,599,0.2219,,599,0.3287,,599,0.3975,,,,,,,,599,0.1192,,399,0.0366
598,-0.0085,,598,-0.0096,,598,-0.0081,,598,-0.0076,,598,-0.018,,598,-0.0707,,,,,,,,598,0.2246,,598,0.334,,598,0.404,,,,,,,,598,0.1236,,398,0.0364
597,-0.0073,,597,-0.0083,,597,-0.0067,,597,-0.0062,,597,-0.017,,597,-0.0703,,,,,,,,597,0.2273,,597,0.3392,,597,0.4104,,,,,,,,597,0.1279,,397,0.0364
596,-0.006,,596,-0.0069,,596,-0.0053,,596,-0.0049,,596,-0.0159,,596,-0.0699,,,,,,,,596,0.2299,,596,0.3444,,596,0.4168,,,,,,,,596,0.1321,,396,0.0364
595,-0.0049,,595,-0.0056,,595,-0.004,,595,-0.0036,,595,-0.0149,,595,-0.0695,,,,,,,,595,0.2325,,595,0.3495,,595,0.423,,,,,,,,595,0.136,,395,0.0363
594,-0.0037,,594,-0.0043,,594,-0.0027,,594,-0.0024,,594,-0.0138,,594,-0.0691,,,,,,,,594,0.2352,,594,0.3544,,594,0.4291,,,,,,,,594,0.1401,,394,0.0364
593,-0.0026,,593,-0.0031,,593,-0.0014,,593,-0.0012,,593,-0.0129,,593,-0.0687,,,,,,,,593,0.2378,,593,0.3594,,593,0.4353,,,,,,,,593,0.1442,,393,0.0363
592,-0.0016,,592,-0.002,,592,-0.0002,,592,-0.0001,,592,-0.012,,592,-0.0684,,,,,,,,592,0.2402,,592,0.3643,,592,0.4414,,,,,,,,592,0.1483,,392,0.0364
591,-0.0006,,591,-0.0009,,591,0.0008,,591,0.001,,591,-0.0113,,591,-0.0683,,,,,,,,591,0.2426,,591,0.3691,,591,0.4475,,,,,,,,591,0.1523,,391,0.0364
590,0.0004,,590,0.0002,,590,0.002,,590,0.0021,,590,-0.0104,,590,-0.068,,,,,,,,590,0.245,,590,0.3738,,590,0.4534,,,,,,,,590,0.1563,,390,0.0366
589,0.0014,,589,0.0014,,589,0.0031,,589,0.0032,,589,-0.0095,,589,-0.0676,,,,,,,,589,0.2473,,589,0.3784,,589,0.4591,,,,,,,,589,0.16,,389,0.0366
588,0.0023,,588,0.0025,,588,0.0042,,588,0.0043,,588,-0.0087,,588,-0.0674,,,,,,,,588,0.2496,,588,0.3829,,588,0.4647,,,,,,,,588,0.1636,,388,0.0368
587,0.0034,,587,0.0037,,587,0.0055,,587,0.0054,,587,-0.0078,,587,-0.067,,,,,,,,587,0.2518,,587,0.3873,,587,0.4704,,,,,,,,587,0.1672,,387,0.037
586,0.0044,,586,0.0048,,586,0.0067,,586,0.0065,,586,-0.0069,,586,-0.0667,,,,,,,,586,0.254,,586,0.3916,,586,0.4758,,,,,,,,586,0.1708,,386,0.0373
585,0.0053,,585,0.0058,,585,0.0076,,585,0.0075,,585,-0.0062,,585,-0.0665,,,,,,,,585,0.2561,,585,0.3958,,585,0.4812,,,,,,,,585,0.1743,,385,0.0372
584,0.0061,,584,0.0068,,584,0.0086,,584,0.0084,,584,-0.0055,,584,-0.0663,,,,,,,,584,0.2582,,584,0.3999,,584,0.4865,,,,,,,,584,0.1777,,384,0.0372
583,0.007,,583,0.0079,,583,0.0097,,583,0.0094,,583,-0.0047,,583,-0.066,,,,,,,,583,0.2602,,583,0.404,,583,0.4918,,,,,,,,583,0.1813,,383,0.0376
582,0.0081,,582,0.009,,582,0.0109,,582,0.0106,,582,-0.0039,,582,-0.0656,,,,,,,,582,0.2623,,582,0.4081,,582,0.4971,,,,,,,,582,0.1848,,382,0.0376
581,0.009,,581,0.0101,,581,0.012,,581,0.0116,,581,-0.0031,,581,-0.0653,,,,,,,,581,0.2642,,581,0.4121,,581,0.5022,,,,,,,,581,0.188,,381,0.0378
580,0.0098,,580,0.0112,,580,0.0131,,580,0.0126,,580,-0.0024,,580,-0.0651,,,,,,,,580,0.2661,,580,0.4159,,580,0.5072,,,,,,,,580,0.1912,,380,0.0379
579,0.0108,,579,0.0123,,579,0.0143,,579,0.0137,,579,-0.0015,,579,-0.0646,,,,,,,,579,0.268,,579,0.4196,,579,0.512,,,,,,,,579,0.1943,,379,0.0381
578,0.0118,,578,0.0134,,578,0.0153,,578,0.0147,,578,-0.0007,,578,-0.0642,,,,,,,,578,0.2697,,578,0.4232,,578,0.5168,,,,,,,,578,0.1974,,378,0.0383
577,0.0125,,577,0.0143,,577,0.0162,,577,0.0156,,577,-0.0001,,577,-0.0641,,,,,,,,577,0.2714,,577,0.4267,,577,0.5215,,,,,,,,577,0.2002,,377,0.0385
576,0.0132,,576,0.0152,,576,0.0171,,576,0.0164,,576,0.0005,,576,-0.0639,,,,,,,,576,0.2731,,576,0.4302,,576,0.5262,,,,,,,,576,0.2032,,376,0.0386
575,0.0139,,575,0.0162,,575,0.0181,,575,0.0172,,575,0.0011,,575,-0.0637,,,,,,,,575,0.2748,,575,0.4337,,575,0.5308,,,,,,,,575,0.2061,,375,0.0388
574,0.0147,,574,0.0171,,574,0.0191,,574,0.0181,,574,0.0017,,574,-0.0635,,,,,,,,574,0.2765,,574,0.4371,,574,0.5355,,,,,,,,574,0.209,,374,0.0391
573,0.0155,,573,0.018,,573,0.02,,573,0.019,,573,0.0023,,573,-0.0633,,,,,,,,573,0.2781,,573,0.4404,,573,0.54,,,,,,,,573,0.2117,,373,0.0394
572,0.0162,,572,0.0189,,572,0.0209,,572,0.0198,,572,0.0029,,572,-0.063,,,,,,,,572,0.2795,,572,0.4434,,572,0.5442,,,,,,,,572,0.2142,,372,0.0395
571,0.0169,,571,0.0199,,571,0.0219,,571,0.0207,,571,0.0036,,571,-0.0628,,,,,,,,571,0.2809,,571,0.4465,,571,0.5483,,,,,,,,571,0.2167,,371,0.0397
570,0.0176,,570,0.0208,,570,0.0227,,570,0.0216,,570,0.0042,,570,-0.0626,,,,,,,,570,0.2823,,570,0.4494,,570,0.5524,,,,,,,,570,0.2192,,370,0.04
569,0.0184,,569,0.0218,,569,0.0238,,569,0.0225,,569,0.0048,,569,-0.0622,,,,,,,,569,0.2836,,569,0.4522,,569,0.5564,,,,,,,,569,0.2215,,369,0.0406
568,0.019,,568,0.0227,,568,0.0247,,568,0.0232,,568,0.0053,,568,-0.0621,,,,,,,,568,0.2849,,568,0.4549,,568,0.5603,,,,,,,,568,0.2239,,368,0.0406
567,0.0197,,567,0.0235,,567,0.0255,,567,0.024,,567,0.0058,,567,-0.0619,,,,,,,,567,0.2862,,567,0.4576,,567,0.5641,,,,,,,,567,0.2262,,367,0.041
566,0.0202,,566,0.0243,,566,0.0262,,566,0.0246,,566,0.0062,,566,-0.0618,,,,,,,,566,0.2873,,566,0.4601,,566,0.5679,,,,,,,,566,0.2283,,366,0.0412
565,0.0208,,565,0.0252,,565,0.027,,565,0.0253,,565,0.0067,,565,-0.0616,,,,,,,,565,0.2884,,565,0.4626,,565,0.5715,,,,,,,,565,0.2305,,365,0.042
564,0.0212,,564,0.0259,,564,0.0277,,564,0.0259,,564,0.0071,,564,-0.0615,,,,,,,,564,0.2895,,564,0.465,,564,0.5751,,,,,,,,564,0.2324,,364,0.0421
563,0.0217,,563,0.0266,,563,0.0284,,563,0.0265,,563,0.0075,,563,-0.0614,,,,,,,,563,0.2904,,563,0.4672,,563,0.5784,,,,,,,,563,0.2343,,363,0.0419
562,0.0223,,562,0.0274,,562,0.0292,,562,0.0272,,562,0.008,,562,-0.0612,,,,,,,,562,0.2913,,562,0.4694,,562,0.5816,,,,,,,,562,0.2361,,362,0.0423
561,0.0229,,561,0.0283,,561,0.0301,,561,0.028,,561,0.0085,,561,-0.0609,,,,,,,,561,0.2922,,561,0.4714,,561,0.5848,,,,,,,,561,0.2378,,361,0.0426
560,0.0234,,560,0.029,,560,0.0307,,560,0.0285,,560,0.0088,,560,-0.0609,,,,,,,,560,0.2931,,560,0.4734,,560,0.5878,,,,,,,,560,0.2396,,360,0.0431
559,0.0241,,559,0.0298,,559,0.0316,,559,0.0293,,559,0.0093,,559,-0.0606,,,,,,,,559,0.2939,,559,0.4752,,559,0.5908,,,,,,,,559,0.2412,,359,0.0433
558,0.0245,,558,0.0306,,558,0.0323,,558,0.03,,558,0.0097,,558,-0.0604,,,,,,,,558,0.2946,,558,0.4771,,558,0.5937,,,,,,,,558,0.2428,,358,0.0438
557,0.0248,,557,0.0312,,557,0.0329,,557,0.0304,,557,0.0099,,557,-0.0603,,,,,,,,557,0.2952,,557,0.4786,,557,0.5963,,,,,,,,557,0.2442,,357,0.0442
556,0.0252,,556,0.0318,,556,0.0336,,556,0.0309,,556,0.0102,,556,-0.0602,,,,,,,,556,0.2958,,556,0.48,,556,0.5987,,,,,,,,556,0.2454,,356,0.0444
555,0.0257,,555,0.0326,,555,0.0343,,555,0.0316,,555,0.0107,,555,-0.06,,,,,,,,555,0.2962,,555,0.4813,,555,0.6011,,,,,,,,555,0.2466,,355,0.0445
554,0.0259,,554,0.0331,,554,0.0347,,554,0.0319,,554,0.0108,,554,-0.06,,,,,,,,554,0.2966,,554,0.4825,,554,0.6033,,,,,,,,554,0.2477,,354,0.045
553,0.026,,553,0.0334,,553,0.035,,553,0.0321,,553,0.0108,,553,-0.0601,,,,,,,,553,0.297,,553,0.4836,,553,0.6054,,,,,,,,553,0.2486,,353,0.0452
552,0.0262,,552,0.0339,,552,0.0355,,552,0.0325,,552,0.011,,552,-0.0601,,,,,,,,552,0.2973,,552,0.4845,,552,0.6073,,,,,,,,552,0.2495,,352,0.0457
551,0.0265,,551,0.0344,,551,0.036,,551,0.0329,,551,0.0111,,551,-0.0601,,,,,,,,551,0.2975,,551,0.4855,,551,0.6092,,,,,,,,551,0.2503,,351,0.0463
550,0.0269,,550,0.0351,,550,0.0365,,550,0.0333,,550,0.0113,,550,-0.06,,,,,,,,550,0.2976,,550,0.4861,,550,0.6108,,,,,,,,550,0.2509,,350,0.0467
549,0.0272,,549,0.0356,,549,0.0371,,549,0.0338,,549,0.0116,,549,-0.0598,,,,,,,,549,0.2977,,549,0.4868,,549,0.6123,,,,,,,,549,0.2515,,349,0.0472
548,0.0273,,548,0.0361,,548,0.0375,,548,0.0341,,548,0.0117,,548,-0.0598,,,,,,,,548,0.2977,,548,0.4872,,548,0.6136,,,1,0.2977,,,,548,0.252,,348,0.0472
547,0.0273,,547,0.0363,,547,0.0377,,547,0.0342,,547,0.0116,,547,-0.0599,,,,,,,,547,0.2975,,547,0.4874,,547,0.6147,,,2.5,0.4876,,,,547,0.2524,,347,0.0478
546,0.0273,,546,0.0366,,546,0.038,,546,0.0343,,546,0.0116,,546,-0.06,,,,,,,,546,0.2974,,546,0.4876,,546,0.6157,,,5,0.6157,,,,546,0.2528,,346,0.048
545,0.0273,,545,0.0369,,545,0.0382,,545,0.0345,,545,0.0115,,545,-0.06,,,,,,,,545,0.297,,545,0.4876,,545,0.6166,,,0.45,0.2529,,,,545,0.2529,,345,0.0484
544,0.0272,,544,0.0371,,544,0.0384,,544,0.0346,,544,0.0113,,544,-0.0602,,,,,,,,544,0.2967,,544,0.4874,,544,0.6171,,,,,,,,544,0.2529,,344,0.0488
543,0.0272,,543,0.0373,,543,0.0386,,543,0.0347,,543,0.0113,,543,-0.0602,,,,,,,,543,0.2963,,543,0.4871,,543,0.6175,,,,,,,,543,0.2529,,343,0.0496
542,0.0272,,542,0.0376,,542,0.0388,,542,0.0348,,542,0.0113,,542,-0.0603,,,,,,,,542,0.2957,,542,0.4867,,542,0.6178,,,,,,,,542,0.2526,,342,0.0499
541,0.0271,,541,0.0376,,541,0.0388,,541,0.0347,,541,0.0111,,541,-0.0605,,,,,,,,541,0.2951,,541,0.486,,541,0.6178,,,,,,,,541,0.2522,,341,0.0499
540,0.0269,,540,0.0377,,540,0.0388,,540,0.0345,,540,0.0108,,540,-0.0606,,,,,,,,540,0.2943,,540,0.4851,,540,0.6175,,,,,,,,540,0.2517,,340,0.0501
539,0.0269,,539,0.0379,,539,0.0389,,539,0.0346,,539,0.0107,,539,-0.0606,,,,,,,,539,0.2935,,539,0.4841,,539,0.6171,,,,,,,,539,0.2511,,339,0.0498
538,0.0267,,538,0.0381,,538,0.039,,538,0.0346,,538,0.0105,,538,-0.0607,,,,,,,,538,0.2926,,538,0.4829,,538,0.6164,,,,,,,,538,0.2504,,338,0.0506
537,0.0268,,537,0.0383,,537,0.0392,,537,0.0347,,537,0.0105,,537,-0.0605,,,,,,,,537,0.2916,,537,0.4816,,537,0.6157,,,,,,,,537,0.2497,,337,0.0512
536,0.027,,536,0.0389,,536,0.0398,,536,0.0352,,536,0.0108,,536,-0.06,,,,,,,,536,0.2906,,536,0.4803,,536,0.6148,,,,,,,,536,0.2487,,336,0.0516
535,0.0268,,535,0.0389,,535,0.0389,,535,0.0351,,535,0.0106,,535,-0.0601,,,,,,,,535,0.2896,,535,0.4789,,535,0.6138,,,,,,,,535,0.2475,,335,0.0519
534,0.0265,,534,0.0389,,534,0.0397,,534,0.0349,,534,0.0103,,534,-0.0602,,,,,,,,534,0.2883,,534,0.4771,,534,0.6122,,,,,,,,534,0.2463,,334,0.0524
533,0.0261,,533,0.0387,,533,0.0395,,533,0.0346,,533,0.0098,,533,-0.0604,,,,,,,,533,0.2869,,533,0.4749,,533,0.6105,,,,,,,,533,0.2448,,333,0.0528
532,0.0258,,532,0.0386,,532,0.0393,,532,0.0343,,532,0.0095,,532,-0.0605,,,,,,,,532,0.2854,,532,0.4728,,532,0.6087,,,,,,,,532,0.2434,,332,0.0529
