LEV.SPC,
WL/nm,Abs
400,0.0111
399,0.011
398,0.0112
397,0.0113
396,0.0114
395,0.0115
394,0.0117
393,0.012
392,0.0123
391,0.0122
390,0.0122
389,0.0125
388,0.0124
387,0.0126
386,0.013
385,0.0132
384,0.0132
383,0.0134
382,0.0135
381,0.0138
380,0.0141
379,0.0143
378,0.0146
377,0.0149
376,0.0148
375,0.0152
374,0.0151
373,0.0156
372,0.0161
371,0.0167
370,0.017
369,0.0171
368,0.0175
367,0.0179
366,0.0182
365,0.0183
364,0.0186
363,0.0191
362,0.0201
361,0.02
360,0.02
359,0.0208
358,0.021
357,0.0218
356,0.0219
355,0.0224
354,0.0232
353,0.0233
352,0.024
351,0.024
350,0.0245
349,0.0251
348,0.025
347,0.0255
346,0.0257
345,0.0262
344,0.0268
343,0.0274
342,0.0278
341,0.0282
340,0.0292
339,0.0291
338,0.0297
337,0.0303
336,0.0306
335,0.0313
334,0.0316
333,0.0325
332,0.0327
331,0.0332
330,0.0336
329,0.0342
328,0.0348
327,0.0353
326,0.0357
325,0.0362
324,0.0369
323,0.0376
322,0.0383
321,0.0392
320,0.0397
319,0.0404
318,0.0414
317,0.0423
316,0.0433
315,0.0437
314,0.0453
313,0.0467
312,0.0479
311,0.0493
310,0.0512
309,0.0533
308,0.0553
307,0.0582
306,0.0612
305,0.0651
304,0.0698
303,0.0749
302,0.0808
301,0.0882
300,0.0968
299,0.1069
298,0.1188
297,0.133
296,0.1507
295,0.1728
294,0.2016
293,0.2379
292,0.282
291,0.3287
290,0.3778
289,0.4255
288,0.4745
287,0.5246
286,0.5706
285,0.6097
284,0.6382
283,0.658
282,0.6726
281,0.686
280,0.699
279,0.7095
278,0.7143
277,0.711
276,0.7019
275,0.6887
274,0.6731
273,0.6573
272,0.6401
271,0.6227
270,0.6083
269,0.5952
268,0.5777
267,0.5561
266,0.5393
265,0.5268
264,0.5074
263,0.4834
262,0.4654
261,0.4528
260,0.4438
259,0.4361
258,0.4223
257,0.4024
256,0.3856
255,0.3759
254,0.3722
253,0.3714
252,0.3692
251,0.3666
250,0.3689
249,0.3795
248,0.399
247,0.4257
246,0.4607
245,0.5094
244,0.5768
243,0.665
242,0.7784
241,0.9232
240,1.1006
239,1.317
238,1.5869
237,1.9098
236,2.2514
235,2.6069
234,2.9085
233,3.0727
232,3.1603
231,3.2129
230,3.2408
229,3.1892
228,3.213
227,3.2351
226,3.2296
225,3.2811
224,3.3147
223,3.2406
222,3.1338
221,3.166
220,3.3441
219,3.5124
218,3.3044
217,3.3546
216,3.4276
215,3.4611
214,3.6766
213,3.5833
212,3.6577
211,3.331
210,3.604
209,3.5502
208,3.4679
207,3.5334
206,3.4194
205,3.1747
204,3.4482
203,3.5646
202,3.3027
201,3.2408
200,3.1036
199,3.2657
198,3.238
197,3.0867
196,2.5756
195,2.765
194,3.1176
193,2.5786
192,2.886
191,2.9055
190,3.5483
